Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,370370.49,754726.4764,3432.541,0,3675.0629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,233,0.0,24512.3571
2025-11-05,1,370370.49,754726.4764,3432.541,0,3675.0629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,0,0.0,604.2902
2025-11-05,2,370370.49,754726.4764,3432.541,0,3675.0629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,0,0.0,0.0
2025-11-05,3,370370.49,754726.4764,3432.541,0,3675.0629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,0,0.0,0.0
2025-11-05,4,373457.49,751639.4764,3432.541,0,3785.3129,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,4,110.25,110.25
2025-11-05,5,376423.53,748673.4364,3432.541,0,4148.4929,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,1,105.93,803.6594
2025-11-05,6,378372.33,746724.6364,3432.541,0,4465.2629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,1,69.6,651.4
2025-11-05,7,378372.33,746724.6364,3432.541,0,4627.6629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,0,0.0,1199.1921
2025-11-05,8,378405.93,746691.0364,3432.541,0,4469.2629,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,3,69.6,834.2494
2025-11-05,9,375885.93,753040.9376,3432.1576,0,4279.8513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,1,0.0,839.3526
2025-11-05,10,373937.13,754989.7376,3432.1576,0,4047.8513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,1,0.0,401.295
2025-11-05,11,373739.73,755187.1376,3432.1576,0,4029.0513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,1,0.0,639.8362
2025-11-05,12,373739.73,755187.1376,3432.1576,0,4029.0513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,0,0.0,0.0
2025-11-05,13,373739.73,755187.1376,3432.1576,0,4029.0513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,0,0.0,0.0
2025-11-05,14,373739.73,755187.1376,3432.1576,0,4029.0513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,0,0.0,0.0
2025-11-05,15,377565.93,751342.4712,3432.1944,0,4164.8289,0.0,6712.296,19817.635,13105.339,50894.0015,22.1816,3,135.23999999999998,137.5357
2025-11-05,16,372395.73,756512.6712,3432.1944,0,3864.8889,0.0,6712.296,19817.635,13105.339,50894.0015,22.1816,4,0.0,235.0
2025-11-05,17,372395.73,756512.6712,3432.1944,0,3864.8889,0.0,6712.296,19817.635,13105.339,50894.0015,22.1816,0,0.0,0.0
2025-11-05,18,374915.73,750120.3073,3432.582,0,4007.2749,0.0,6764.2945,19817.635,13053.3405,50894.0015,22.1055,1,90.0,354.512
2025-11-05,19,374915.73,750120.3073,3432.582,0,4217.2749,0.0,6764.2945,19817.635,13053.3405,50894.0015,22.1055,0,0.0,340.6581
2025-11-05,20,374235.33,754691.5376,3432.1576,0,3652.5013,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,7,184.65,1025.3701
2025-11-05,21,374235.33,754691.5376,3432.1576,0,4083.3513,0.0,6711.7951,19817.635,13105.8399,50894.0015,22.1819,0,0.0,571.5975
2025-11-05,22,376809.93,748287.0364,3432.541,0,4227.1129,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,2,91.94999999999999,354.5089
2025-11-05,23,377224.53,747872.4364,3432.541,0,3905.1029,0.0,6763.2234,19817.635,13054.4116,50894.0015,22.1067,4,349.44,702.5097
