Date,Hour,Line,Flow
2025-11-05,0,L1109_1111,-9.7021
2025-11-05,0,L826_827,-0.0
2025-11-05,0,L1617_2124,-1121.401
2025-11-05,0,L32_41,12.1406
2025-11-05,0,L1625_1919,352.8975
2025-11-05,0,L1622_3102,-429.7853
2025-11-05,0,L2421_3054,0.0
2025-11-05,0,L1922_2903,-698.1636
2025-11-05,0,L1487_1490,-280.2046
2025-11-05,0,L3037_3061,941.4263
2025-11-05,0,L2088_3124,419.7984
2025-11-05,0,L3073_3087,276.1411
2025-11-05,0,L2173_2389,-1215.523
2025-11-05,0,L710_2392,-108.9206
2025-11-05,0,L1519_1682,0.0
2025-11-05,0,L1606_1612,330.3605
2025-11-05,0,L2032_3046,-679.4957
2025-11-05,0,L838_2440,150.8007
2025-11-05,0,L3131_3143,251.0047
2025-11-05,0,L3131_3132,0.0
2025-11-05,0,L820_821,0.0
2025-11-05,0,L3075_3076,46.963
2025-11-05,0,L1565_2966,165.0495
2025-11-05,0,L812_813,0.0
2025-11-05,0,L1518_1691,405.2618
2025-11-05,0,L0_1976,60.8113
2025-11-05,0,L1588_1599,-147.741
2025-11-05,0,L99_1752,1046.2692
2025-11-05,0,L804_1650,-224.5764
2025-11-05,0,L2050_3059,289.7103
2025-11-05,0,L852_2447,0.0
2025-11-05,0,L1488_2112,0.0
2025-11-05,0,L1590_1622,-734.4019
2025-11-05,0,L3042_3043,1120.7016
2025-11-05,0,L0_3078,-2081.5946
2025-11-05,0,L794_2208,776.2631
2025-11-05,0,L1531_1540,-103.5007
2025-11-05,0,L1910_3051,-607.402
2025-11-05,0,L1638_2380,-328.0411
2025-11-05,0,L1645_1649,0.0
2025-11-05,0,L1684_1687,45.0932
2025-11-05,0,L795_1546,375.9278
2025-11-05,0,L1486_3053,0.0
2025-11-05,0,L580_1645,841.7471
2025-11-05,0,L2995_3104,-205.3203
2025-11-05,0,L3096_3097,515.5152
2025-11-05,0,L1664_3042,419.33
2025-11-05,0,L1937_2317,-472.5858
2025-11-05,0,L1700_1822,720.9023
2025-11-05,0,L129_818,481.5994
2025-11-05,0,L1543_3058,289.7103
2025-11-05,0,L2362_2382,203.7618
2025-11-05,0,L0_3108,2020.7833
2025-11-05,0,L1968_2963,19.782
2025-11-05,0,L536_999,0.0
2025-11-05,0,L346_3053,0.0
2025-11-05,0,L1893_3040,817.0097
2025-11-05,0,L2054_2423,0.0
2025-11-05,0,L1603_2409,-673.5739
2025-11-05,0,L1593_1597,0.0
2025-11-05,0,L3061_3069,565.8696
2025-11-05,0,L1549_3083,519.8484
2025-11-05,0,L3129_3139,640.2423
2025-11-05,0,L1492_3052,-71.2049
2025-11-05,0,L840_1578,-0.0
2025-11-05,0,L1560_2357,-621.1834
2025-11-05,0,L2311_2437,0.0
2025-11-05,0,L2409_3134,-221.4
2025-11-05,0,L2230_2314,0.0
2025-11-05,0,L793_924,-251.0047
2025-11-05,0,L577_820,-185.3012
2025-11-05,0,L3077_3081,413.8457
2025-11-05,0,L1719_1937,-45.3746
2025-11-05,0,L1581_1582,0.0
2025-11-05,0,L1617_3104,547.0783
2025-11-05,0,L1971_3073,511.021
2025-11-05,0,L1503_1515,-186.8528
2025-11-05,0,L3067_3068,-40.128
2025-11-05,0,L1590_2978,482.1963
2025-11-05,0,L1599_1647,0.0
2025-11-05,0,L1641_1642,0.0
2025-11-05,0,L1603_2450,515.2561
2025-11-05,0,L1526_1528,-8.2668
2025-11-05,0,L1635_1636,875.81
2025-11-05,0,L1609_1612,0.0
2025-11-05,0,L3006_3084,113.7331
2025-11-05,0,L1638_3135,126.3896
2025-11-05,0,L2319_2320,-472.5858
2025-11-05,0,L1559_1821,-620.1278
2025-11-05,0,L2451_2551,0.0
2025-11-05,0,L2448_2449,0.0
2025-11-05,0,L1547_1821,-0.626
2025-11-05,0,L1589_2978,-732.1963
2025-11-05,0,L2214_3140,361.068
2025-11-05,0,L2354_2355,0.0
2025-11-05,0,L606_3055,-182.8737
2025-11-05,0,L1648_1651,0.0
2025-11-05,0,L1601_1895,-313.833
2025-11-05,0,L19_3127,0.0
2025-11-05,0,L2280_3136,0.0
2025-11-05,0,L1583_2980,0.0
2025-11-05,0,L834_2385,289.6767
2025-11-05,0,L522_820,0.0
2025-11-05,0,L1516_1517,0.0
2025-11-05,0,L1482_1484,-273.7398
2025-11-05,0,L68_1604,328.7949
2025-11-05,0,L2336_2342,314.595
2025-11-05,0,L1937_2783,147.9457
2025-11-05,0,L2995_3107,-225.0613
2025-11-05,0,L804_805,0.0
2025-11-05,0,L14_836,-348.3871
2025-11-05,0,L1570_1571,-641.007
2025-11-05,0,L1818_1937,502.0907
2025-11-05,0,L126_2372,0.0
2025-11-05,0,L862_1488,-196.503
2025-11-05,0,L2313_3063,0.0
2025-11-05,0,L794_3139,-1201.0043
2025-11-05,0,L829_838,0.0
2025-11-05,0,L1515_1517,-321.1674
2025-11-05,0,L3012_3115,1040.8906
2025-11-05,0,L788_1109,-9.7021
2025-11-05,0,L805_2413,-0.0
2025-11-05,0,L803_2352,38.2527
2025-11-05,0,L1688_1770,-51.1456
2025-11-05,0,L1910_3046,292.5273
2025-11-05,0,L1604_1612,79.143
2025-11-05,0,L1570_1590,750.8735
2025-11-05,0,L1553_1560,223.5627
2025-11-05,0,L822_3065,-82.6848
2025-11-05,0,L99_1409,1329.2832
2025-11-05,0,L801_1629,1545.7842
2025-11-05,0,L1531_3051,607.402
2025-11-05,0,L1650_2277,56.3768
2025-11-05,0,L1909_3122,-1337.3076
2025-11-05,0,L1899_1909,-961.3574
2025-11-05,0,L3119_3120,-183.6456
2025-11-05,0,L129_2428,0.0
2025-11-05,0,L1895_3078,3455.367
2025-11-05,0,L999_3038,-0.0
2025-11-05,0,L2950_2952,1028.7124
2025-11-05,0,L577_2719,0.0
2025-11-05,0,L991_1606,432.7056
2025-11-05,0,L3098_3099,-438.8248
2025-11-05,0,L806_2415,-279.4885
2025-11-05,0,L2341_3071,-167.0044
2025-11-05,0,L1524_1662,460.5978
2025-11-05,0,L807_2383,-167.0044
2025-11-05,0,L1598_3109,-1031.8558
2025-11-05,0,L2414_2415,0.0
2025-11-05,0,L3006_3089,247.9451
2025-11-05,0,L2964_3122,332.9901
2025-11-05,0,L1631_3094,-988.6656
2025-11-05,0,L202_808,402.978
2025-11-05,0,L851_3056,0.0
2025-11-05,0,L1515_1818,-219.4298
2025-11-05,0,L924_3127,150.5515
2025-11-05,0,L177_837,-168.2036
2025-11-05,0,L1013_1498,41.9116
2025-11-05,0,L514_3067,-127.5724
2025-11-05,0,L1598_1680,-100.125
2025-11-05,0,L129_2341,-481.5994
2025-11-05,0,L1596_1597,541.4817
2025-11-05,0,L1650_2308,-126.3896
2025-11-05,0,L2963_2986,-31.1707
2025-11-05,0,L1625_1696,-385.9796
2025-11-05,0,L520_824,0.0
2025-11-05,0,L2433_2435,0.0
2025-11-05,0,L1303_3045,80.1021
2025-11-05,0,L999_2286,-568.7448
2025-11-05,0,L1888_3082,0.0
2025-11-05,0,L3036_3124,300.8774
2025-11-05,0,L1528_2272,139.9339
2025-11-05,0,L814_815,0.0
2025-11-05,0,L2310_2311,150.8007
2025-11-05,0,L3069_3070,-143.9073
2025-11-05,0,L2050_2051,-289.7103
2025-11-05,0,L2955_3075,-434.0526
2025-11-05,0,L1692_1693,-226.0773
2025-11-05,0,L804_816,224.5764
2025-11-05,0,L1484_2373,6.4648
2025-11-05,0,L1496_2364,316.3592
2025-11-05,0,L1490_1495,-319.6371
2025-11-05,0,L1664_1821,-578.7967
2025-11-05,0,L2028_2317,0.0
2025-11-05,0,L1599_2261,429.7853
2025-11-05,0,L206_3128,143.8585
2025-11-05,0,L1889_3026,-1315.9523
2025-11-05,0,L1600_1895,1231.2
2025-11-05,0,L1613_3089,-116.5138
2025-11-05,0,L1937_3057,51.0458
2025-11-05,0,L2411_2412,0.0
2025-11-05,0,L1607_1612,0.0
2025-11-05,0,L1573_1590,-544.3092
2025-11-05,0,L1621_3087,-314.7595
2025-11-05,0,L836_1583,-417.6085
2025-11-05,0,L1636_2380,328.0411
2025-11-05,0,L62_1601,-387.8904
2025-11-05,0,L808_2230,15.7353
2025-11-05,0,L202_2131,-251.0047
2025-11-05,0,L2390_3038,0.0
2025-11-05,0,L2261_3145,429.7853
2025-11-05,0,L807_3071,167.0044
2025-11-05,0,L2307_2335,0.0
2025-11-05,0,L788_1584,-8.1977
2025-11-05,0,L1664_1851,-578.5625
2025-11-05,0,L125_2230,-15.7353
2025-11-05,0,L2195_3092,-127.5343
2025-11-05,0,L1515_1791,353.7445
2025-11-05,0,L1580_3067,87.4444
2025-11-05,0,L2365_2366,0.0
2025-11-05,0,L1013_3045,-58.3484
2025-11-05,0,L515_1650,-0.0
2025-11-05,0,L1483_3055,182.8737
2025-11-05,0,L2951_3085,-1219.4876
2025-11-05,0,L1665_3100,-616.3489
2025-11-05,0,L1062_2272,-363.0889
2025-11-05,0,L795_2049,-289.7103
2025-11-05,0,L1583_1584,-582.1682
2025-11-05,0,L1818_1845,-595.429
2025-11-05,0,L1571_2969,436.8
2025-11-05,0,L850_2054,-204.4355
2025-11-05,0,L5_182,-75.0595
2025-11-05,0,L31_32,14.2617
2025-11-05,0,L643_644,-1634.2
2025-11-05,0,L2042_3109,-140.5208
2025-11-05,0,L794_2389,1197.218
2025-11-05,0,L3113_3117,-1245.0732
2025-11-05,0,L1937_3029,0.0
2025-11-05,0,L10_753,563.2803
2025-11-05,0,L1598_2436,0.0
2025-11-05,0,L580_2311,-851.0949
2025-11-05,0,L1578_2115,728.6741
2025-11-05,0,L1522_1761,-59.5444
2025-11-05,0,L182_2320,472.5858
2025-11-05,0,L1605_3062,693.5354
2025-11-05,0,L2113_3019,0.0
2025-11-05,0,L1622_3103,-304.6166
2025-11-05,0,L3111_3112,-616.3489
2025-11-05,0,L1637_1638,347.6786
2025-11-05,0,L3048_3049,-878.0717
2025-11-05,0,L3041_3044,-461.903
2025-11-05,0,L2279_3137,0.0
2025-11-05,0,L1409_1807,186.9355
