Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,448717.94,528255.5212,0.0,0,10734.3996,0.0,16558.2988,16558.2988,0.0,57112.4992,17.1061,280,0.0,20672.9404
2024-08-20,1,445604.9,449824.178,0.0,0,13276.099,0.0,16760.9719,16760.9719,0.0,54402.8729,16.4592,2,0.0,6775.677
2024-08-20,2,427470.98,411585.9444,0.0,0,13130.5902,0.0,16675.8521,16675.8521,-0.0,52304.4619,16.0418,9,0.0,6166.4376
2024-08-20,3,406686.02,403456.5476,0.0,0,11688.8458,0.0,16197.5463,16197.5463,-0.0,50793.5005,15.9497,10,0.0,5120.0966
2024-08-20,4,414770.18,418543.5692,0.0,0,11017.9336,0.0,14985.5652,14985.5652,-0.0,50409.0616,16.531,7,345.33000000000004,5677.0645
2024-08-20,5,427805.3,464200.2628,0.0,0,10193.1074,0.0,13579.024,13579.024,0.0,51098.6566,17.4565,11,465.53999999999996,3876.7728
2024-08-20,6,446006.42,516289.0996,0.0,0,9419.0518,0.0,12367.0446,12367.0446,-0.0,52397.0328,18.3655,7,650.04,6158.3096
2024-08-20,7,458401.46,522905.4772,0.0,0,10699.5126,0.0,11811.0122,11811.0122,-0.0,52519.9796,18.6845,6,442.68,3792.2433
2024-08-20,8,466353.74,391498.2544,0.0,0,16287.7177,0.0,17561.1283,17561.1283,0.0,53860.9906,15.9271,8,343.08000000000004,6387.397
2024-08-20,9,465739.7,326696.0572,0.0,0,18586.493,0.0,22808.0073,22808.0073,-0.0,56699.1743,13.9761,12,358.86,7703.0925
2024-08-20,10,482271.74,357260.6662,0.0,0,17632.0361,0.0,25263.8985,25263.8985,0.0,60763.2324,13.8165,21,922.17,2829.0494
2024-08-20,11,484220.82,484352.4251,0.0,0,14035.4645,0.0,24598.7389,24598.7389,0.0,64906.0744,14.9227,29,1020.9999999999994,5657.8244
2024-08-20,12,526714.48,593191.0592,0.0,0,12404.3955,0.0,24929.882,24929.882,0.0,69506.4965,16.1122,94,1341.9099999999987,6714.0246
2024-08-20,13,539599.68,710818.9564,0.0,0,15116.9074,0.0,25563.8364,25563.8364,0.0,73457.929,17.0222,34,464.70000000000005,9127.5794
2024-08-20,14,550276.93,834703.3316,0.0,0,12749.5616,0.0,25395.6861,25395.6861,0.0,75554.8145,18.3308,85,1411.0899999999992,9219.4999
2024-08-20,15,551694.95,999960.4749,20.7402,0,11805.3096,0.0,21665.9737,25150.3301,3484.3564,76632.1438,20.2481,27,383.5699999999998,8434.8431
2024-08-20,16,555235.35,1020259.3148,52.4105,0,12495.2238,0.0,21585.8784,25066.7986,3480.9202,77162.979,20.4178,3,126.6,3080.3438
2024-08-20,17,557184.15,1040602.7723,71.604,0,12071.9512,0.0,20857.4467,23855.1186,2997.6719,77301.274,20.6696,1,69.6,1377.1627
2024-08-20,18,574683.23,1072698.5404,58.4419,0,11470.9173,0.0,18375.9476,20098.5131,1722.5655,76472.7822,21.5421,10,629.21,4286.4206
2024-08-20,19,622916.87,1111417.5773,0.0,0,10571.9447,487.2904,11545.4485,11545.4485,0.0,73728.2338,23.5233,27,1747.93,8790.7928
2024-08-20,20,601455.96,1055881.9668,0.0,0,11758.7976,0.0,9072.8644,9072.8644,0.0,70975.2968,23.3509,38,303.63,9618.49
2024-08-20,21,576953.38,876811.8431,0.0,0,12965.7226,0.0,12658.8958,12658.8958,0.0,68997.7932,21.0697,70,118.02,5551.4929
2024-08-20,22,541587.78,712251.2224,0.0,0,14820.2203,0.0,15528.7285,15528.7285,-0.0,65618.3082,19.1081,40,0.0,7760.8199
2024-08-20,23,515017.74,605629.94,0.0,0,14238.1775,0.0,15934.0735,15934.0735,-0.0,61588.996,18.1956,71,0.0,3818.1647
