Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,449015.3,527958.1668,0.0,0,10769.7994,0.0,16558.2988,16558.2988,0.0,57112.4994,17.1061,282,0.0,20662.3206
2024-08-20,1,430931.78,464497.2952,0.0,0,11529.2991,0.0,16760.9719,16760.9719,-0.0,54402.8728,16.4592,9,0.0,4531.6221
2024-08-20,2,418278.86,420778.0644,0.0,0,12036.2902,0.0,16675.8521,16675.8521,-0.0,52304.4619,16.0418,5,0.0,6070.1428
2024-08-20,3,409531.1,400611.4704,0.0,0,12027.5457,0.0,16197.5463,16197.5463,0.0,50793.5006,15.9497,5,0.0,5445.1453
2024-08-20,4,409531.1,423782.6464,0.0,0,11200.0037,0.0,14985.5652,14985.5652,-0.0,50409.0615,16.531,0,0.0,4701.2516
2024-08-20,5,430851.98,461153.58,0.0,0,9865.3275,0.0,13579.024,13579.024,0.0,51098.6565,17.4565,13,761.46,5766.2278
2024-08-20,6,446451.62,515843.9024,0.0,0,9297.5417,0.0,12367.0446,12367.0446,-0.0,52397.0329,18.3655,16,724.8299999999999,8021.1902
2024-08-20,7,442113.02,539193.92,0.0,0,8938.5625,0.0,11811.0122,11811.0122,-0.0,52519.9797,18.6845,14,366.33000000000004,4347.7462
2024-08-20,8,462103.34,395748.6544,0.0,0,14783.6577,0.0,17561.1283,17561.1283,0.0,53860.9906,15.9271,13,770.8199999999999,8001.2847
2024-08-20,9,468783.86,323785.4733,0.0,0,18396.033,0.0,22808.0073,22808.0073,-0.0,56699.1743,13.9785,16,595.8,6582.4106
2024-08-20,10,464189.9,373441.7186,0.0,0,16847.5859,0.0,25263.8985,25263.8985,0.0,60763.2326,13.7852,15,335.82000000000005,2288.9697
2024-08-20,11,485621.8,489168.3161,0.0,0,13114.1144,0.0,24598.7389,24598.7389,0.0,64906.0745,15.0185,25,948.8499999999999,5712.4226
2024-08-20,12,523670.6,586558.1896,0.0,0,12190.9754,0.0,24929.882,24929.882,0.0,69506.4966,15.973,69,1058.889999999999,6189.3116
2024-08-20,13,537341.02,692541.8413,0.0,0,13625.2077,0.0,25563.8364,25563.8364,0.0,73457.9287,16.7427,26,519.1,5974.5824
2024-08-20,14,530462.86,800131.9776,0.0,0,11895.4715,0.0,25395.6861,25395.6861,0.0,75554.8146,17.611,29,187.49999999999997,7362.5014
2024-08-20,15,526555.21,877478.9782,0.0,0,11544.7762,0.0,25150.3301,25150.3301,0.0,76632.1439,18.3217,15,61.28999999999999,5045.3654
2024-08-20,16,535181.95,913371.0905,9.1848,0,11574.4469,0.0,24862.0511,25066.7986,204.7475,77162.9791,18.7726,12,287.99000000000007,7039.3887
2024-08-20,17,546077.59,938732.9919,25.2736,0,11595.1911,0.0,23684.3616,23855.1186,170.757,77301.2741,19.2081,6,389.13,1393.6531
2024-08-20,18,565078.39,996138.0718,3.6473,0,10387.778,1083.1393,20098.5131,20098.5131,0.0,76472.7824,20.4153,13,663.5999999999999,3519.2144
2024-08-20,19,584416.51,1103377.7989,0.0,0,7206.8046,3852.4305,11545.4485,11545.4485,0.0,73728.2339,22.8921,11,692.7899999999998,9694.4574
2024-08-20,20,585137.96,1060106.0895,0.0,0,9118.2678,1528.0267,9072.8644,9072.8644,0.0,70975.2966,23.1805,3,28.5,5596.6368
2024-08-20,21,571457.38,877845.1579,0.0,0,11884.9027,0.0,12658.8958,12658.8958,0.0,68997.7931,21.0051,30,0.0,5148.2072
2024-08-20,22,535893.28,717273.7752,0.0,0,14518.2204,0.0,15528.7285,15528.7285,0.0,65618.3081,19.0978,17,0.0,6958.8258
2024-08-20,23,513617.74,606749.9344,0.0,0,13838.1777,0.0,15934.0735,15934.0735,-0.0,61588.9958,18.191,84,0.0,4947.2343
