Date,Hour,Type,Solve Time
2024-08-20,0,SCED,1.5272
2024-08-20,1,SCED,1.3861
2024-08-20,2,SCED,1.3897
2024-08-20,3,SCED,1.3968
2024-08-20,4,SCED,1.4119
2024-08-20,5,SCED,1.3906
2024-08-20,6,SCED,1.1419
2024-08-20,7,SCED,1.0856
2024-08-20,8,SCED,1.1494
2024-08-20,9,SCED,2.9033
2024-08-20,10,SCED,1.0108
2024-08-20,11,SCED,1.2441
2024-08-20,12,SCED,1.2175
2024-08-20,13,SCED,1.3739
2024-08-20,14,SCED,1.2354
2024-08-20,15,SCED,1.0886
2024-08-20,16,SCED,1.3053
2024-08-20,17,SCED,2.8785
2024-08-20,18,SCED,1.3387
2024-08-20,19,SCED,1.7525
2024-08-20,20,SCED,1.1788
2024-08-20,21,SCED,1.1729
2024-08-20,22,SCED,3.0545
2024-08-20,23,SCED,1.2364
