Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,315284.59,568935.943,6112.8486,0.0,5798.0569,0.0,12488.2098,20124.675,7636.4652,50894.0015,17.3738,248,0.0,18531.0731
2025-11-05,1,315284.59,570452.062,6114.2939,0.0,5654.85,0.0,12285.3659,20124.675,7839.3091,50894.0015,17.4036,4,12.1,1040.5989
2025-11-05,2,315927.19,570929.9356,6117.6128,0.0,5659.6527,0.0,11908.8414,20124.675,8215.8336,50894.0015,17.4256,7,36.3,1443.1188
2025-11-05,3,312126.19,574730.7219,6117.6128,0.0,5352.353,0.0,11908.8417,20124.675,8215.8333,50894.0015,17.4256,8,0.0,511.5259
2025-11-05,4,311943.91,574913.0019,6117.6128,0.0,5083.553,0.0,11908.8417,20124.675,8215.8333,50894.0015,17.4256,5,105.9,1209.9251
2025-11-05,5,311943.91,574913.0019,6117.6128,0.0,5330.653,0.0,11908.8417,20124.675,8215.8333,50894.0015,17.4256,0,0.0,95.9723
2025-11-05,6,311943.91,574913.0019,6117.6128,0.0,5330.653,0.0,11908.8417,20124.675,8215.8333,50894.0015,17.4256,0,0.0,567.5528
2025-11-05,7,314060.71,572380.4811,6117.6754,0.0,5410.9509,0.0,11919.5271,20124.675,8205.1479,50894.0015,17.4174,4,69.55,233.8733
2025-11-05,8,315917.95,569918.449,6133.0904,19.2648,5506.7003,0.0,11872.2461,20124.675,8252.4289,50894.0015,17.4055,3,135.93,1781.58
2025-11-05,9,315663.85,570172.549,6133.0904,19.2648,5763.3703,0.0,11872.2461,20124.675,8252.4289,50894.0015,17.4055,1,0.0,1191.4689
2025-11-05,10,320355.25,567376.3196,6165.8006,153.8953,5721.931,0.0,11892.2273,20124.675,8232.4477,50894.0015,17.4428,7,222.0,776.8475
2025-11-05,11,319034.35,564214.0584,6165.3167,42.9634,5953.3837,0.0,11914.7319,20124.675,8209.9431,50894.0015,17.3547,8,73.5,933.0559
2025-11-05,12,319034.35,564214.0584,6165.3167,42.9634,6082.5337,0.0,11914.7319,20124.675,8209.9431,50894.0015,17.3547,6,18.15,681.9638
2025-11-05,13,322253.65,560833.8227,6165.4175,37.2406,5941.2049,0.0,11914.6295,20124.675,8210.0455,50894.0015,17.3515,12,241.10000000000002,1629.7236
2025-11-05,14,321339.73,562379.0239,6165.4522,37.1145,6424.998,0.0,11892.0618,20124.675,8232.6132,50894.0015,17.3639,5,12.1,1068.839
2025-11-05,15,319092.73,568564.0341,6119.1455,14.0836,5996.8822,0.0,11826.4718,20124.675,8298.2032,50894.0015,17.4413,8,42.849999999999994,1253.819
2025-11-05,16,318289.69,565483.7567,6135.1919,0.0,5628.9421,0.0,11961.7017,20124.675,8162.9733,50894.0015,17.365,13,213.15000000000003,2134.8825
2025-11-05,17,313544.11,572897.0811,6117.6754,0.0,5134.1309,0.0,11919.5271,20124.675,8205.1479,50894.0015,17.4174,12,161.82999999999998,1248.4188
2025-11-05,18,310715.83,575675.4152,6117.7033,0.0,5020.242,0.0,11923.5502,20124.675,8201.1248,50894.0015,17.4164,11,50.78999999999999,1615.6824
2025-11-05,19,310461.73,575979.4611,6117.6754,0.0,5086.3009,0.0,11919.5271,20124.675,8205.1479,50894.0015,17.4174,5,12.1,875.1647
2025-11-05,20,310715.83,575725.3611,6117.6754,0.0,4905.1809,0.0,11919.5271,20124.675,8205.1479,50894.0015,17.4174,9,81.08,1312.1024
2025-11-05,21,310282.39,576158.8011,6117.6754,0.0,4945.1009,0.0,11919.5271,20124.675,8205.1479,50894.0015,17.4174,4,111.0,2118.014
2025-11-05,22,315636.97,571959.6976,6119.0541,11.3235,5137.6942,0.0,11826.1052,20124.675,8298.5698,50894.0015,17.4401,8,218.45999999999998,1628.305
2025-11-05,23,320149.87,567280.5237,6119.1137,11.8567,5510.7077,0.0,11857.5522,20124.675,8267.1228,50894.0015,17.4368,25,176.80000000000004,1249.9816
