Date,Hour,Generator,Output,Curtailment
2025-11-05,0,AGUAYO_UNIT1,87.075,0.0
2025-11-05,0,AMADEUS1_UNIT1,16.515,0.0
2025-11-05,0,AMADEUS1_UNIT2,16.11,0.0
2025-11-05,0,AMADEUS2_UNIT3,79.965,0.0
2025-11-05,0,ANACACHO_ANA,44.91,0.0
2025-11-05,0,ANCHOR_WIND2,44.505,0.0
2025-11-05,0,ANCHOR_WIND3,40.5,0.0
2025-11-05,0,ANCHOR_WIND4,17.415,0.0
2025-11-05,0,ANCHOR_WIND5,8.685,0.0
2025-11-05,0,APOGEE_UNIT1,0.0,11.25
2025-11-05,0,APOGEE_UNIT2,0.0,6.3
2025-11-05,0,APOGEE_UNIT3,0.0,13.59
2025-11-05,0,APOGEE_UNIT4,0.0,51.75
2025-11-05,0,APOGEE_UNIT5,0.0,49.5
2025-11-05,0,APOGEE_UNIT6,0.0,10.8
2025-11-05,0,APOGEE_UNIT7,0.0,33.75
2025-11-05,0,APPALOSA_UNIT1,71.055,0.0
2025-11-05,0,APPALOSA_UNIT2,6.255,0.0
2025-11-05,0,AQUILLA_U1_23,6.255,0.0
2025-11-05,0,AQUILLA_U1_28,60.93,0.0
2025-11-05,0,AQUILLA_U2_23,3.15,0.0
2025-11-05,0,AQUILLA_U2_28,64.71,0.0
2025-11-05,0,AVIATOR_UNIT1,81.045,0.0
2025-11-05,0,AVIATOR_UNIT2,65.52,0.0
2025-11-05,0,DEWOLF_UNIT1,89.685,0.0
2025-11-05,0,BLACKJAK_UNIT1,54.0,0.0
2025-11-05,0,BLACKJAK_UNIT2,54.0,0.0
2025-11-05,0,BAFFIN_UNIT1,45.0,0.0
2025-11-05,0,BAFFIN_UNIT2,45.9,0.0
2025-11-05,0,BARROW_UNIT1,40.59,0.0
2025-11-05,0,BARROW_UNIT2,31.725,0.0
2025-11-05,0,BRTSW_BCW1,54.0,0.0
2025-11-05,0,BLSUMMIT_BLSMT1_5,0.0,59.76
2025-11-05,0,BLSUMMIT_BLSMT1_6,0.0,3.15
2025-11-05,0,BLSUMMIT_UNIT2_25,0.0,41.625
2025-11-05,0,BLSUMMIT_UNIT2_17,0.0,3.105
2025-11-05,0,BLSUMIT3_UNIT_17,0.0,6.165
2025-11-05,0,BLSUMIT3_UNIT_25,0.0,83.925
2025-11-05,0,BCATWIND_WIND_1,0.0,72.9
2025-11-05,0,BRISCOE_WIND,0.0,67.455
2025-11-05,0,BBREEZE_UNIT1,54.0,0.0
