Date,Hour,Type,Solve Time
2025-11-05,0,SCED,2.0278
2025-11-05,1,SCED,1.7895
2025-11-05,2,SCED,1.7873
2025-11-05,3,SCED,1.7356
2025-11-05,4,SCED,1.7414
2025-11-05,5,SCED,1.7879
2025-11-05,6,SCED,1.7189
2025-11-05,7,SCED,1.7957
2025-11-05,8,SCED,4.4106
2025-11-05,9,SCED,1.7584
2025-11-05,10,SCED,1.8062
2025-11-05,11,SCED,2.6936
2025-11-05,12,SCED,1.7887
2025-11-05,13,SCED,1.7459
2025-11-05,14,SCED,1.6902
2025-11-05,15,SCED,3.9668
2025-11-05,16,SCED,2.7497
2025-11-05,17,SCED,1.844
2025-11-05,18,SCED,1.7875
2025-11-05,19,SCED,1.7623
2025-11-05,20,SCED,1.8347
2025-11-05,21,SCED,1.7961
2025-11-05,22,SCED,3.7044
2025-11-05,23,SCED,1.8458
