Date,Hour,Line,Flow
2024-08-20,0,L1125_2389,-678.8434
2024-08-20,0,L3595_3616,-701.3461
2024-08-20,0,L4611_4660,-356.0037
2024-08-20,0,L2384_4611,-250.857
2024-08-20,0,L4612_4630,133.3757
2024-08-20,0,L1076_4612,203.6284
2024-08-20,0,L2193_2384,-380.7448
2024-08-20,0,L89_1584,0.0
2024-08-20,0,L1575_4614,418.1297
2024-08-20,0,L1575_1584,-183.7024
2024-08-20,0,L2820_3156,140.3564
2024-08-20,0,L569_2384,-108.3701
2024-08-20,0,L2384_4615,-226.1109
2024-08-20,0,L597_1156,32.0579
2024-08-20,0,L136_4615,226.1109
2024-08-20,0,L1550_1552,-97.0596
2024-08-20,0,L1552_3702,-97.0596
2024-08-20,0,L4616_4617,97.0596
2024-08-20,0,L1550_4616,97.0596
2024-08-20,0,L4617_4620,97.0596
2024-08-20,0,L1548_4620,-97.0596
2024-08-20,0,L136_1548,-103.3975
2024-08-20,0,L136_591,-122.7134
2024-08-20,0,L1125_4287,624.0268
2024-08-20,0,L51_2389,122.55
2024-08-20,0,L3050_3668,0.0
2024-08-20,0,L46_3156,0.0
2024-08-20,0,L3050_4625,-0.0
2024-08-20,0,L1550_4625,0.0
2024-08-20,0,L2389_3157,0.0
2024-08-20,0,L1575_1583,-279.6872
2024-08-20,0,L2394_3613,-476.2954
2024-08-20,0,L2398_4630,-133.3757
2024-08-20,0,L1152_2398,-135.1202
2024-08-20,0,L1152_3822,135.1202
2024-08-20,0,L3822_4631,443.9026
2024-08-20,0,L1095_4631,29.8937
2024-08-20,0,L3613_4631,-473.7963
2024-08-20,0,L2398_3038,307.7986
2024-08-20,0,L2398_3599,466.377
2024-08-20,0,L2391_2398,715.8193
2024-08-20,0,L3038_4632,347.712
2024-08-20,0,L2395_3597,-491.2564
2024-08-20,0,L3597_4632,-277.7006
2024-08-20,0,L1095_2393,42.9379
2024-08-20,0,L611_2391,602.1521
2024-08-20,0,L611_2388,-602.1521
2024-08-20,0,L2388_4636,-445.0199
2024-08-20,0,L504_2388,157.1322
2024-08-20,0,L2386_3605,-194.5496
2024-08-20,0,L4634_4635,-280.3944
2024-08-20,0,L608_4634,82.517
2024-08-20,0,L4634_4637,362.9114
