Date,Hour,Type,Solve Time
2024-08-20,0,SCED,2.0396
2024-08-20,1,SCED,1.6388
2024-08-20,2,SCED,1.6973
2024-08-20,3,SCED,1.6503
2024-08-20,4,SCED,1.6462
2024-08-20,5,SCED,1.6663
2024-08-20,6,SCED,0.9502
2024-08-20,7,SCED,0.9639
2024-08-20,8,SCED,0.9656
2024-08-20,9,SCED,1.2056
2024-08-20,10,SCED,1.2058
2024-08-20,11,SCED,1.1883
2024-08-20,12,SCED,1.6675
2024-08-20,13,SCED,1.3702
2024-08-20,14,SCED,1.4776
2024-08-20,15,SCED,1.7181
2024-08-20,16,SCED,3.8747
2024-08-20,17,SCED,1.3413
2024-08-20,18,SCED,1.2658
2024-08-20,19,SCED,1.8071
2024-08-20,20,SCED,1.9086
2024-08-20,21,SCED,2.4177
2024-08-20,22,SCED,2.0359
2024-08-20,23,SCED,1.4649
