Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,524598.24,746113.6967,0.0,0.0,9628.6989,423.8361,16558.2988,16558.2988,0.0,67016.8999,18.9611,243,0.0,28353.3811
2024-08-20,1,524598.24,648610.766,0.0,0.0,13010.738,0.0,16760.9719,16760.9719,0.0,63837.5339,18.378,0,0.0,3659.9789
2024-08-20,2,496426.32,610220.526,0.0,0.0,12034.158,0.0,16675.8521,16675.8521,0.0,61375.1941,18.0308,15,0.0,2222.913
2024-08-20,3,496426.32,573965.3952,0.0,0.0,13328.9841,0.0,16197.5463,16197.5463,-0.0,59602.0622,17.959,0,0.0,1522.7994
2024-08-20,4,498222.24,593461.6804,0.0,0.0,12632.6882,0.0,14985.5652,14985.5652,0.0,59150.517,18.456,2,64.14,894.6143
2024-08-20,5,501128.64,652576.6104,0.0,0.0,10671.1007,0.0,13579.024,13579.024,0.0,59959.0233,19.2416,4,103.8,2353.6045
2024-08-20,6,513070.08,721652.2362,0.0,0.0,8604.1052,618.3027,12367.0446,12367.0446,-0.0,61482.7194,20.0824,7,426.47999999999996,2891.2842
2024-08-20,7,513070.08,739836.8281,0.0,0.0,8898.5831,345.5163,11811.0122,11811.0122,0.0,61627.3291,20.3304,0,0.0,2305.8087
2024-08-20,8,510786.96,622195.9384,0.0,0.0,12803.1847,0.0,17561.1283,17561.1283,0.0,63201.0436,17.9266,3,0.0,4996.7865
2024-08-20,9,509519.4,570605.3722,0.0,0.0,14211.5069,0.0,22808.0073,22808.0073,0.0,66531.1804,16.2349,11,146.38,4329.8228
2024-08-20,10,521362.56,639026.3266,0.0,0.0,12619.3881,0.0,25263.8985,25263.8985,-0.0,71299.3404,16.2749,34,314.73,5804.5541
2024-08-20,11,603385.05,782565.1006,0.0,0.0,11495.2084,0.0,24598.7389,24598.7389,0.0,76160.1305,18.1978,127,2467.2000000000007,8840.1712
2024-08-20,12,643802.21,1122942.5999,366.9561,0.0,12233.6621,0.0,21165.3356,24929.882,3764.5464,81557.7476,21.6625,73,1253.0900000000006,14923.1796
2024-08-20,13,648882.95,1258392.2283,1256.7831,0.0,12929.0546,0.0,21163.3984,25563.8364,4400.438,86193.697,22.1278,6,171.59,7584.5365
2024-08-20,14,648882.95,1259534.295,2128.194,0.0,13297.9226,0.0,21414.3559,25395.6861,3981.3302,88652.8176,21.5269,0,0.0,2626.5828
2024-08-20,15,649277.75,1253317.7353,2589.7711,0.0,13487.4101,0.0,21522.5545,25150.3301,3627.7756,89916.0671,21.1597,1,9.4,1259.5735
2024-08-20,16,649277.75,1252927.0644,2853.572,0.0,13580.7479,0.0,21560.0956,25066.7986,3506.703,90538.3196,21.0099,0,0.0,2829.5219
2024-08-20,17,653980.07,1256726.6633,3007.9395,0.0,13605.108,0.0,21424.5485,23855.1186,2430.5701,90700.72,21.0661,6,167.94,3360.1493
2024-08-20,18,654177.47,1283830.0878,2932.9432,0.0,12959.9689,499.5134,19486.0682,20098.5131,612.4449,89729.8825,21.5982,1,5.64,3526.8001
2024-08-20,19,654177.47,1449119.8604,2573.6506,0.0,7734.2552,5242.3418,11387.2514,11545.4485,158.1971,86510.6468,24.3126,0,0.0,7876.3119
2024-08-20,20,654177.47,1451849.5289,1622.7984,0.0,7652.6107,4839.4229,9026.0359,9072.8644,46.8285,83280.2236,25.2884,0,0.0,1209.8104
2024-08-20,21,654177.47,1307310.0891,575.1285,0.0,12144.0778,0.0,12245.4678,12658.8958,413.428,80960.5185,24.2277,0,0.0,7465.6495
2024-08-20,22,654177.47,1053156.8744,0.0,0.0,18768.1978,0.0,15480.6111,15528.7285,48.1174,76996.4133,22.1742,0,0.0,9205.6334
2024-08-20,23,599698.65,865398.8661,0.0,0.0,15293.8697,0.0,15934.0735,15934.0735,-0.0,72268.7038,20.2729,121,0.0,12221.9174
