Date,Hour,Type,Solve Time
2024-08-20,0,SCED,1.9374
2024-08-20,1,SCED,1.8712
2024-08-20,2,SCED,1.7818
2024-08-20,3,SCED,1.8562
2024-08-20,4,SCED,1.8838
2024-08-20,5,SCED,1.91
2024-08-20,6,SCED,1.1396
2024-08-20,7,SCED,1.0771
2024-08-20,8,SCED,1.3062
2024-08-20,9,SCED,1.4103
2024-08-20,10,SCED,1.2261
2024-08-20,11,SCED,1.5263
2024-08-20,12,SCED,1.524
2024-08-20,13,SCED,1.696
2024-08-20,14,SCED,2.0399
2024-08-20,15,SCED,2.1782
2024-08-20,16,SCED,2.0367
2024-08-20,17,SCED,1.6754
2024-08-20,18,SCED,2.2428
2024-08-20,19,SCED,2.3969
2024-08-20,20,SCED,2.939
2024-08-20,21,SCED,2.1061
2024-08-20,22,SCED,4.5845
2024-08-20,23,SCED,1.5594
