Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-08-20,0,476855.42,500118.1784,0.0,0,14084.0947,0.0,16558.2988,16558.2988,-0.0,57112.5041,17.1061,261,0.0,19668.0353
2024-08-20,1,455489.18,439939.9372,0.0,0,14452.7976,0.0,16760.9719,16760.9719,0.0,54402.8743,16.4592,14,0.0,4791.3085
2024-08-20,2,432639.5,406417.3908,0.0,0,13745.8914,0.0,16675.8521,16675.8521,-0.0,52304.4607,16.0418,14,0.0,2292.926
2024-08-20,3,416339.3,393803.3656,0.0,0,12838.0423,0.0,16197.5463,16197.5463,0.0,50793.504,15.9497,10,0.0,4653.8234
2024-08-20,4,416507.3,416806.4464,0.0,0,12016.5037,0.0,14985.5652,14985.5652,-0.0,50409.0615,16.531,1,6.0,3264.0607
2024-08-20,5,424758.62,467247.038,0.0,0,10201.054,0.0,13579.024,13579.024,0.0,51098.66,17.4565,9,306.69,7482.1473
2024-08-20,6,442586.78,519708.7536,0.0,0,8856.2013,0.0,12367.0446,12367.0446,-0.0,52397.0333,18.3655,13,716.79,5142.3035
2024-08-20,7,446498.66,534808.1316,0.0,0,9558.7378,0.0,11811.0122,11811.0122,-0.0,52519.9744,18.6844,11,324.3,2601.9943
2024-08-20,8,460231.82,397620.1436,0.0,0,15145.0088,0.0,17561.1283,17561.1283,0.0,53860.9895,15.9271,9,520.4699999999999,7385.8824
2024-08-20,9,452775.14,339441.1286,0.0,0,16349.8113,0.0,22808.0073,22808.0073,-0.0,56699.176,13.9723,25,655.98,5336.3301
2024-08-20,10,466488.98,373195.9843,0.0,0,16195.7449,0.0,25263.8985,25263.8985,0.0,60763.2336,13.819,19,732.4799999999999,3092.7135
2024-08-20,11,491474.08,487683.3003,0.0,0,13457.9499,0.0,24598.7389,24598.7389,0.0,64906.079,15.0858,61,761.0899999999998,4166.915
2024-08-20,12,506389.3,607901.2704,0.0,0,12354.9056,0.0,24929.882,24929.882,0.0,69506.4964,16.0315,59,1468.5199999999995,6975.7682
2024-08-20,13,554497.87,758809.0537,0.0,0,13387.9388,0.0,24980.6046,25563.8364,583.2318,73457.9258,17.8784,79,1817.06,14035.3546
2024-08-20,14,539796.99,930552.6018,74.6685,0,12941.1421,0.0,23211.1022,25395.6861,2184.5839,75554.8186,19.4607,44,330.5899999999999,8170.475
2024-08-20,15,549464.35,1030854.5523,144.0692,0,11862.4016,0.0,22391.1525,25150.3301,2759.1776,76632.1474,20.6221,7,345.42,4132.5285
2024-08-20,16,557525.85,1042389.0242,186.4927,0,12057.3548,0.0,22272.4606,25066.7986,2794.338,77162.9788,20.7342,3,227.0,2337.8681
2024-08-20,17,559029.45,1059695.6405,213.3949,0,12111.1209,0.0,21244.9116,23855.1186,2610.207,77301.278,20.9405,1,53.7,1556.7023
2024-08-20,18,579720.33,1071531.5356,202.9213,0,11881.0476,0.0,18396.9452,20098.5131,1701.5679,76472.7789,21.5927,9,738.96,3724.3923
2024-08-20,19,579724.73,1192525.5432,152.4435,0,9437.0314,1622.2038,11530.2228,11545.4485,15.2257,73728.2349,24.0376,2,4.4,10305.4308
2024-08-20,20,613226.45,1103250.5055,0.0,0,10857.6864,0.0,9071.0965,9072.8644,1.7679,70975.3001,24.1841,14,1239.69,8163.5728
2024-08-20,21,588853.53,877841.7012,0.0,0,14553.7453,0.0,12658.8958,12658.8958,0.0,68997.7905,21.2571,59,489.24,10604.6509
2024-08-20,22,539712.88,715967.3513,0.0,0,14279.4221,0.0,15528.7285,15528.7285,0.0,65618.3064,19.1361,79,0.0,8222.4058
2024-08-20,23,513967.74,606469.8616,0.0,0,13938.1803,0.0,15934.0735,15934.0735,0.0,61588.9932,18.1922,64,0.0,5642.7464
