Date,Hour,Line,Flow
2024-08-20,0,L1125_2389,-567.9386
2024-08-20,0,L3595_3616,-492.215
2024-08-20,0,L4611_4660,-448.2626
2024-08-20,0,L2384_4611,-352.2004
2024-08-20,0,L4612_4630,76.1007
2024-08-20,0,L1076_4612,112.7458
2024-08-20,0,L2193_2384,-199.2377
2024-08-20,0,L89_1584,0.0
2024-08-20,0,L1575_4614,339.2854
2024-08-20,0,L1575_1584,-183.7024
2024-08-20,0,L2820_3156,61.0989
2024-08-20,0,L569_2384,-80.3414
2024-08-20,0,L2384_4615,-282.8587
2024-08-20,0,L597_1156,31.5981
2024-08-20,0,L136_4615,282.8587
2024-08-20,0,L1550_1552,-97.0596
2024-08-20,0,L1552_3702,-97.0596
2024-08-20,0,L4616_4617,97.0596
2024-08-20,0,L1550_4616,97.0596
2024-08-20,0,L4617_4620,97.0596
2024-08-20,0,L1548_4620,-97.0596
2024-08-20,0,L136_1548,-160.1453
2024-08-20,0,L136_591,-122.7134
2024-08-20,0,L1125_4287,511.7176
2024-08-20,0,L51_2389,122.55
2024-08-20,0,L3050_3668,0.0
2024-08-20,0,L46_3156,0.0
2024-08-20,0,L3050_4625,-0.0
2024-08-20,0,L1550_4625,0.0
2024-08-20,0,L2389_3157,0.0
2024-08-20,0,L1575_1583,-199.1957
2024-08-20,0,L2394_3613,-300.745
2024-08-20,0,L2398_4630,-76.1007
2024-08-20,0,L1152_2398,-70.1021
2024-08-20,0,L1152_3822,70.1021
2024-08-20,0,L3822_4631,216.485
2024-08-20,0,L1095_4631,50.3143
2024-08-20,0,L3613_4631,-266.7993
2024-08-20,0,L2398_3038,148.9604
2024-08-20,0,L2398_3599,257.2459
2024-08-20,0,L2391_2398,583.3149
2024-08-20,0,L3038_4632,168.1166
2024-08-20,0,L2395_3597,-294.4397
2024-08-20,0,L3597_4632,-123.6218
2024-08-20,0,L1095_2393,14.7312
2024-08-20,0,L611_2391,498.1443
2024-08-20,0,L611_2388,-498.1443
2024-08-20,0,L2388_4636,-445.0199
2024-08-20,0,L504_2388,53.1244
2024-08-20,0,L2386_3605,-102.5572
2024-08-20,0,L4634_4635,-280.3944
2024-08-20,0,L608_4634,82.517
2024-08-20,0,L4634_4637,362.9114
2024-08-20,0,L2387_4635,280.3944
2024-08-20,0,L4636_4637,-445.0199
2024-08-20,0,L3666_4637,82.1085
2024-08-20,0,L2385_4638,-60.4015
2024-08-20,0,L2385_3582,162.4821
2024-08-20,0,L2383_3582,-142.9903
2024-08-20,0,L3606_4638,214.5365
2024-08-20,0,L607_608,82.517
2024-08-20,0,L200_3605,93.138
2024-08-20,0,L3452_3605,9.4192
2024-08-20,0,L600_3452,9.4192
2024-08-20,0,L2391_3667,-92.3618
2024-08-20,0,L44_3613,0.0
2024-08-20,0,L1087_3613,16.8537
2024-08-20,0,L3606_4660,294.1276
2024-08-20,0,L3606_3608,-508.6641
2024-08-20,0,L3583_3608,0.0
2024-08-20,0,L2385_3607,-111.3571
2024-08-20,0,L3598_3599,0.0
2024-08-20,0,L3599_3616,257.2459
2024-08-20,0,L3616_3617,0.0
2024-08-20,0,L3596_3597,89.87
2024-08-20,0,L3458_3597,0.0
2024-08-20,0,L3597_3613,17.0921
2024-08-20,0,L967_3764,-319.8684
2024-08-20,0,L967_1780,319.8684
2024-08-20,0,L964_3764,287.6251
2024-08-20,0,L964_1783,-287.6251
2024-08-20,0,L3764_3765,0.0
2024-08-20,0,L1783_3764,300.0307
2024-08-20,0,L69_873,-132.1479
2024-08-20,0,L966_1783,152.7027
2024-08-20,0,L3631_4665,0.0
2024-08-20,0,L3630_4665,0.0
2024-08-20,0,L966_4665,-0.0
2024-08-20,0,L1777_1783,434.9531
2024-08-20,0,L1777_3470,-257.9764
2024-08-20,0,L2589_4667,-429.1416
2024-08-20,0,L4667_4730,-682.7833
2024-08-20,0,L84_2588,-123.5257
2024-08-20,0,L2659_2670,-19.4172
2024-08-20,0,L2670_4673,-22.7159
2024-08-20,0,L2424_4673,51.0668
2024-08-20,0,L2734_3055,-87.1798
2024-08-20,0,L1803_4696,693.7174
2024-08-20,0,L4696_4700,693.7174
2024-08-20,0,L2155_4700,-693.7174
2024-08-20,0,L1803_3051,413.429
2024-08-20,0,L88_2689,171.0962
2024-08-20,0,L2154_2417,-502.5035
2024-08-20,0,L2154_2689,410.5869
2024-08-20,0,L2589_4711,442.1962
2024-08-20,0,L2417_4710,-866.1149
2024-08-20,0,L2406_4710,866.1149
2024-08-20,0,L2734_4711,-243.6205
2024-08-20,0,L2406_3825,81.335
2024-08-20,0,L2417_2716,-94.9387
2024-08-20,0,L2586_4714,685.2698
2024-08-20,0,L2420_4714,-698.696
2024-08-20,0,L2583_4715,128.2209
2024-08-20,0,L76_4715,-127.0471
2024-08-20,0,L2582_2592,-401.1168
2024-08-20,0,L2583_2586,-129.3947
2024-08-20,0,L3019_4716,0.0891
2024-08-20,0,L2419_3019,-70.8639
2024-08-20,0,L2806_4716,-0.0891
2024-08-20,0,L2581_4717,1.484
2024-08-20,0,L2806_4717,-1.484
2024-08-20,0,L1651_2806,-48.7575
2024-08-20,0,L36_1651,178.075
2024-08-20,0,L36_5024,-12.1579
2024-08-20,0,L2559_4720,-67.3646
2024-08-20,0,L2600_4720,67.3646
2024-08-20,0,L2419_2559,356.1702
2024-08-20,0,L2431_2806,36.6554
2024-08-20,0,L2418_2581,-74.0088
2024-08-20,0,L2581_4725,-138.3911
2024-08-20,0,L2421_4725,138.3911
2024-08-20,0,L2418_2419,74.0088
2024-08-20,0,L2659_2806,11.9033
2024-08-20,0,L84_2587,62.8493
2024-08-20,0,L2582_2586,401.1168
2024-08-20,0,L2419_4728,-367.2555
2024-08-20,0,L2417_4728,367.2555
2024-08-20,0,L1803_2401,-888.9903
2024-08-20,0,L4730_4746,-341.7679
2024-08-20,0,L2420_4746,683.9571
2024-08-20,0,L472_2401,241.5476
2024-08-20,0,L472_2399,-241.5476
2024-08-20,0,L1928_2880,535.9424
2024-08-20,0,L2586_2880,-483.1406
2024-08-20,0,L1003_1481,-535.9424
2024-08-20,0,L1003_1924,535.9424
2024-08-20,0,L1927_1928,535.9424
2024-08-20,0,L795_3466,-38.0226
2024-08-20,0,L795_4759,283.4542
2024-08-20,0,L1481_4759,-283.4542
2024-08-20,0,L1924_1927,535.9424
2024-08-20,0,L786_1481,170.9924
2024-08-20,0,L786_2483,-170.9924
2024-08-20,0,L739_3447,-65.0402
2024-08-20,0,L1780_2953,417.9864
2024-08-20,0,L2952_2953,-417.9864
2024-08-20,0,L1448_2952,-547.3208
2024-08-20,0,L2600_2689,-154.1289
2024-08-20,0,L1481_3651,-81.4958
2024-08-20,0,L2401_3595,-492.215
2024-08-20,0,L3593_3595,0.0
2024-08-20,0,L3594_3595,0.0
2024-08-20,0,L3470_3589,0.0
2024-08-20,0,L3469_3470,257.9764
2024-08-20,0,L3468_3469,0.0
2024-08-20,0,L3104_3469,257.9764
2024-08-20,0,L3391_3466,204.4951
2024-08-20,0,L3104_3466,-166.4725
2024-08-20,0,L3103_3104,91.5039
2024-08-20,0,L3055_4777,-134.8703
2024-08-20,0,L2699_4777,134.8703
2024-08-20,0,L2070_2851,550.8583
2024-08-20,0,L1274_2640,-581.8002
2024-08-20,0,L2455_2708,-907.1694
2024-08-20,0,L2836_4597,106.8502
2024-08-20,0,L2615_2948,1674.5192
2024-08-20,0,L2615_2836,-1628.9495
2024-08-20,0,L2836_4276,-254.1433
2024-08-20,0,L2717_2789,-1127.2218
2024-08-20,0,L2789_4800,1018.2791
2024-08-20,0,L262_4800,-1243.1175
2024-08-20,0,L3196_4800,224.8384
2024-08-20,0,L2716_2717,-1211.1674
2024-08-20,0,L2408_2789,-583.5762
2024-08-20,0,L4019_4440,151.3801
2024-08-20,0,L4019_4592,-151.3801
2024-08-20,0,L2704_4440,-56.4757
2024-08-20,0,L2289_2704,426.3102
2024-08-20,0,L2413_2414,-327.7441
2024-08-20,0,L180_2407,918.1203
2024-08-20,0,L176_2906,259.3264
2024-08-20,0,L2757_2907,-78.2699
2024-08-20,0,L421_2716,-1710.3543
2024-08-20,0,L2875_2876,1543.8405
2024-08-20,0,L2562_2875,717.5628
2024-08-20,0,L2598_2876,-1543.8405
2024-08-20,0,L2562_2747,-428.334
2024-08-20,0,L2746_4831,-1163.2451
2024-08-20,0,L2745_4831,1163.2451
2024-08-20,0,L4832_4875,-653.0728
2024-08-20,0,L4832_4876,-430.2937
2024-08-20,0,L962_4832,-1083.3665
2024-08-20,0,L962_4833,2113.5132
2024-08-20,0,L2638_4833,-1098.4099
2024-08-20,0,L2636_4833,-1015.1033
2024-08-20,0,L2449_2745,1466.7046
2024-08-20,0,L2737_2743,-451.7612
2024-08-20,0,L2743_3819,415.1012
2024-08-20,0,L645_2742,427.8244
2024-08-20,0,L2720_2836,-1011.7144
2024-08-20,0,L421_3195,1710.3543
2024-08-20,0,L2415_3195,-906.8396
2024-08-20,0,L2415_3533,1912.6465
2024-08-20,0,L3532_3533,-1912.6465
2024-08-20,0,L3530_3532,-1912.6465
2024-08-20,0,L2836_3530,-1912.6465
2024-08-20,0,L2716_2742,-62.1832
2024-08-20,0,L2449_4845,374.3802
2024-08-20,0,L648_4845,-374.3802
2024-08-20,0,L648_2443,194.4955
2024-08-20,0,L2607_3811,-1269.0617
2024-08-20,0,L214_3811,1269.0617
2024-08-20,0,L2607_2704,831.0227
2024-08-20,0,L2070_2704,-600.6881
2024-08-20,0,L2647_2649,61.2614
2024-08-20,0,L152_2647,180.0858
2024-08-20,0,L2649_2720,-1184.6985
2024-08-20,0,L179_2598,-1187.1826
2024-08-20,0,L2635_4852,736.1602
2024-08-20,0,L152_4852,-736.1602
2024-08-20,0,L2636_3049,1015.1033
2024-08-20,0,L2617_2618,463.8964
2024-08-20,0,L2618_5013,330.5298
2024-08-20,0,L2645_5013,-330.5298
2024-08-20,0,L2598_2722,234.1837
2024-08-20,0,L2430_3424,-365.6412
2024-08-20,0,L2742_3424,365.6412
2024-08-20,0,L2430_2431,374.4702
2024-08-20,0,L2727_2737,-277.5036
2024-08-20,0,L2440_2640,-251.4962
2024-08-20,0,L152_2289,1196.0486
2024-08-20,0,L2455_4875,350.9532
2024-08-20,0,L4875_4876,-302.1197
2024-08-20,0,L2562_4876,732.4133
2024-08-20,0,L2637_3049,-1015.1033
2024-08-20,0,L2562_2719,-1214.4016
2024-08-20,0,L4877_5308,-278.8088
2024-08-20,0,L2454_4877,-567.6905
2024-08-20,0,L3587_4877,288.8817
2024-08-20,0,L2454_4878,180.1894
2024-08-20,0,L2453_4878,-180.1894
2024-08-20,0,L2453_2454,-180.2827
2024-08-20,0,L1492_2445,582.274
2024-08-20,0,L2445_2446,581.6499
2024-08-20,0,L1492_2453,-38.5785
2024-08-20,0,L1284_4880,709.9616
2024-08-20,0,L2426_4880,-709.9616
2024-08-20,0,L3905_4881,-0.6652
2024-08-20,0,L2453_4882,219.7016
2024-08-20,0,L1284_4882,-219.7016
2024-08-20,0,L1279_2446,-345.3092
2024-08-20,0,L1279_2640,274.5112
2024-08-20,0,L2443_5022,543.6955
2024-08-20,0,L2441_2640,415.1012
2024-08-20,0,L2441_3819,-415.1012
2024-08-20,0,L2431_2440,-42.8766
2024-08-20,0,L2436_2440,-52.3392
2024-08-20,0,L645_2743,-823.1375
2024-08-20,0,L645_2737,376.9893
2024-08-20,0,L2427_4883,-304.7439
2024-08-20,0,L2426_4883,700.8366
2024-08-20,0,L2428_4884,132.6441
2024-08-20,0,L4884_4885,132.6441
2024-08-20,0,L2427_4885,-132.6441
2024-08-20,0,L2425_2427,-680.6577
2024-08-20,0,L2560_3043,-379.0998
2024-08-20,0,L2560_4887,161.1106
2024-08-20,0,L1941_4887,-161.1106
2024-08-20,0,L2425_3043,326.3898
2024-08-20,0,L2612_2836,-674.1821
2024-08-20,0,L2097_2413,802.2479
2024-08-20,0,L180_2413,-1129.992
2024-08-20,0,L246_2411,571.1593
2024-08-20,0,L2395_2399,294.4397
2024-08-20,0,L2562_2708,431.6942
2024-08-20,0,L245_246,-526.4719
2024-08-20,0,L35_36,0.0
2024-08-20,0,L2070_2273,477.1493
2024-08-20,0,L2785_3684,75.0273
2024-08-20,0,L2785_3837,0.0
2024-08-20,0,L1492_4976,-543.6955
2024-08-20,0,L3039_4976,543.6955
2024-08-20,0,L1284_1285,-490.26
2024-08-20,0,L263_264,0.0
2024-08-20,0,L263_2415,863.0306
2024-08-20,0,L263_3195,-935.0628
2024-08-20,0,L4591_4592,151.3801
2024-08-20,0,L2747_2875,826.2777
2024-08-20,0,L1768_2709,-500.2484
2024-08-20,0,L3684_4591,75.0273
2024-08-20,0,L3196_3665,0.0
2024-08-20,0,L3531_3532,0.0
2024-08-20,0,L10_263,-153.5279
2024-08-20,0,L3193_3195,131.5481
2024-08-20,0,L3193_3194,87.1
2024-08-20,0,L3014_3530,0.0
2024-08-20,0,L3041_5022,-543.6955
2024-08-20,0,L3040_3041,-543.6955
2024-08-20,0,L3039_3040,-543.6955
2024-08-20,0,L2716_2923,-531.9425
2024-08-20,0,L1941_5024,12.1579
2024-08-20,0,L2479_4532,251.9519
2024-08-20,0,L2479_5065,-73.471
2024-08-20,0,L5041_5076,25.819
2024-08-20,0,L5041_5077,-25.819
2024-08-20,0,L1441_5046,67.2885
2024-08-20,0,L5046_5048,-76.3344
2024-08-20,0,L2476_5048,39.2985
2024-08-20,0,L1455_1539,-155.1619
2024-08-20,0,L2479_3152,-10.9009
2024-08-20,0,L1441_2473,61.4989
2024-08-20,0,L2473_3632,209.6168
2024-08-20,0,L1394_3632,37.3458
2024-08-20,0,L1064_3681,-0.0
2024-08-20,0,L5065_5161,-163.7506
2024-08-20,0,L912_5065,-90.2796
2024-08-20,0,L66_5070,-9.6968
2024-08-20,0,L62_5070,9.6968
2024-08-20,0,L59_66,0.0052
2024-08-20,0,L56_3747,-146.0724
2024-08-20,0,L56_1354,9.9363
2024-08-20,0,L2476_5076,-77.9874
2024-08-20,0,L5076_5077,-52.1685
2024-08-20,0,L3748_5077,77.9874
2024-08-20,0,L5078_5079,176.7087
2024-08-20,0,L3747_5079,-176.7087
2024-08-20,0,L3681_3683,0.0
2024-08-20,0,L3681_3682,0.0
2024-08-20,0,L1863_3447,21.7383
2024-08-20,0,L3559_5102,-71.9686
2024-08-20,0,L5102_5146,-18.1509
2024-08-20,0,L5103_5177,180.5013
2024-08-20,0,L5103_5105,-378.8679
2024-08-20,0,L3349_5104,-331.283
2024-08-20,0,L5104_5175,-657.6681
2024-08-20,0,L2835_5114,0.9147
2024-08-20,0,L5106_5113,657.6681
2024-08-20,0,L368_5106,289.5168
2024-08-20,0,L368_5145,-306.2843
2024-08-20,0,L368_5123,152.5319
2024-08-20,0,L3584_3585,242.9075
2024-08-20,0,L368_1508,233.8588
2024-08-20,0,L368_3383,-403.1431
2024-08-20,0,L2496_4204,-36.6102
2024-08-20,0,L2496_2504,97.2724
2024-08-20,0,L2867_5403,536.628
2024-08-20,0,L1775_3679,18.9732
2024-08-20,0,L1485_2502,112.3109
2024-08-20,0,L3382_5113,-165.1962
2024-08-20,0,L5113_5175,492.4718
2024-08-20,0,L5116_5157,-351.4798
2024-08-20,0,L1534_5116,-248.7683
2024-08-20,0,L4052_5121,-39.4135
2024-08-20,0,L2536_5121,-103.7412
2024-08-20,0,L4559_5121,143.1547
2024-08-20,0,L1535_5123,-64.588
2024-08-20,0,L1045_3449,0.0
2024-08-20,0,L2511_3449,-136.2756
2024-08-20,0,L2591_2592,183.8489
2024-08-20,0,L3690_3691,85.0139
2024-08-20,0,L2537_2538,-445.3682
2024-08-20,0,L3552_5125,114.9315
2024-08-20,0,L2537_5125,-114.9315
2024-08-20,0,L2536_4558,911.0618
2024-08-20,0,L3552_5126,-114.9315
2024-08-20,0,L2536_5126,35.681
2024-08-20,0,L2535_4558,-972.3368
2024-08-20,0,L4559_5128,-310.4311
2024-08-20,0,L5128_5131,43.6577
2024-08-20,0,L2512_5128,354.0888
2024-08-20,0,L2537_3615,467.2087
2024-08-20,0,L2536_5131,-407.9931
2024-08-20,0,L3349_5131,364.3354
2024-08-20,0,L2534_2535,-720.8754
2024-08-20,0,L2535_3615,-550.5835
2024-08-20,0,L2532_2534,-434.6321
2024-08-20,0,L2533_4556,-286.2978
2024-08-20,0,L1488_2533,286.822
2024-08-20,0,L1488_3515,-412.887
2024-08-20,0,L2532_3515,493.255
2024-08-20,0,L2532_4557,0.0
2024-08-20,0,L1049_1508,127.2918
2024-08-20,0,L1049_2505,-187.0186
2024-08-20,0,L359_1508,83.8634
2024-08-20,0,L1508_2501,124.603
2024-08-20,0,L2501_2591,76.2631
2024-08-20,0,L359_1534,-249.8834
2024-08-20,0,L2512_2513,-227.7796
2024-08-20,0,L3618_3619,96.9442
2024-08-20,0,L1534_2512,126.3092
2024-08-20,0,L2503_2511,126.7754
2024-08-20,0,L2504_2511,-366.285
2024-08-20,0,L2506_2509,-50.8991
2024-08-20,0,L2507_2511,80.4745
2024-08-20,0,L2508_2511,55.1067
2024-08-20,0,L2506_3449,136.2756
2024-08-20,0,L2495_2505,287.5842
2024-08-20,0,L2502_3276,-0.0
2024-08-20,0,L1483_3276,0.0
2024-08-20,0,L2502_2592,-80.4482
2024-08-20,0,L1485_3654,-144.4251
2024-08-20,0,L731_1862,-160.9871
2024-08-20,0,L94_731,-152.6733
2024-08-20,0,L2791_5134,-303.9205
2024-08-20,0,L2500_5134,339.6863
2024-08-20,0,L2495_4204,42.4767
2024-08-20,0,L2494_2495,334.2924
2024-08-20,0,L2493_2494,337.7069
2024-08-20,0,L2492_2496,60.6622
2024-08-20,0,L2491_2493,337.7069
2024-08-20,0,L2535_4541,802.0449
2024-08-20,0,L2934_4541,-690.5174
2024-08-20,0,L2483_3706,0.0
2024-08-20,0,L2483_3435,-216.1647
2024-08-20,0,L3435_3656,-216.1647
2024-08-20,0,L2482_3656,1.7022
2024-08-20,0,L2481_2504,90.9364
2024-08-20,0,L2482_4533,0.0
2024-08-20,0,L2480_2481,61.1116
2024-08-20,0,L2481_2482,-29.8248
2024-08-20,0,L2478_2504,-240.7323
2024-08-20,0,L2477_2478,-327.1035
2024-08-20,0,L1540_2477,436.3132
2024-08-20,0,L2477_3160,763.4167
2024-08-20,0,L2504_5136,483.7796
2024-08-20,0,L2240_5136,248.5306
2024-08-20,0,L1460_5136,-732.3102
2024-08-20,0,L25_1460,-779.4679
2024-08-20,0,L1083_2542,-84.9826
2024-08-20,0,L1862_1863,118.0429
2024-08-20,0,L948_1862,195.3652
2024-08-20,0,L723_1862,83.6648
2024-08-20,0,L1862_4436,0.0
2024-08-20,0,L723_2591,-83.6648
2024-08-20,0,L1775_2505,-100.5656
2024-08-20,0,L1540_2557,-138.3588
2024-08-20,0,L1539_3338,-164.0181
2024-08-20,0,L1453_3338,184.5004
2024-08-20,0,L1536_4272,55.1177
2024-08-20,0,L1174_1538,-329.5677
2024-08-20,0,L1536_1540,287.3634
2024-08-20,0,L37_1540,10.5909
2024-08-20,0,L1536_4496,-254.7762
2024-08-20,0,L2482_4496,13.9252
2024-08-20,0,L1535_5157,236.4704
2024-08-20,0,L1534_3620,-127.4242
2024-08-20,0,L110_3620,127.4242
2024-08-20,0,L110_2503,-127.4242
2024-08-20,0,L1190_2503,-20.048
2024-08-20,0,L1405_1538,-64.2151
2024-08-20,0,L1405_1532,-45.6217
2024-08-20,0,L1532_1533,-35.3847
2024-08-20,0,L1182_1532,10.237
2024-08-20,0,L1531_3691,-153.8305
2024-08-20,0,L1531_1538,152.1551
2024-08-20,0,L1530_1538,86.2752
2024-08-20,0,L1529_1538,155.3525
2024-08-20,0,L1080_1519,37.4815
2024-08-20,0,L8_1518,-0.0
2024-08-20,0,L2933_5144,0.0
2024-08-20,0,L1166_5144,0.0
2024-08-20,0,L2503_3010,-274.2476
2024-08-20,0,L203_1518,246.6207
2024-08-20,0,L1519_2232,142.5886
2024-08-20,0,L203_1186,-246.6207
2024-08-20,0,L1535_3618,-97.4169
2024-08-20,0,L1507_3618,194.3611
2024-08-20,0,L1186_2919,-91.2212
2024-08-20,0,L2919_3566,-91.2212
2024-08-20,0,L3566_5174,194.3611
2024-08-20,0,L1507_5174,-194.3611
2024-08-20,0,L1535_3619,-0.2046
2024-08-20,0,L5145_5176,-177.8022
2024-08-20,0,L5145_5177,-128.4821
2024-08-20,0,L331_1506,-157.6586
2024-08-20,0,L1506_3584,-157.6586
2024-08-20,0,L331_3660,157.6586
2024-08-20,0,L2232_5146,18.1509
2024-08-20,0,L2537_3518,-149.7561
2024-08-20,0,L2548_3199,459.3176
2024-08-20,0,L2872_3199,-459.3176
2024-08-20,0,L368_1535,74.2609
2024-08-20,0,L2532_4556,-108.8917
2024-08-20,0,L3349_4052,332.4504
2024-08-20,0,L2532_2968,843.7448
2024-08-20,0,L2968_5147,863.2946
2024-08-20,0,L5147_5392,1043.9555
2024-08-20,0,L1489_5148,303.9632
2024-08-20,0,L1490_5148,-303.9632
2024-08-20,0,L1489_5169,-303.9632
2024-08-20,0,L48_359,-165.0732
2024-08-20,0,L48_3188,303.9632
2024-08-20,0,L25_1437,499.0686
2024-08-20,0,L1437_1441,259.7444
2024-08-20,0,L1210_1529,0.0
2024-08-20,0,L949_1537,169.5275
2024-08-20,0,L948_3859,-138.8084
2024-08-20,0,L948_3654,-56.5568
2024-08-20,0,L947_1519,105.1071
2024-08-20,0,L3160_5161,353.5624
2024-08-20,0,L912_5161,-189.8118
2024-08-20,0,L199_2546,35.4225
2024-08-20,0,L327_3660,96.6102
2024-08-20,0,L258_1537,-235.7453
2024-08-20,0,L94_95,-81.7
2024-08-20,0,L94_2500,234.3733
2024-08-20,0,L3707_3859,138.8084
2024-08-20,0,L3704_3705,-0.0
2024-08-20,0,L1537_3704,0.0
2024-08-20,0,L139_3690,21.9459
2024-08-20,0,L139_3689,-138.2364
2024-08-20,0,L1186_3673,-99.1021
2024-08-20,0,L5169_5171,-100.9811
2024-08-20,0,L5169_5170,-202.9822
2024-08-20,0,L5170_5171,100.9811
2024-08-20,0,L3188_5170,303.9632
2024-08-20,0,L5171_5172,0.0
2024-08-20,0,L3672_5172,-0.0
2024-08-20,0,L3671_3672,0.0
2024-08-20,0,L48_3670,0.0
2024-08-20,0,L3659_3660,102.125
2024-08-20,0,L3656_3657,0.0
2024-08-20,0,L3654_3655,0.0
2024-08-20,0,L3654_5173,-200.9819
2024-08-20,0,L3653_5173,200.9819
2024-08-20,0,L3652_5173,0.0
2024-08-20,0,L3620_3621,0.0
2024-08-20,0,L3559_3584,400.5661
2024-08-20,0,L3520_3521,-278.3194
2024-08-20,0,L3521_3688,0.0
2024-08-20,0,L3519_3520,-278.3194
2024-08-20,0,L139_3519,47.4739
2024-08-20,0,L139_3691,68.8166
2024-08-20,0,L3517_3559,191.3415
2024-08-20,0,L3444_3559,0.0
2024-08-20,0,L3560_3567,285.5823
2024-08-20,0,L3566_3567,-285.5823
2024-08-20,0,L37_3390,-123.081
2024-08-20,0,L37_258,-20.5369
2024-08-20,0,L3383_3525,-303.6789
2024-08-20,0,L199_3383,99.4642
2024-08-20,0,L3382_3453,0.0
2024-08-20,0,L3382_5175,165.1962
2024-08-20,0,L5176_5177,-52.0192
2024-08-20,0,L3381_5176,125.783
2024-08-20,0,L3380_3381,2.6612
2024-08-20,0,L3447_3451,-202.5751
2024-08-20,0,L1519_3471,0.0
2024-08-20,0,L37_901,133.027
2024-08-20,0,L42_882,0.0
2024-08-20,0,L882_2952,129.3344
2024-08-20,0,L8_2933,0.0
2024-08-20,0,L2483_2895,0.0
2024-08-20,0,L8_2894,0.0
2024-08-20,0,L3615_3944,-83.3748
2024-08-20,0,L2540_5197,-80.7319
2024-08-20,0,L5197_5257,101.5655
2024-08-20,0,L4549_5197,182.2974
2024-08-20,0,L4518_5208,123.0208
2024-08-20,0,L2498_4073,602.0087
2024-08-20,0,L2462_5213,-34.0326
2024-08-20,0,L5213_5221,-34.0326
2024-08-20,0,L2462_5214,-47.618
2024-08-20,0,L5214_5304,412.5068
2024-08-20,0,L4604_5215,-271.41
2024-08-20,0,L4506_5215,623.8166
2024-08-20,0,L1831_5217,207.2328
2024-08-20,0,L4510_5217,-34.8473
2024-08-20,0,L4508_5217,-172.3855
2024-08-20,0,L4507_5218,-497.7329
2024-08-20,0,L4512_5218,220.4089
2024-08-20,0,L5218_5307,-277.324
2024-08-20,0,L3978_4602,525.7487
2024-08-20,0,L2809_3978,525.7487
2024-08-20,0,L2787_5219,1155.0265
2024-08-20,0,L4604_5221,-236.7233
2024-08-20,0,L4539_4600,1619.6543
