Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-1111.2393
2024-06-17,0,L3595_3616,-1036.0431
2024-06-17,0,L4611_4660,-795.8287
2024-06-17,0,L2384_4611,-654.7576
2024-06-17,0,L4612_4630,212.6074
2024-06-17,0,L1076_4612,297.734
2024-06-17,0,L2193_2384,-557.165
2024-06-17,0,L89_1584,-0.0
2024-06-17,0,L1575_4614,692.6316
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,179.3255
2024-06-17,0,L569_2384,-97.0507
2024-06-17,0,L2384_4615,-466.6319
2024-06-17,0,L597_1156,46.0092
2024-06-17,0,L136_4615,466.6319
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-244.9667
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,1041.6403
2024-06-17,0,L51_2389,221.37
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-431.346
2024-06-17,0,L2394_3613,-489.3768
2024-06-17,0,L2398_4630,-212.6074
2024-06-17,0,L1152_2398,-158.617
2024-06-17,0,L1152_3822,158.617
2024-06-17,0,L3822_4631,494.0543
2024-06-17,0,L1095_4631,103.5894
2024-06-17,0,L3613_4631,-597.6437
2024-06-17,0,L2398_3038,425.7855
2024-06-17,0,L2398_3599,611.6029
2024-06-17,0,L2391_2398,1195.5314
2024-06-17,0,L3038_4632,481.9603
2024-06-17,0,L2395_3597,-871.5065
2024-06-17,0,L3597_4632,-380.8158
2024-06-17,0,L1095_2393,25.0242
2024-06-17,0,L611_2391,1029.333
2024-06-17,0,L611_2388,-1029.333
