Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.8308
2024-06-17,1,SCED,1.7578
2024-06-17,2,SCED,1.6703
2024-06-17,3,SCED,1.7662
2024-06-17,4,SCED,1.6599
2024-06-17,5,SCED,1.7576
2024-06-17,6,SCED,3.5661
2024-06-17,7,SCED,1.3061
2024-06-17,8,SCED,1.0403
2024-06-17,9,SCED,3.5366
2024-06-17,10,SCED,1.5302
2024-06-17,11,SCED,1.6375
2024-06-17,12,SCED,1.7052
2024-06-17,13,SCED,1.5992
2024-06-17,14,SCED,1.8685
2024-06-17,15,SCED,1.4914
2024-06-17,16,SCED,1.4557
2024-06-17,17,SCED,1.4504
2024-06-17,18,SCED,1.3697
2024-06-17,19,SCED,1.8217
2024-06-17,20,SCED,2.4872
2024-06-17,21,SCED,2.1571
2024-06-17,22,SCED,1.8915
2024-06-17,23,SCED,1.4428
