Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,321649.46,268615.5596,0,0,9632.5491,0.0,29910.3329,29910.3329,0.0,56439.1838,10.4584,353,0.0,11185.7509
2024-06-17,1,306428.66,233751.3243,0,0,9530.7521,0.0,29075.3272,29075.3272,-0.0,53893.9751,10.023,9,0.0,2688.3786
2024-06-17,2,283395.86,233664.8255,0,0,7538.3083,291.0783,28126.8188,28126.8188,0.0,52195.9105,9.9062,13,0.0,1576.6093
2024-06-17,3,283395.86,223687.3053,0,0,7853.8955,0.0,27372.8813,27372.8813,0.0,51126.3858,9.9182,0,0.0,1076.8873
2024-06-17,4,283395.86,248602.5616,0,0,6945.1653,695.3295,26274.3976,26274.3976,-0.0,50936.6323,10.4443,0,0.0,908.7302
2024-06-17,5,283395.86,274066.5624,0,0,6035.7367,1715.0279,26100.101,26100.101,0.0,51671.7643,10.7885,0,0.0,1770.4286
2024-06-17,6,294090.74,290016.2752,0,0,5466.1041,2423.7513,26075.78,26075.78,-0.0,52599.0359,11.1049,7,381.96,1167.3474
2024-06-17,7,304244.66,314384.5548,0,0,5487.0484,2631.9753,26370.6328,26370.6328,0.0,54126.8244,11.4293,5,362.64,2061.3275
2024-06-17,8,304244.66,210530.585,0,0,10202.6967,0.0,33041.9376,33041.9376,0.0,56928.6409,9.0425,0,0.0,4827.7206
2024-06-17,9,296318.34,104291.9331,0,0,12821.8996,0.0,40736.8685,41954.7545,1217.886,60086.4289,6.6672,17,1294.06,7562.2263
2024-06-17,10,296953.38,157998.7407,0,0,11996.3602,0.0,42833.4475,45196.0857,2362.6382,63734.1073,7.1383,19,401.21999999999997,2807.2287
2024-06-17,11,305899.38,176890.3968,0,0,12188.4877,0.0,45002.1673,48087.9943,3085.827,66966.3796,7.2094,4,319.5,2940.5361
2024-06-17,12,325433.58,194990.055,0,0,12094.0748,0.0,46069.6942,49578.5664,3508.8722,69571.4694,7.4804,12,697.65,3225.7302
2024-06-17,13,331949.46,250291.4323,0,0,11635.3364,0.0,46149.8921,49490.946,3341.0539,71970.9657,8.0899,2,232.71,4976.9361
2024-06-17,14,331949.46,254455.0268,0,0,12059.894,0.0,48170.0072,52220.3958,4050.3886,74109.5132,7.9127,0,0.0,3064.3852
2024-06-17,15,337997.46,231477.6214,0,0,12905.3098,0.0,49058.1143,54244.5965,5186.4822,74368.2045,7.6575,2,216.0,3099.9354
2024-06-17,16,337997.46,271307.6609,0,0,11915.894,0.0,47588.8835,52292.198,4703.3145,74392.3895,8.1904,0,0.0,3363.6661
2024-06-17,17,342597.46,265573.0639,0,0,12120.5686,0.0,47544.9321,53008.4614,5463.5293,74327.7635,8.1823,1,184.0,1341.6105
2024-06-17,18,342597.46,292968.9246,0,0,11334.9565,0.0,45661.9518,50365.6604,4703.7086,73506.3953,8.6464,0,0.0,3870.6066
2024-06-17,19,359346.58,290294.9803,0,0,11310.8775,0.0,43200.933,46758.5874,3557.6544,71693.9955,9.0613,9,624.54,2232.0426
2024-06-17,20,362769.58,362037.7375,0,0,10284.3635,69.8334,38158.3427,39669.3918,1511.0491,69027.9792,10.5002,3,97.8,7654.2342
2024-06-17,21,362769.58,474324.5713,0,0,7042.7683,3035.8012,32451.0319,32678.2194,227.1875,67190.4636,12.4585,0,0.0,5273.7977
2024-06-17,22,362769.58,390248.1033,0,0,9571.8994,0.0,31602.3622,32046.212,443.8498,63812.6628,11.8004,0,0.0,6170.2836
2024-06-17,23,349020.46,301653.7472,0,0,11295.0404,0.0,31312.4087,31811.3976,498.9889,59812.7683,10.8785,13,0.0,5336.4649
