Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-01-08,0,134953.61,27380.8809,0.0,0,5332.2181,0.0,30754.7545,30761.5563,6.8018,41213.4364,3.9389,426,0.0,1823.0719
2024-01-08,1,134953.61,15931.7203,0.0,0,5774.258,0.0,30415.9199,30417.0137,1.0938,40432.5619,3.7318,0,0.0,468.9858
2024-01-08,2,134953.61,9872.2923,0.0,0,6156.0318,0.0,30470.8607,30477.8154,6.9547,40105.7289,3.6111,0,0.0,474.3158
2024-01-08,3,128200.07,19204.9875,0.0,0,5088.9395,0.0,30304.8493,30307.5711,2.7218,40248.1098,3.6624,4,0.0,845.3328
2024-01-08,4,131095.13,37788.2598,0.0,0,4366.1208,0.0,30153.5391,30153.5391,-0.0,40915.8283,4.1276,5,96.21000000000002,811.0747
2024-01-08,5,142688.81,80577.3094,0.0,0,3066.9442,0.0,30096.7968,30096.7968,-0.0,42892.6126,5.2052,7,414.06000000000006,1619.4666
2024-01-08,6,158483.33,142638.7157,40.7643,0,1985.5959,296.3131,30190.0216,30190.0216,0.0,45638.18,6.598,10,564.0899999999999,3072.9707
2024-01-08,7,163680.41,163084.8063,32.8238,0,2310.2112,41.1052,30408.9064,30408.9064,-0.0,47026.329,6.9486,2,185.60999999999999,2301.9057
2024-01-08,8,181644.41,148456.9196,39.4696,0,3063.882,0.0,30304.9635,30313.1115,8.148,47220.2511,6.9907,6,1071.8,1164.9657
2024-01-08,9,168048.41,142836.495,43.1418,0,3766.199,0.0,31389.0282,31389.0282,0.0,47385.571,6.5608,3,61.5,1671.2698
2024-01-08,10,151878.45,98272.0863,49.9066,0,4588.9383,0.0,33867.2633,33867.2633,0.0,47559.9016,5.2597,7,123.47,2374.1521
2024-01-08,11,145081.89,90654.1146,52.9418,0,4457.3515,0.0,34923.7375,35101.5214,177.7839,47884.9278,4.923,4,0.0,1428.2233
2024-01-08,12,145081.89,69482.0708,54.1955,0,5442.8221,0.0,35870.8167,36470.2046,599.3879,47847.7901,4.4843,0,0.0,1013.5038
2024-01-08,13,136340.01,85355.3543,56.873,0,3921.1974,0.0,35031.0459,35493.2402,462.1943,47491.6215,4.6681,3,0.0,961.3093
2024-01-08,14,136340.01,79730.753,52.8795,0,4079.0576,0.0,34830.7731,35078.7814,248.0083,47129.495,4.5846,0,0.0,1163.6381
2024-01-08,15,136340.01,76434.9875,51.4704,0,4205.9532,0.0,34927.7548,35037.5712,109.8164,47098.172,4.5177,0,0.0,331.6458
2024-01-08,16,147480.01,77450.7971,39.863,0,4127.6932,0.0,34749.9939,34996.3974,246.4035,47432.6637,4.7421,2,445.6,993.3399
2024-01-08,17,183898.81,142536.8479,41.557,0,2431.125,0.0,32206.848,32669.9477,463.0997,48622.5,6.7137,14,1366.3199999999997,3074.7216
2024-01-08,18,192828.81,200933.4403,46.6019,0,2730.4543,0.0,30904.4929,30904.4929,0.0,50060.5405,7.8657,1,357.2,4834.4218
2024-01-08,19,194678.81,210080.8607,42.313,0,2654.709,0.0,30365.8061,30365.8061,0.0,49945.1101,8.1041,2,246.0,2171.4075
2024-01-08,20,196853.81,206103.4454,35.2528,0,2762.959,0.0,30381.5301,30382.0198,0.4897,49893.1639,8.0764,4,293.64,1147.6905
2024-01-08,21,192756.29,221306.4009,33.7111,0,2454.3644,0.0,29315.9405,29828.6943,512.7538,49087.2873,8.4352,4,0.0,3627.1829
2024-01-08,22,187439.09,175691.725,0.0,0,3477.499,0.0,29549.5776,29549.5776,-0.0,47631.0786,7.6238,3,0.0,3802.0748
2024-01-08,23,176026.29,138519.3014,0.0,0,4012.1383,0.0,30148.7802,30153.5391,4.7589,46443.6419,6.7726,4,0.0,3338.2886
