Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,258528.89,385754.0372,347.8097,0,5847.7477,0.0,29820.9443,29910.3329,89.3886,56439.2063,11.4155,298,0.0,13643.1923
2024-06-17,1,241013.21,359811.3418,263.9227,0,5406.0154,0.0,29003.0511,29075.3272,72.2761,53893.9585,11.1483,15,0.0,1700.5509
2024-06-17,2,236915.69,345675.8338,208.0571,0,5630.9038,0.0,28073.5804,28126.8188,53.2384,52195.9338,11.1616,4,0.0,1733.2198
2024-06-17,3,232315.69,343576.2017,174.1644,0,5468.4635,0.0,27335.4958,27372.8813,37.3855,51126.3967,11.2641,1,0.0,942.5922
2024-06-17,4,234029.29,361011.5485,171.7948,0,4638.8962,0.0,26257.3273,26274.3976,17.0703,50936.6259,11.682,1,61.2,2212.9572
2024-06-17,5,246790.57,376898.8597,199.0085,0,4355.9279,0.0,26083.7137,26100.101,16.3873,51671.7544,12.0702,12,455.76000000000005,1080.3927
2024-06-17,6,250888.09,397809.1696,214.0652,0,4636.9172,0.0,26067.1695,26075.78,8.6105,52599.0575,12.3329,4,146.33999999999997,2388.9347
2024-06-17,7,250888.09,428534.6952,265.785,0,3800.5012,0.0,26365.3253,26370.6328,5.3075,54126.8091,12.5524,0,0.0,2916.0562
2024-06-17,8,259372.09,317147.5429,378.9413,0,7716.0876,0.0,32727.188,33041.9376,314.7496,56928.6417,10.1271,3,242.4,4149.191
2024-06-17,9,229965.37,222120.95,504.7389,0,9776.6198,0.0,40372.4185,41954.7545,1582.336,60086.4375,7.5239,17,0.0,5898.7628
2024-06-17,10,238460.71,245986.0428,631.3833,0,8908.8643,0.0,42832.9948,45196.0857,2363.0909,63734.1038,7.6011,5,276.09000000000003,3914.9017
2024-06-17,11,242629.21,278427.6485,721.6006,0,8329.7137,0.0,44632.5883,48087.9943,3455.406,66966.3752,7.7809,1,119.1,2508.4336
2024-06-17,12,260489.21,305633.3327,790.8111,0,7694.4579,0.0,45540.9049,49578.5664,4037.6615,69571.4581,8.1373,2,714.4,2077.8755
2024-06-17,13,276378.16,345183.6416,856.2769,0,4627.9037,0.0,46114.2862,49490.946,3376.6598,71970.9773,8.6363,50,1583.65,4663.3141
2024-06-17,14,245962.6,425110.6819,944.7182,0,2859.1447,846.3306,47179.8195,52220.3958,5040.5763,74109.5062,9.0552,29,98.67,4726.1525
2024-06-17,15,245814.34,407675.6454,912.8911,0,3414.9566,303.4543,47977.0754,54244.5965,6267.5211,74368.2168,8.7872,8,60.0,1621.2127
2024-06-17,16,245809.28,446614.5988,907.5219,0,2680.0066,1039.6123,46822.9226,52292.198,5469.2754,74392.3777,9.3077,4,10.040000000000001,1633.0156
2024-06-17,17,256371.83,382697.6273,1428.8842,0,2373.1606,1343.2276,47673.3194,53008.4614,5335.142,74327.7639,8.598,50,1369.5199999999998,802.0065
2024-06-17,18,280840.19,422424.9554,752.8892,0,3923.7719,0.0,45148.8392,50365.6604,5216.8212,73506.393,9.5674,23,1188.96,4417.2755
2024-06-17,19,292509.47,409877.4555,657.9199,0,7120.2127,0.0,43202.5264,46758.5874,3556.061,71693.9936,9.797,6,416.76,3516.9985
2024-06-17,20,304102.2,436443.9833,582.579,0,6459.8947,0.0,39085.8616,39669.3918,583.5302,69027.9859,10.7282,13,716.74,3351.7174
2024-06-17,21,298363.03,554683.4885,1333.8978,0,2914.8094,444.7136,32530.3408,32678.2194,147.8786,67190.4592,12.6959,13,112.93000000000002,5070.2957
2024-06-17,22,294653.19,500484.4083,418.3341,0,4054.0529,0.0,31911.4955,32046.212,134.7165,63812.6767,12.4605,14,229.5,2066.402
2024-06-17,23,284445.51,405969.2991,305.14,0,6180.8089,0.0,31687.9519,31811.3976,123.4457,59812.783,11.5429,14,229.5,4314.1882
