Date,Hour,Line,Flow
2024-06-17,0,L1669_1679_345,-537.0496
2024-06-17,0,L32_41_345,-3.5424
2024-06-17,0,L1794_1832_345,265.1326
2024-06-17,0,L2956_2981_345,976.1214
2024-06-17,0,L1597_1601_345,145.3663
2024-06-17,0,L3060_3061_345,-83.8983
2024-06-17,0,L1745_1891_345,138.4915
2024-06-17,0,L1668_2013_345,-51.8097
2024-06-17,0,L1223_1790_345,-404.3658
2024-06-17,0,L2935_2958_345,-127.7428
2024-06-17,0,L3018_3019_345,655.5502
2024-06-17,0,L0_1957_345,205.5651
2024-06-17,0,L58_868_345,-0.0
2024-06-17,0,L521_1057_345,1100.6453
2024-06-17,0,L1900_3032_345,552.9911
2024-06-17,0,L801_813_345,-854.1066
2024-06-17,0,L801_802_345,-324.2332
2024-06-17,0,L2254_3087_345,0.0
2024-06-17,0,L2389_2390_345,184.475
2024-06-17,0,L1504_1918_345,244.5826
2024-06-17,0,L1937_1938_345,0.3832
2024-06-17,0,L820_821_345,-494.7891
2024-06-17,0,L2067_2958_345,-962.4046
2024-06-17,0,L836_3006_345,608.9842
2024-06-17,0,L2423_2424_345,0.0
2024-06-17,0,L1801_1918_345,1940.2649
2024-06-17,0,L175_834_345,-210.9538
2024-06-17,0,L3039_3053_345,-209.1309
2024-06-17,0,L2329_2330_345,0.0
2024-06-17,0,L123_2206_345,-190.7525
2024-06-17,0,L68_1593_345,-536.948
2024-06-17,0,L1549_1804_345,-99.1219
2024-06-17,0,L2936_3073_345,-52.9932
2024-06-17,0,L3016_3077_345,218.9381
2024-06-17,0,L5_162_345,234.574
2024-06-17,0,L3067_3070_345,1075.0484
2024-06-17,0,L1900_3058_345,204.3744
2024-06-17,0,L55_1674_345,144.0153
2024-06-17,0,L1481_3019_345,-803.8681
2024-06-17,0,L1478_2349_345,-201.1515
2024-06-17,0,L2481_2482_345,0.0
2024-06-17,0,L3080_3091_345,-554.2691
2024-06-17,0,L750_1563_345,197.4325
2024-06-17,0,L2955_3071_345,1763.64
2024-06-17,0,L1561_3003_345,41.8585
2024-06-17,0,L1828_2509_345,374.2033
2024-06-17,0,L515_2705_345,128.3946
2024-06-17,0,L1518_1519_345,-974.029
2024-06-17,0,L3036_3054_345,711.4699
2024-06-17,0,L2925_3005_345,412.6536
2024-06-17,0,L1612_2327_345,-847.1001
2024-06-17,0,L1880_2150_345,-667.706
2024-06-17,0,L1508_1775_345,525.3424
2024-06-17,0,L2961_3064_345,-558.8464
2024-06-17,0,L1582_1586_345,109.5781
2024-06-17,0,L1572_1573_345,861.7386
2024-06-17,0,L847_3020_345,-482.7881
2024-06-17,0,L1876_3035_345,1489.0387
2024-06-17,0,L2067_3076_345,436.1957
2024-06-17,0,L3077_3078_345,-123.7322
2024-06-17,0,L3064_3065_345,121.0258
2024-06-17,0,L785_1104_345,819.8269
2024-06-17,0,L2294_2295_345,-2367.1468
2024-06-17,0,L199_2109_345,1123.8686
2024-06-17,0,L3028_3029_345,-86.638
2024-06-17,0,L1484_1489_345,1736.9444
2024-06-17,0,L179_2295_345,2367.1468
2024-06-17,0,L798_1621_345,-1422.0137
2024-06-17,0,L31_3029_345,-122.9415
2024-06-17,0,L806_825_345,303.7197
2024-06-17,0,L2408_2409_345,-0.0
2024-06-17,0,L837_1645_345,-249.9268
2024-06-17,0,L1725_3011_345,-93.8643
2024-06-17,0,L822_3025_345,86.724
2024-06-17,0,L1543_1550_345,120.8803
2024-06-17,0,L1949_2935_345,-215.2317
2024-06-17,0,L1590_1876_345,1193.7743
2024-06-17,0,L2244_2310_345,0.0
2024-06-17,0,L1567_2094_345,767.8913
2024-06-17,0,L803_2329_345,-482.6614
2024-06-17,0,L1572_2386_345,-387.3975
2024-06-17,0,L199_805_345,-707.8153
2024-06-17,0,L516_806_345,0.0
2024-06-17,0,L1484_2397_345,-166.8392
2024-06-17,0,L512_1636_345,173.8493
2024-06-17,0,L3051_3052_345,886.4403
2024-06-17,0,L2966_3058_345,-575.1125
2024-06-17,0,L1609_2405_345,124.7695
2024-06-17,0,L1634_1637_345,-408.6931
2024-06-17,0,L1546_3010_345,-185.134
2024-06-17,0,L2286_2412_345,0.0
2024-06-17,0,L1707_1736_345,-475.1127
2024-06-17,0,L1827_2234_345,279.238
2024-06-17,0,L785_2381_345,-147.2111
2024-06-17,0,L92_328_345,-221.6652
2024-06-17,0,L707_2367_345,-45.7638
2024-06-17,0,L1512_1668_345,0.0
2024-06-17,0,L1918_2757_345,298.1834
2024-06-17,0,L1891_3014_345,-437.0809
2024-06-17,0,L829_835_345,-258.8516
2024-06-17,0,L1614_1681_345,-1507.3073
2024-06-17,0,L2116_3008_345,406.1402
2024-06-17,0,L834_2423_345,-0.0
2024-06-17,0,L1551_2936_345,-20.7967
2024-06-17,0,L817_2287_345,-569.8935
2024-06-17,0,L1008_1492_345,-2300.1182
2024-06-17,0,L1625_3041_345,597.5867
2024-06-17,0,L1870_2995_345,811.0793
2024-06-17,0,L1577_2418_345,397.1
