Date,Hour,Line,Flow
2025-11-05,0,L1669_1679_345,-352.8323
2025-11-05,0,L32_41_345,-11.1563
2025-11-05,0,L1794_1832_345,559.5211
2025-11-05,0,L2956_2981_345,1004.8329
2025-11-05,0,L1597_1601_345,88.65
2025-11-05,0,L3060_3061_345,222.1189
2025-11-05,0,L1745_1891_345,45.0277
2025-11-05,0,L1668_2013_345,-14.7647
2025-11-05,0,L1223_1790_345,-424.9821
2025-11-05,0,L2935_2958_345,350.3956
2025-11-05,0,L3018_3019_345,399.78
2025-11-05,0,L0_1957_345,133.5181
2025-11-05,0,L58_868_345,-0.0
2025-11-05,0,L521_1057_345,510.0131
2025-11-05,0,L1900_3032_345,336.8452
2025-11-05,0,L801_813_345,-468.9409
2025-11-05,0,L801_802_345,-197.73
2025-11-05,0,L2254_3087_345,0.0
2025-11-05,0,L2389_2390_345,112.5
2025-11-05,0,L1504_1918_345,-523.5009
2025-11-05,0,L1937_1938_345,2.2493
2025-11-05,0,L820_821_345,-294.9966
2025-11-05,0,L2067_2958_345,-956.8024
2025-11-05,0,L836_3006_345,515.4961
2025-11-05,0,L2423_2424_345,0.0
2025-11-05,0,L1801_1918_345,915.5552
2025-11-05,0,L175_834_345,-158.7874
2025-11-05,0,L3039_3053_345,-281.6931
2025-11-05,0,L2329_2330_345,0.0
2025-11-05,0,L123_2206_345,-70.8203
2025-11-05,0,L68_1593_345,-215.0844
2025-11-05,0,L1549_1804_345,-320.3273
2025-11-05,0,L2936_3073_345,-943.1947
2025-11-05,0,L3016_3077_345,-98.3649
2025-11-05,0,L5_162_345,97.7634
2025-11-05,0,L3067_3070_345,628.7591
2025-11-05,0,L1900_3058_345,-108.3042
2025-11-05,0,L55_1674_345,85.5499
2025-11-05,0,L1481_3019_345,-490.23
2025-11-05,0,L1478_2349_345,-122.67
2025-11-05,0,L2481_2482_345,-12.925
2025-11-05,0,L3080_3091_345,-321.4515
2025-11-05,0,L750_1563_345,162.9674
2025-11-05,0,L2955_3071_345,1226.545
2025-11-05,0,L1561_3003_345,-109.4858
2025-11-05,0,L1828_2509_345,567.5653
2025-11-05,0,L515_2705_345,78.3
