Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,286164.2,481089.7888,645.1376,0,3607.2718,0.0,27510.8469,29910.3329,2399.486,56439.2063,13.5943,308,0.0,16966.6482
2024-06-17,1,271256.0,366693.8741,467.212,0,6589.2947,0.0,28537.4238,29075.3272,537.9034,53893.9585,11.8371,3,592.8,5488.5154
2024-06-17,2,248410.64,359229.9468,364.5108,0,5024.4736,0.0,27459.106,28126.8188,667.7128,52195.9338,11.6415,17,0.0,2383.0858
2024-06-17,3,243862.52,368096.6482,294.2501,0,3655.7581,0.0,26336.7259,27372.8813,1036.1554,51126.3967,11.9695,22,0.0,970.6692
2024-06-17,4,243867.68,387518.3324,287.0932,0,2952.741,0.0,25007.244,26274.3976,1267.1536,50936.6259,12.3955,3,5.16,783.9792
2024-06-17,5,246072.98,392858.9936,346.443,0,2762.0031,0.0,25142.0844,26100.101,958.0166,51671.7544,12.3652,10,52.629999999999995,192.8641
2024-06-17,6,258956.68,405309.8532,375.9263,0,2790.9995,0.0,25164.6407,26075.78,911.1393,52599.0575,12.6289,22,430.58999999999986,463.7261
2024-06-17,7,275041.34,447757.7143,478.1614,0,2942.3133,0.0,24709.341,26370.6328,1661.2918,54126.8091,13.3538,13,577.02,3494.3189
2024-06-17,8,276607.06,475107.3703,736.9781,0,2944.9246,0.0,26807.8452,33041.9376,6234.0924,56928.6417,13.2045,18,104.33999999999999,1379.2247
2024-06-17,9,297150.24,463667.2754,1025.4171,0,4184.0159,0.0,29600.7581,41954.7545,12353.9964,60086.4375,12.6621,11,754.8499999999999,2323.3423
2024-06-17,10,310223.16,502774.1173,1331.1539,0,4098.1127,0.0,31474.188,45196.0857,13721.8977,63734.1038,12.7561,17,678.4200000000001,3974.1563
2024-06-17,11,314213.16,547041.1524,1551.0275,0,4194.5291,0.0,32893.5953,48087.9943,15194.399,66966.3752,12.861,9,105.0,1561.4629
2024-06-17,12,314789.16,563822.5584,1722.2138,0,4061.8893,0.0,34888.2302,49578.5664,14690.3362,69571.4581,12.6289,3,278.4,1225.6095
2024-06-17,13,314789.16,599951.9638,1840.7476,0,4003.5613,0.0,36461.2658,49490.946,13029.6802,71970.9773,12.7099,0,0.0,2285.1327
2024-06-17,14,310799.16,568738.1095,2011.5421,0,3705.4753,0.0,39180.8962,52220.3958,13039.4996,74109.5062,11.8681,9,0.0,1182.3744
2024-06-17,15,312714.36,569152.8153,1977.2185,0,3718.4108,0.0,38834.9792,54244.5965,15409.6173,74368.2168,11.8581,2,53.43,305.0874
2024-06-17,16,315723.66,582586.2156,1920.7683,0,3719.6189,0.0,39269.3585,52292.198,13022.8395,74392.3777,12.0753,9,78.27000000000001,1539.8716
2024-06-17,17,316439.76,592840.5243,1838.8491,0,3716.3882,0.0,38823.342,53008.4614,14185.1194,74327.7639,12.2334,2,20.46,1952.6849
2024-06-17,18,318539.76,596086.4475,1653.8816,0,3901.211,0.0,37983.9361,50365.6604,12381.7243,73506.393,12.4428,1,60.0,1684.548
2024-06-17,19,329618.26,623297.9003,1405.7247,0,3584.6997,0.0,35421.3256,46758.5874,11337.2618,71693.9936,13.2914,2,421.90000000000003,2132.4048
2024-06-17,20,338786.26,621222.6321,1223.8518,0,4006.8497,0.0,32076.8663,39669.3918,7592.5255,69027.9859,13.9075,1,366.72,2058.6416
2024-06-17,21,348017.86,612941.994,1091.6277,0,5147.0279,0.0,30272.1594,32678.2194,2406.06,67190.4592,14.302,6,329.7,1620.2978
2024-06-17,22,342113.92,588983.2946,837.2501,0,5030.6022,0.0,27094.1289,32046.212,4952.0831,63812.6767,14.5911,8,0.0,5713.7778
2024-06-17,23,331929.46,512877.6014,572.529,0,5791.4689,0.0,25935.8429,31811.3976,5875.5547,59812.783,14.1242,18,139.68,2700.0877
