Date,Hour,Line,Flow
2024-06-17,0,L1669_1679_345,-902.4919
2024-06-17,0,L32_41_345,6.5071
2024-06-17,0,L1794_1832_345,631.3952
2024-06-17,0,L2956_2981_345,1001.7051
2024-06-17,0,L1597_1601_345,145.3663
2024-06-17,0,L3060_3061_345,21.3129
2024-06-17,0,L1745_1891_345,156.8215
2024-06-17,0,L1668_2013_345,13.4868
2024-06-17,0,L1223_1790_345,-356.6658
2024-06-17,0,L2935_2958_345,213.3575
2024-06-17,0,L3018_3019_345,655.5502
2024-06-17,0,L0_1957_345,193.2983
2024-06-17,0,L58_868_345,-0.0
2024-06-17,0,L521_1057_345,864.3914
2024-06-17,0,L1900_3032_345,314.0379
2024-06-17,0,L801_813_345,-784.7245
2024-06-17,0,L801_802_345,-324.2332
2024-06-17,0,L2254_3087_345,0.0
2024-06-17,0,L2389_2390_345,184.475
2024-06-17,0,L1504_1918_345,-772.1089
2024-06-17,0,L1937_1938_345,3.5644
2024-06-17,0,L820_821_345,-504.2024
2024-06-17,0,L2067_2958_345,-1077.239
2024-06-17,0,L836_3006_345,747.7712
2024-06-17,0,L2423_2424_345,0.0
2024-06-17,0,L1801_1918_345,192.4842
2024-06-17,0,L175_834_345,-219.7409
2024-06-17,0,L3039_3053_345,-249.0942
2024-06-17,0,L2329_2330_345,0.0
2024-06-17,0,L123_2206_345,-76.2991
2024-06-17,0,L68_1593_345,-424.0278
2024-06-17,0,L1549_1804_345,122.359
2024-06-17,0,L2936_3073_345,-883.3052
2024-06-17,0,L3016_3077_345,-541.0731
2024-06-17,0,L5_162_345,274.3044
2024-06-17,0,L3067_3070_345,850.685
2024-06-17,0,L1900_3058_345,185.9124
2024-06-17,0,L55_1674_345,226.946
2024-06-17,0,L1481_3019_345,-803.8681
2024-06-17,0,L1478_2349_345,-201.1515
2024-06-17,0,L2481_2482_345,0.0
2024-06-17,0,L3080_3091_345,-560.6808
2024-06-17,0,L750_1563_345,215.0828
2024-06-17,0,L2955_3071_345,1456.5389
2024-06-17,0,L1561_3003_345,-51.5741
2024-06-17,0,L1828_2509_345,76.8883
