Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,326625.77,492821.9677,894.5531,0,5484.467,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,318,0.0,17252.343
2025-11-05,1,323517.77,495929.9677,894.5531,0,5114.467,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,2,0.0,1388.6698
2025-11-05,2,320283.77,499163.9677,894.5531,0,4729.467,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,2,0.0,1668.2452
2025-11-05,3,320283.77,499163.9677,894.5531,0,4729.467,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,0,0.0,0.0
2025-11-05,4,323625.29,495822.4477,894.5531,0,4848.807,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,2,119.34,630.64
2025-11-05,5,324133.49,495314.2477,894.5531,0,5145.417,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,1,18.15,1555.819
2025-11-05,6,325805.09,493642.6477,894.5531,0,5247.467,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,1,59.7,325.5746
2025-11-05,7,328913.09,490534.6477,894.5531,0,5497.767,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,2,111.0,1651.4643
2025-11-05,8,330861.89,488585.8477,894.5531,0,5826.367,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,1,69.6,330.4719
2025-11-05,9,326397.29,493050.4477,894.5531,0,5457.267,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,4,0.0,1347.3292
2025-11-05,10,326397.29,493050.4477,894.5531,0,5457.267,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,0,0.0,0.0
2025-11-05,11,326397.29,493050.4477,894.5531,0,5457.267,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,0,0.0,0.0
2025-11-05,12,326397.29,493050.4477,894.5531,0,5457.267,0.0,17935.0199,20124.675,2189.6551,50893.9989,16.1011,0,0.0,0.0
2025-11-05,13,326397.29,493050.4477,894.5531,0,5457.267,0.0,17949.9849,20124.675,2174.6901,50893.9989,16.1011,0,0.0,1643.7339
2025-11-05,14,324590.45,495428.5747,894.5531,0,5242.1909,0.0,17950.0088,20124.675,2174.6662,50893.9989,16.1123,1,0.0,900.6428
2025-11-05,15,321248.93,498770.0947,894.5531,0,4844.3909,0.0,17950.0088,20124.675,2174.6662,50893.9989,16.1123,2,0.0,1563.6009
2025-11-05,16,318282.89,501736.1347,894.5531,0,4491.2909,0.0,17935.0438,20124.675,2189.6312,50893.9989,16.1123,1,0.0,2198.7545
2025-11-05,17,318282.89,501736.1347,894.5531,0,4491.2909,0.0,17935.0438,20124.675,2189.6312,50893.9989,16.1123,0,0.0,0.0
2025-11-05,18,318282.89,501736.1347,894.5531,0,4491.2909,0.0,17935.0438,20124.675,2189.6312,50893.9989,16.1123,0,0.0,0.0
2025-11-05,19,334293.45,485322.8116,894.5552,0,5099.9702,0.0,17932.4018,20124.675,2192.2732,50893.9989,16.1044,5,611.32,868.3744
2025-11-05,20,340627.89,478988.3716,894.5552,0,6445.2802,0.0,17932.4018,20124.675,2192.2732,50893.9989,16.1044,3,226.23000000000002,1419.212
2025-11-05,21,335027.89,484460.1446,894.5537,0,6415.0793,0.0,17934.3319,20124.675,2190.3431,50893.9989,16.1019,1,0.0,2082.0898
2025-11-05,22,331617.49,487870.5446,894.5537,0,6009.0793,0.0,17949.2969,20124.675,2175.3781,50893.9989,16.1019,2,0.0,126.8
2025-11-05,23,329278.09,490209.9446,894.5537,0,5452.3293,0.0,17949.2969,20124.675,2175.3781,50893.9989,16.1019,8,119.25,771.0757
