Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,278394.27,325651.4249,0.0,0,5533.3712,0.0,29799.755,29910.3329,110.5779,56439.1838,10.7026,348,0.0,12816.3088
2024-06-17,1,269892.63,278043.8968,0.0,0,6342.0521,0.0,29075.3272,29075.3272,-0.0,53893.9751,10.1669,4,0.0,3222.4965
2024-06-17,2,232538.67,290094.1258,0.0,0,2714.9583,0.0,28126.8188,28126.8188,0.0,52195.9105,10.0129,25,30.25,2458.361
2024-06-17,3,230942.67,280595.5052,0.0,0,2919.1955,0.0,27372.8813,27372.8813,0.0,51126.3858,10.0054,10,48.39999999999999,1377.4049
2024-06-17,4,235501.77,301858.4674,0.0,0,2262.0653,284.7663,26274.3976,26274.3976,-0.0,50936.6323,10.5496,5,229.5,1718.1728
2024-06-17,5,235501.77,333606.7844,0.0,0,1888.1367,695.4515,26100.101,26100.101,0.0,51671.7643,11.0139,0,0.0,1274.0854
2024-06-17,6,251321.07,344774.788,198.0033,0,1642.1474,987.8044,26075.78,26075.78,-0.0,52599.0359,11.3328,6,507.6,1895.2904
2024-06-17,7,259943.67,369370.4179,398.2014,0,2101.7598,604.5814,26370.6328,26370.6328,-0.0,54126.8244,11.6267,7,307.95000000000005,2894.5898
2024-06-17,8,272770.05,256562.1427,0.0,0,6722.4567,0.0,33041.9376,33041.9376,0.0,56928.6409,9.2982,16,430.86000000000007,4779.6603
2024-06-17,9,255973.97,208343.2083,0.0,0,8158.6051,0.0,39360.904,41954.7545,2593.8505,60086.4289,7.7275,57,707.2300000000001,4418.0038
2024-06-17,10,236987.67,305277.8169,0.0,0,6248.0467,0.0,41224.504,45196.0857,3971.5817,63734.1073,8.5082,20,134.45,4752.4574
2024-06-17,11,258525.27,351864.9038,51.684,0,5070.9138,0.0,42480.0645,48087.9943,5607.9298,66966.3796,9.1149,17,1000.9500000000003,3916.1235
2024-06-17,12,261594.95,380751.5853,131.4592,0,5688.7002,0.0,44004.5175,49578.5664,5574.0489,69571.4694,9.2329,12,526.25,3118.5119
2024-06-17,13,279329.87,413595.2353,201.3952,0,5339.7257,0.0,43797.5563,49490.946,5693.3897,71970.9657,9.6278,11,614.94,3644.2942
2024-06-17,14,279353.39,429784.5879,291.9814,0,5766.5601,0.0,45662.7921,52220.3958,6557.6037,74109.5132,9.5688,9,229.59,3797.51
2024-06-17,15,287153.21,421315.8824,259.9064,0,5902.4654,0.0,45865.3425,54244.5965,8379.254,74368.2045,9.5265,20,465.19000000000005,2163.0183
2024-06-17,16,295918.19,450500.5702,217.6034,0,5623.365,0.0,44404.3011,52292.198,7887.8969,74392.3895,10.0335,9,402.06,3944.7486
2024-06-17,17,294993.35,447289.1532,185.262,0,6425.9479,0.0,44546.4094,53008.4614,8462.052,74327.7635,9.9866,6,85.53999999999999,1519.3474
2024-06-17,18,295644.13,461008.9991,83.449,0,5476.6841,0.0,43241.9004,50365.6604,7123.76,73506.3953,10.2937,8,321.73,2787.8008
2024-06-17,19,304568.53,419934.6501,0.0,0,6667.579,0.0,42516.2745,46758.5874,4242.3129,71693.9955,10.1055,13,654.0999999999999,4715.8234
2024-06-17,20,348639.82,415977.3914,0.0,0,7264.9837,0.0,37718.4029,39669.3918,1950.9889,69027.9792,11.0769,30,1672.3599999999997,6123.1204
2024-06-17,21,333752.09,555891.4006,6.6853,0,4791.3027,0.0,31781.431,32678.2194,896.7884,67190.4636,13.2406,16,66.55,7851.3999
2024-06-17,22,332483.54,440728.6241,0.0,0,6934.2726,0.0,31326.7354,32046.212,719.4766,63812.6628,12.1169,20,115.6,5256.1617
2024-06-17,23,308253.29,355459.4657,0.0,0,6871.9163,0.0,30967.5846,31811.3976,843.813,59812.7683,11.0965,49,0.0,3790.3213
