Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-942.4162
2024-06-17,0,L3595_3616,-1015.7343
2024-06-17,0,L4611_4660,-809.4543
2024-06-17,0,L2384_4611,-669.0005
2024-06-17,0,L4612_4630,188.3514
2024-06-17,0,L1076_4612,285.6513
2024-06-17,0,L2193_2384,-538.0725
2024-06-17,0,L89_1584,0.0
2024-06-17,0,L1575_4614,725.1368
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,207.3355
2024-06-17,0,L569_2384,-98.2545
2024-06-17,0,L2384_4615,-447.6833
2024-06-17,0,L597_1156,45.9698
2024-06-17,0,L136_4615,447.6833
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-226.0181
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,891.5952
2024-06-17,0,L51_2389,0.0
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-460.3236
2024-06-17,0,L2394_3613,-469.2217
2024-06-17,0,L2398_4630,-188.3514
2024-06-17,0,L1152_2398,-150.7973
2024-06-17,0,L1152_3822,150.7973
2024-06-17,0,L3822_4631,468.4215
2024-06-17,0,L1095_4631,105.9294
2024-06-17,0,L3613_4631,-574.3509
2024-06-17,0,L2398_3038,408.0262
2024-06-17,0,L2398_3599,591.2941
2024-06-17,0,L2391_2398,1179.3812
2024-06-17,0,L3038_4632,461.899
2024-06-17,0,L2395_3597,-849.9723
2024-06-17,0,L3597_4632,-363.7011
2024-06-17,0,L1095_2393,21.9172
2024-06-17,0,L611_2391,1012.4416
2024-06-17,0,L611_2388,-1012.4416
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,208.5735
2024-06-17,0,L2386_3605,-284.2789
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
2024-06-17,0,L4636_4637,-803.8681
2024-06-17,0,L3666_4637,148.3179
2024-06-17,0,L2385_4638,-109.3786
2024-06-17,0,L2385_3582,219.3654
2024-06-17,0,L2383_3582,-193.0497
2024-06-17,0,L3606_4638,387.5795
2024-06-17,0,L607_608,149.0558
2024-06-17,0,L200_3605,168.2412
2024-06-17,0,L3452_3605,116.0377
2024-06-17,0,L600_3452,116.0377
2024-06-17,0,L2391_3667,-166.8392
2024-06-17,0,L44_3613,0.0
2024-06-17,0,L1087_3613,41.708
2024-06-17,0,L3606_4660,531.2534
2024-06-17,0,L3606_3608,-918.8329
2024-06-17,0,L3583_3608,0.0
2024-06-17,0,L2385_3607,-201.1515
2024-06-17,0,L3598_3599,0.0
2024-06-17,0,L3599_3616,591.2941
2024-06-17,0,L3616_3617,0.0
2024-06-17,0,L3596_3597,162.338
2024-06-17,0,L3458_3597,0.0
2024-06-17,0,L3597_3613,-146.8372
2024-06-17,0,L967_3764,-296.5411
2024-06-17,0,L967_1780,296.5411
2024-06-17,0,L964_3764,227.8422
2024-06-17,0,L964_1783,-227.8422
2024-06-17,0,L3764_3765,0.0
2024-06-17,0,L1783_3764,237.6693
2024-06-17,0,L69_873,-141.1772
2024-06-17,0,L966_1783,188.7544
2024-06-17,0,L3631_4665,0.0
2024-06-17,0,L3630_4665,0.0
2024-06-17,0,L966_4665,-0.0
2024-06-17,0,L1777_1783,276.7571
2024-06-17,0,L1777_3470,24.382
2024-06-17,0,L2589_4667,-1514.8705
2024-06-17,0,L4667_4730,-2299.3041
2024-06-17,0,L84_2588,-538.744
2024-06-17,0,L2659_2670,-154.4254
2024-06-17,0,L2670_4673,-150.9507
2024-06-17,0,L2424_4673,284.6084
2024-06-17,0,L2734_3055,472.4053
2024-06-17,0,L1803_4696,402.0998
2024-06-17,0,L4696_4700,402.0998
2024-06-17,0,L2155_4700,-402.0998
2024-06-17,0,L1803_3051,284.7194
2024-06-17,0,L88_2689,-60.4591
2024-06-17,0,L2154_2417,-741.205
2024-06-17,0,L2154_2689,661.9513
2024-06-17,0,L2589_4711,1665.8714
2024-06-17,0,L2417_4710,-924.4614
2024-06-17,0,L2406_4710,924.4614
2024-06-17,0,L2734_4711,-864.3012
2024-06-17,0,L2406_3825,65.6376
2024-06-17,0,L2417_2716,-189.4433
2024-06-17,0,L2586_4714,2293.2686
2024-06-17,0,L2420_4714,-2348.4201
2024-06-17,0,L2583_4715,545.3836
2024-06-17,0,L76_4715,-543.7237
2024-06-17,0,L2582_2592,-1410.8314
2024-06-17,0,L2583_2586,-547.0435
2024-06-17,0,L3019_4716,-239.8426
2024-06-17,0,L2419_3019,-274.0668
2024-06-17,0,L2806_4716,239.8426
2024-06-17,0,L2581_4717,-235.8843
2024-06-17,0,L2806_4717,235.8843
2024-06-17,0,L1651_2806,94.3771
2024-06-17,0,L36_1651,495.2571
2024-06-17,0,L36_5024,-425.772
2024-06-17,0,L2559_4720,62.7817
2024-06-17,0,L2600_4720,-62.7817
2024-06-17,0,L2419_2559,581.3151
2024-06-17,0,L2431_2806,89.4509
2024-06-17,0,L2418_2581,-281.4174
2024-06-17,0,L2581_4725,-97.418
2024-06-17,0,L2421_4725,97.418
2024-06-17,0,L2418_2419,281.4174
2024-06-17,0,L2659_2806,215.3809
2024-06-17,0,L84_2587,301.2698
2024-06-17,0,L2582_2586,1410.8314
2024-06-17,0,L2419_4728,-317.8824
2024-06-17,0,L2417_4728,317.8824
2024-06-17,0,L1803_2401,-1428.9733
2024-06-17,0,L4730_4746,-1150.184
2024-06-17,0,L2420_4746,2300.964
2024-06-17,0,L472_2401,267.4541
2024-06-17,0,L472_2399,-267.4541
2024-06-17,0,L1928_2880,1906.6284
2024-06-17,0,L2586_2880,-1711.2887
2024-06-17,0,L1003_1481,-1906.6284
2024-06-17,0,L1003_1924,1906.6284
2024-06-17,0,L1927_1928,1906.6284
2024-06-17,0,L795_3466,-559.0643
2024-06-17,0,L795_4759,962.1863
2024-06-17,0,L1481_4759,-962.1863
2024-06-17,0,L1924_1927,1906.6284
2024-06-17,0,L786_1481,797.231
2024-06-17,0,L786_2483,-797.231
2024-06-17,0,L739_3447,-293.6101
