Date,Hour,Type,Solve Time
2024-06-17,0,SCED,2.5858
2024-06-17,1,SCED,2.311
2024-06-17,2,SCED,2.3238
2024-06-17,3,SCED,2.2855
2024-06-17,4,SCED,2.3178
2024-06-17,5,SCED,2.3121
2024-06-17,6,SCED,1.2279
2024-06-17,7,SCED,1.2182
2024-06-17,8,SCED,1.5207
2024-06-17,9,SCED,1.9134
2024-06-17,10,SCED,1.6621
2024-06-17,11,SCED,1.7846
2024-06-17,12,SCED,1.923
2024-06-17,13,SCED,2.0519
2024-06-17,14,SCED,5.0792
2024-06-17,15,SCED,2.4201
2024-06-17,16,SCED,2.8562
2024-06-17,17,SCED,1.9101
2024-06-17,18,SCED,1.8871
2024-06-17,19,SCED,2.785
2024-06-17,20,SCED,2.6966
2024-06-17,21,SCED,3.6105
2024-06-17,22,SCED,1.8496
2024-06-17,23,SCED,2.6651
