Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,280551.77,386797.9677,0.0,0,5315.111,0.0,28444.0124,29910.3329,1466.3205,56439.2014,11.8242,327,0.0,14323.819
2024-06-17,1,263113.37,343277.2389,0.0,0,4949.8369,0.0,27925.5067,29075.3272,1149.8205,53893.9698,11.2515,17,0.0,2992.6247
2024-06-17,2,240173.57,331755.9832,0.0,0,3363.3129,0.0,27286.4837,28126.8188,840.3351,52195.9208,10.9574,13,6.05,1850.7269
2024-06-17,3,238231.07,315525.9339,0.0,0,3501.374,0.0,26763.0614,27372.8813,609.8199,51126.3874,10.8311,9,0.0,2534.7589
2024-06-17,4,240389.87,323970.7138,0.0,0,3054.6297,0.0,26049.4725,26274.3976,224.9251,50936.6428,11.0797,2,77.1,1715.9724
2024-06-17,5,242401.67,347359.677,0.0,0,2498.6587,84.93,25976.8839,26100.101,123.2171,51671.7752,11.4136,2,71.85,1414.7062
2024-06-17,6,251059.97,360697.5954,163.5711,0,2211.5477,418.4045,26005.7695,26075.78,70.0105,52599.0429,11.6306,16,280.05,1181.8256
2024-06-17,7,253855.07,390833.8353,567.9952,0,2440.2784,266.0624,26248.8496,26370.6328,121.7832,54126.8164,11.9107,11,66.54999999999998,1832.0289
2024-06-17,8,250363.47,329473.061,0.0,0,4465.1907,0.0,31949.1354,33041.9376,1092.8022,56928.6347,10.1853,33,375.59000000000015,2913.7821
2024-06-17,9,247996.35,272659.7978,0.0,0,6879.9276,0.0,37889.0183,41954.7545,4065.7362,60086.4307,8.6651,25,462.83999999999986,4716.409
2024-06-17,10,249468.21,384310.7698,11.4909,0,4878.0157,0.0,38764.1014,45196.0857,6431.9843,63734.1145,9.9441,21,118.22999999999999,4804.014
2024-06-17,11,267529.81,391997.26,128.3567,0,5785.6295,0.0,40633.4199,48087.9943,7454.5744,66966.3781,9.8486,10,718.0,3748.7553
2024-06-17,12,278407.81,421300.3258,236.4326,0,4965.0125,0.0,42213.5799,49578.5664,7364.9865,69571.4627,10.0574,14,728.7,2940.8562
2024-06-17,13,284190.37,459614.273,323.0896,0,5056.4347,0.0,42573.8836,49490.946,6917.0624,71970.9608,10.3348,8,371.37,3013.8137
2024-06-17,14,284469.25,460359.4,434.4199,0,5831.9597,0.0,44654.5254,52220.3958,7565.8704,74109.4999,10.0504,4,120.87,2253.4599
2024-06-17,15,279114.25,441059.9599,399.2132,0,6009.436,0.0,45670.572,54244.5965,8574.0245,74368.1958,9.6839,8,87.6,3498.7321
2024-06-17,16,282121.45,475495.5792,345.6673,0,4868.0252,0.0,44172.0196,52292.198,8120.1784,74392.3618,10.1841,2,107.4,4716.2784
2024-06-17,17,288700.45,475797.1384,304.774,0,5129.072,0.0,44103.2565,53008.4614,8905.2049,74327.7584,10.2855,10,248.84999999999994,3115.1361
2024-06-17,18,299827.93,492069.9972,172.4522,0,4988.395,0.0,42006.121,50365.6604,8359.5394,73506.3882,10.7732,6,397.41,4295.9124
2024-06-17,19,312606.81,474917.9671,40.1446,0,5228.5277,0.0,39732.536,46758.5874,7026.0514,71694.0029,10.9845,15,1821.35,4237.6257
2024-06-17,20,315645.75,508565.9371,0.0,0,5769.9386,0.0,36164.7144,39669.3918,3504.6774,69027.9758,11.9403,9,166.8,5766.3871
2024-06-17,21,332449.67,589584.0357,431.7809,0,3066.6785,292.8445,30589.2775,32678.2194,2088.9419,67190.4598,13.7227,10,801.08,3556.0938
2024-06-17,22,339593.68,501255.5894,0.0,0,6398.3558,0.0,29769.3021,32046.212,2276.9099,63812.6863,13.1768,8,329.93999999999994,4184.6885
2024-06-17,23,313775.01,421385.4382,0.0,0,7142.0859,0.0,29200.0535,31811.3976,2611.3441,59812.7676,12.291,17,0.0,5079.8782
