Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-966.771
2024-06-17,0,L3595_3616,-937.4061
2024-06-17,0,L4611_4660,-765.1408
2024-06-17,0,L2384_4611,-614.9004
2024-06-17,0,L4612_4630,171.7958
2024-06-17,0,L1076_4612,253.9332
2024-06-17,0,L2193_2384,-478.5568
2024-06-17,0,L89_1584,0.0
2024-06-17,0,L1575_4614,665.0673
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,159.6905
2024-06-17,0,L569_2384,-110.9493
2024-06-17,0,L2384_4615,-466.5629
2024-06-17,0,L597_1156,59.7751
2024-06-17,0,L136_4615,466.5629
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-244.8977
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,901.5998
2024-06-17,0,L51_2389,129.3225
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-409.4545
2024-06-17,0,L2394_3613,-405.2061
2024-06-17,0,L2398_4630,-171.7958
2024-06-17,0,L1152_2398,-135.6798
2024-06-17,0,L1152_3822,135.6798
2024-06-17,0,L3822_4631,412.5806
2024-06-17,0,L1095_4631,87.3764
2024-06-17,0,L3613_4631,-499.957
2024-06-17,0,L2398_3038,358.1336
2024-06-17,0,L2398_3599,512.9659
2024-06-17,0,L2391_2398,1118.4493
2024-06-17,0,L3038_4632,405.306
2024-06-17,0,L2395_3597,-778.4413
2024-06-17,0,L3597_4632,-313.5241
2024-06-17,0,L1095_2393,33.6925
2024-06-17,0,L611_2391,968.3283
2024-06-17,0,L611_2388,-968.3283
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,164.4602
2024-06-17,0,L2386_3605,-247.1677
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
2024-06-17,0,L4636_4637,-803.8681
2024-06-17,0,L3666_4637,148.3179
2024-06-17,0,L2385_4638,-153.6921
2024-06-17,0,L2385_3582,277.0284
2024-06-17,0,L2383_3582,-243.7954
2024-06-17,0,L3606_4638,395.4834
2024-06-17,0,L607_608,149.0558
2024-06-17,0,L200_3605,168.2412
2024-06-17,0,L3452_3605,78.9265
2024-06-17,0,L600_3452,78.9265
2024-06-17,0,L2391_3667,-166.8392
2024-06-17,0,L44_3613,0.0
2024-06-17,0,L1087_3613,30.7323
2024-06-17,0,L3606_4660,523.3495
2024-06-17,0,L3606_3608,-918.8329
2024-06-17,0,L3583_3608,0.0
2024-06-17,0,L2385_3607,-201.1515
2024-06-17,0,L3598_3599,0.0
2024-06-17,0,L3599_3616,512.9659
2024-06-17,0,L3616_3617,0.0
2024-06-17,0,L3596_3597,162.338
2024-06-17,0,L3458_3597,0.0
2024-06-17,0,L3597_3613,-125.4832
2024-06-17,0,L967_3764,-334.0633
2024-06-17,0,L967_1780,334.0633
2024-06-17,0,L964_3764,286.9275
2024-06-17,0,L964_1783,-286.9275
2024-06-17,0,L3764_3765,0.0
2024-06-17,0,L1783_3764,299.303
2024-06-17,0,L69_873,-149.4932
2024-06-17,0,L966_1783,224.0761
2024-06-17,0,L3631_4665,0.0
2024-06-17,0,L3630_4665,0.0
2024-06-17,0,L966_4665,-0.0
2024-06-17,0,L1777_1783,362.1545
2024-06-17,0,L1777_3470,9.7405
2024-06-17,0,L2589_4667,-1405.4533
2024-06-17,0,L4667_4730,-2135.0614
2024-06-17,0,L84_2588,-537.5304
2024-06-17,0,L2659_2670,-150.924
2024-06-17,0,L2670_4673,-149.1621
2024-06-17,0,L2424_4673,271.2364
2024-06-17,0,L2734_3055,456.51
2024-06-17,0,L1803_4696,314.1752
2024-06-17,0,L4696_4700,314.1752
2024-06-17,0,L2155_4700,-314.1752
2024-06-17,0,L1803_3051,238.6576
2024-06-17,0,L88_2689,-60.7859
2024-06-17,0,L2154_2417,-662.6288
2024-06-17,0,L2154_2689,565.5429
2024-06-17,0,L2589_4711,1547.3322
2024-06-17,0,L2417_4710,-887.4416
2024-06-17,0,L2406_4710,887.4416
2024-06-17,0,L2734_4711,-802.226
2024-06-17,0,L2406_3825,100.2746
2024-06-17,0,L2417_2716,-234.3695
2024-06-17,0,L2586_4714,2151.5643
2024-06-17,0,L2420_4714,-2187.3584
2024-06-17,0,L2583_4715,549.7768
2024-06-17,0,L76_4715,-546.7152
2024-06-17,0,L2582_2592,-1347.8437
2024-06-17,0,L2583_2586,-552.8384
2024-06-17,0,L3019_4716,-155.6822
2024-06-17,0,L2419_3019,-189.7282
2024-06-17,0,L2806_4716,155.6822
2024-06-17,0,L2581_4717,-152.6926
2024-06-17,0,L2806_4717,152.6926
2024-06-17,0,L1651_2806,30.6861
2024-06-17,0,L36_1651,398.9836
