Date,Hour,Type,Solve Time
2024-06-17,0,SCED,2.001
2024-06-17,1,SCED,1.8199
2024-06-17,2,SCED,1.8209
2024-06-17,3,SCED,4.505
2024-06-17,4,SCED,2.8517
2024-06-17,5,SCED,1.8263
2024-06-17,6,SCED,1.0358
2024-06-17,7,SCED,1.2682
2024-06-17,8,SCED,1.302
2024-06-17,9,SCED,1.108
2024-06-17,10,SCED,1.4815
2024-06-17,11,SCED,1.7704
2024-06-17,12,SCED,1.4717
2024-06-17,13,SCED,1.2127
2024-06-17,14,SCED,1.4548
2024-06-17,15,SCED,1.592
2024-06-17,16,SCED,1.6759
2024-06-17,17,SCED,1.5393
2024-06-17,18,SCED,1.9599
2024-06-17,19,SCED,1.4404
2024-06-17,20,SCED,1.429
2024-06-17,21,SCED,2.045
2024-06-17,22,SCED,1.7187
2024-06-17,23,SCED,1.4648
