Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,311573.03,266660.4952,0,0,9064.8491,0.0,29910.3329,29910.3329,0.0,56439.1838,10.2452,348,0.0,11330.2609
2024-06-17,1,290116.91,240230.9312,0,0,8220.7521,0.0,29075.3272,29075.3272,-0.0,53893.9751,9.8406,10,0.0,928.1888
2024-06-17,2,268449.95,240910.3176,0,0,6390.9083,0.0,28126.8188,28126.8188,0.0,52195.9105,9.7586,15,0.0,691.4162
2024-06-17,3,258536.27,241987.556,0,0,5526.2955,0.0,27372.8813,27372.8813,0.0,51126.3858,9.7899,6,0.0,38.4728
2024-06-17,4,283916.03,242052.2416,0,0,5523.9853,0.0,26274.3976,26274.3976,-0.0,50936.6323,10.3259,20,906.4199999999997,2.3102
2024-06-17,5,296023.79,255408.4824,0,0,7161.9567,0.0,26100.101,26100.101,0.0,51671.7643,10.6718,10,432.41999999999996,949.498
2024-06-17,6,306959.75,271117.1152,0,0,7609.9141,0.0,26075.78,26075.78,0.0,52599.0359,10.9903,8,390.57,1987.5292
2024-06-17,7,287080.31,325518.7548,0,0,4851.7084,0.0,26370.6328,26370.6328,0.0,54126.8244,11.3178,15,30.0,3766.6957
2024-06-17,8,253683.59,250569.8024,0,0,4754.8467,0.0,33041.9376,33041.9376,0.0,56928.6409,8.8576,23,25.95,2852.7449
2024-06-17,9,222610.31,131743.23,0,0,6871.2256,0.0,41954.7545,41954.7545,0.0,60086.4289,5.8974,20,0.0,4271.8189
2024-06-17,10,222610.31,141901.91,0,0,6464.8784,0.0,45196.0857,45196.0857,0.0,63734.1073,5.7193,0,0.0,406.3472
2024-06-17,11,222610.31,150411.0025,0,0,6124.5147,0.0,48087.9943,48087.9943,0.0,66966.3796,5.5703,0,0.0,340.3637
2024-06-17,12,230259.35,171444.445,0,0,5283.177,0.0,49578.5664,49578.5664,0.0,69571.4694,5.774,7,273.18,1301.8623
2024-06-17,13,230469.35,234396.9016,0,0,3440.9803,157.568,49490.946,49490.946,0.0,71970.9657,6.4591,1,7.5,2479.6167
2024-06-17,14,230469.35,218662.305,0,0,4049.3826,0.0,52220.3958,52220.3958,-0.0,74109.5132,6.0604,0,0.0,590.9023
2024-06-17,15,230469.35,174524.57,0,0,5814.892,0.0,54244.5965,54244.5965,0.0,74368.2045,5.4458,0,0.0,1765.5094
2024-06-17,16,230469.35,223939.1575,0,0,3838.3085,0.0,52292.198,52292.198,-0.0,74392.3895,6.1083,0,0.0,1976.5835
2024-06-17,17,230469.35,204416.9225,0,0,4619.1979,0.0,53008.4614,53008.4614,-0.0,74327.7635,5.8509,0,0.0,780.8894
2024-06-17,18,259779.47,223782.9925,0,0,3844.5551,0.0,50365.6604,50365.6604,-0.0,73506.3953,6.5785,18,1046.7900000000002,774.6428
2024-06-17,19,293911.19,239705.9368,0,0,5711.3819,0.0,46758.5874,46758.5874,0.0,71693.9955,7.443,19,1218.9899999999998,575.6832
2024-06-17,20,319311.95,338154.1972,0,0,5039.6826,0.0,39669.3918,39669.3918,0.0,69027.9792,9.5246,14,907.1700000000001,4254.9055
2024-06-17,21,330215.99,471552.5476,0,0,2392.1858,967.3374,32678.2194,32678.2194,0.0,67190.4636,11.9328,8,389.43000000000006,6575.3213
2024-06-17,22,359356.43,365529.8924,0,0,7087.3792,0.0,32046.212,32046.212,-0.0,63812.6628,11.3596,18,1040.73,5520.1345
2024-06-17,23,338573.99,280890.0896,0,0,6361.2393,0.0,31811.3976,31811.3976,0.0,59812.7683,10.3567,82,1905.2100000000005,2151.1548
