Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.1561
2024-06-17,1,SCED,1.0375
2024-06-17,2,SCED,1.057
2024-06-17,3,SCED,2.9553
2024-06-17,4,SCED,1.0594
2024-06-17,5,SCED,1.115
2024-06-17,6,SCED,0.865
2024-06-17,7,SCED,0.9644
2024-06-17,8,SCED,0.8967
2024-06-17,9,SCED,0.8758
2024-06-17,10,SCED,0.9346
2024-06-17,11,SCED,0.9143
2024-06-17,12,SCED,0.8888
2024-06-17,13,SCED,0.8815
2024-06-17,14,SCED,2.744
2024-06-17,15,SCED,0.8526
2024-06-17,16,SCED,0.8713
2024-06-17,17,SCED,0.8701
2024-06-17,18,SCED,0.8581
2024-06-17,19,SCED,0.8645
2024-06-17,20,SCED,1.028
2024-06-17,21,SCED,1.0534
2024-06-17,22,SCED,1.1479
2024-06-17,23,SCED,1.0493
