Date,Hour,Type,Solve Time
2024-06-17,0,SCED,2.0959
2024-06-17,1,SCED,1.8789
2024-06-17,2,SCED,1.8093
2024-06-17,3,SCED,1.9812
2024-06-17,4,SCED,1.8586
2024-06-17,5,SCED,1.9563
2024-06-17,6,SCED,1.2077
2024-06-17,7,SCED,1.1862
2024-06-17,8,SCED,1.0851
2024-06-17,9,SCED,1.8924
2024-06-17,10,SCED,1.456
2024-06-17,11,SCED,3.1874
2024-06-17,12,SCED,1.6429
2024-06-17,13,SCED,1.4922
2024-06-17,14,SCED,4.072
2024-06-17,15,SCED,1.7538
2024-06-17,16,SCED,1.8606
2024-06-17,17,SCED,3.9735
2024-06-17,18,SCED,1.6549
2024-06-17,19,SCED,1.7617
2024-06-17,20,SCED,4.9545
2024-06-17,21,SCED,2.7932
2024-06-17,22,SCED,2.0813
2024-06-17,23,SCED,1.4432
