Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,266158.67,335576.0355,0.0,0,4859.4491,0.0,29910.3329,29910.3329,0.0,56439.1838,10.6616,337,0.0,13144.3809
2024-06-17,1,253097.09,297339.8998,0.0,0,4500.4521,0.0,29075.3272,29075.3272,-0.0,53893.9751,10.2133,20,0.0,4662.7679
2024-06-17,2,229354.49,294032.1752,0.0,0,2423.5083,186.2872,28126.8188,28126.8188,0.0,52195.9105,10.0274,15,0.0,2129.7007
2024-06-17,3,223442.57,288774.782,0.0,0,2035.2955,521.0238,27372.8813,27372.8813,0.0,51126.3858,10.0186,5,0.0,2201.3888
2024-06-17,4,231122.27,306456.8126,0.0,0,1349.4153,1197.4163,26274.3976,26274.3976,-0.0,50936.6323,10.5539,18,222.84999999999997,873.8979
2024-06-17,5,231588.47,333846.6371,0.0,0,1148.0367,1435.5515,26100.101,26100.101,0.0,51671.7643,10.9428,12,107.4,1372.1286
2024-06-17,6,234129.47,354036.8898,360.8023,0,868.3464,1761.6054,26075.78,26075.78,-0.0,52599.0359,11.1821,10,60.499999999999986,1362.2631
2024-06-17,7,234129.47,377033.0651,1044.823,0,863.9314,1842.4098,26370.6328,26370.6328,-0.0,54126.8244,11.2913,0,0.0,841.085
2024-06-17,8,235621.97,286517.9528,0.0,0,3525.6967,0.0,33041.9376,33041.9376,0.0,56928.6409,9.1718,2,491.1,3542.6281
2024-06-17,9,240365.99,202584.7003,0.0,0,6506.2963,0.0,39890.4752,41954.7545,2064.2793,60086.4289,7.3719,15,1182.95,5955.7615
2024-06-17,10,231528.11,274491.452,0.0,0,4909.3588,0.0,41753.6161,45196.0857,3442.4696,63734.1073,7.9395,10,337.84999999999997,3804.1717
2024-06-17,11,255946.35,295809.8103,0.0,0,4772.3963,0.0,43601.8459,48087.9943,4486.1484,66966.3796,8.2393,36,1021.0300000000001,2242.0153
2024-06-17,12,258113.55,334437.5155,0.0,0,7219.7995,0.0,45253.8689,49578.5664,4324.6975,69571.4694,8.5172,1,77.4,2497.9576
2024-06-17,13,265783.35,393385.4938,0.0,0,5329.6791,0.0,45319.0448,49490.946,4171.9012,71970.9657,9.1588,6,263.6,3013.2286
2024-06-17,14,262080.81,420537.9898,0.0,0,4868.7401,0.0,46870.2233,52220.3958,5350.1725,74109.5132,9.2109,7,112.13,3264.1047
2024-06-17,15,264448.35,397888.2655,0.0,0,5850.9774,0.0,47830.2819,54244.5965,6414.3146,74368.2045,8.9062,7,138.0,1552.6684
2024-06-17,16,270836.55,420802.7785,0.0,0,4789.1838,0.0,46576.6733,52292.198,5715.5247,74392.3895,9.2972,7,369.0,1775.8529
2024-06-17,17,275700.15,407320.2621,0.0,0,5778.7822,0.0,46684.9457,53008.4614,6323.5157,74327.7635,9.1893,2,173.7,1374.4542
2024-06-17,18,299033.07,394536.0182,0.0,0,6363.5205,0.0,45135.0358,50365.6604,5230.6246,73506.3953,9.4355,7,907.9799999999998,2174.9998
2024-06-17,19,304887.17,383705.0564,0.0,0,7089.0207,0.0,42966.2762,46758.5874,3792.3112,71693.9955,9.6046,16,357.44,3341.2912
2024-06-17,20,325864.07,416938.1537,0.0,0,5185.5623,0.0,37944.9815,39669.3918,1724.4103,69027.9792,10.7609,27,937.5600000000001,6666.5676
2024-06-17,21,321353.27,535382.5287,11.2662,0,2890.4901,469.0331,32150.4875,32678.2194,527.7319,67190.4636,12.7509,3,0.0,5542.1667
2024-06-17,22,301928.27,464837.1147,0.0,0,3680.4218,0.0,31503.8846,32046.212,542.3274,63812.6628,12.0159,3,0.0,2797.1169
2024-06-17,23,291941.93,369282.5487,0.0,0,5748.8372,0.0,31154.5055,31811.3976,656.8921,59812.7683,11.0549,17,0.0,4625.9078
