Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.9114
2024-06-17,1,SCED,1.7913
2024-06-17,2,SCED,1.7142
2024-06-17,3,SCED,1.7825
2024-06-17,4,SCED,1.7421
2024-06-17,5,SCED,2.6338
2024-06-17,6,SCED,1.0447
2024-06-17,7,SCED,1.402
2024-06-17,8,SCED,1.3544
2024-06-17,9,SCED,1.4734
2024-06-17,10,SCED,1.4993
2024-06-17,11,SCED,3.5521
2024-06-17,12,SCED,1.7409
2024-06-17,13,SCED,1.7628
2024-06-17,14,SCED,4.0757
2024-06-17,15,SCED,1.3227
2024-06-17,16,SCED,1.8308
2024-06-17,17,SCED,3.9831
2024-06-17,18,SCED,1.3757
2024-06-17,19,SCED,1.86
2024-06-17,20,SCED,2.1737
2024-06-17,21,SCED,2.1745
2024-06-17,22,SCED,2.4558
2024-06-17,23,SCED,1.5729
