Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.8517
2024-06-17,1,SCED,1.6808
2024-06-17,2,SCED,1.7167
2024-06-17,3,SCED,1.7119
2024-06-17,4,SCED,1.6985
2024-06-17,5,SCED,2.5134
2024-06-17,6,SCED,1.0347
2024-06-17,7,SCED,1.3323
2024-06-17,8,SCED,1.2698
2024-06-17,9,SCED,1.4898
2024-06-17,10,SCED,1.4972
2024-06-17,11,SCED,3.2603
2024-06-17,12,SCED,1.7358
2024-06-17,13,SCED,1.7495
2024-06-17,14,SCED,4.0565
2024-06-17,15,SCED,1.3375
2024-06-17,16,SCED,1.791
2024-06-17,17,SCED,4.0784
2024-06-17,18,SCED,1.4071
2024-06-17,19,SCED,1.8642
2024-06-17,20,SCED,2.0392
2024-06-17,21,SCED,2.1424
2024-06-17,22,SCED,2.3972
2024-06-17,23,SCED,1.6053
