Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,283882.09,428887.9813,0.0,0,4433.0345,0.0,27269.8183,29910.3329,2640.5146,56439.1838,12.629,328,0.0,15354.5655
2024-06-17,1,252860.59,388199.4997,0.0,0,2791.658,0.0,26816.6631,29075.3272,2258.6641,53893.9751,11.8948,24,128.26999999999998,3020.0133
2024-06-17,2,244554.33,351995.593,0.0,0,3248.1653,0.0,26315.1758,28126.8188,1811.643,52195.9105,11.4291,14,184.0,2686.86
2024-06-17,3,243949.53,335265.1383,0.0,0,3581.863,0.0,25907.3488,27372.8813,1465.5325,51126.3858,11.3291,2,0.0,3291.4249
2024-06-17,4,247494.33,338443.7408,0.0,0,3492.2363,0.0,25501.3686,26274.3976,773.029,50936.6323,11.5033,1,126.6,939.5886
2024-06-17,5,252320.97,357080.7881,0.0,0,3264.2621,0.0,25540.7464,26100.101,559.3546,51671.7643,11.7937,3,172.38,2048.2371
2024-06-17,6,261534.95,374043.8375,0.0,0,2950.0137,0.0,25433.1696,26075.78,642.6104,52599.0359,12.0835,11,318.38,3185.0699
2024-06-17,7,265453.55,410023.4626,48.5951,0,2706.3412,0.0,25754.3705,26370.6328,616.2623,54126.8244,12.4795,15,637.4,2968.3522
2024-06-17,8,273371.81,356166.8004,0.0,0,5679.4775,0.0,31006.4784,33041.9376,2035.4592,56928.6409,11.0584,25,510.4400000000001,5074.091
2024-06-17,9,255389.03,376864.7224,2.4692,0,4445.6318,0.0,34805.9515,41954.7545,7148.803,60086.4289,10.5224,38,709.2399999999998,3622.306
2024-06-17,10,333479.54,459996.3342,69.777,0,4422.3998,0.0,34782.57,45196.0857,10413.5157,63734.1073,12.4498,39,2763.31,3794.2066
2024-06-17,11,369066.76,661963.584,164.794,0,4000.9939,0.0,31087.4934,48087.9943,17000.5009,66966.3796,15.3962,27,1179.1399999999999,11307.4498
2024-06-17,12,383396.52,735546.8661,363.0667,0,3941.6741,0.0,29796.0516,49578.5664,19782.5148,69571.4694,16.0834,21,718.49,4696.699
2024-06-17,13,398951.22,797553.7404,604.3712,0,4209.6711,0.0,28538.3938,49490.946,20952.5522,71970.9657,16.6248,16,507.80999999999995,4303.381
2024-06-17,14,400638.36,813607.4708,908.888,0,4853.8522,0.0,29756.9825,52220.3958,22463.4133,74109.5132,16.3845,10,205.98,2680.427
2024-06-17,15,397983.96,826733.7673,925.6738,0,4792.7499,0.0,29605.9193,54244.5965,24638.6772,74368.2045,16.4683,5,1.2,2816.9151
2024-06-17,16,408070.26,828499.5571,915.4157,0,4797.1361,0.0,29578.5761,52292.198,22713.6219,74392.3895,16.6223,4,313.5,2369.4497
2024-06-17,17,408218.94,827089.6086,893.5411,0,5434.8466,0.0,29627.0833,53008.4614,23381.3781,74327.7635,16.6197,3,63.809999999999995,1823.4405
2024-06-17,18,408663.54,839405.0396,727.5974,0,5079.4685,0.0,28694.9041,50365.6604,21670.7563,73506.3953,16.979,8,20.04,2405.8721
2024-06-17,19,391090.59,787195.8742,473.8469,0,5229.2426,0.0,28934.2013,46758.5874,17824.3861,71693.9955,16.4349,28,19.59,4064.331
2024-06-17,20,363636.45,697222.544,232.4957,0,5252.7557,0.0,29408.1692,39669.3918,10261.2226,69027.9792,15.3685,16,92.07,3646.4734
2024-06-17,21,376536.31,705656.335,126.2211,0,4586.0584,0.0,26675.031,32678.2194,6003.1884,67190.4636,16.1063,15,539.37,3882.6715
2024-06-17,22,381066.01,565094.8648,6.9531,0,9305.3151,0.0,27828.1213,32046.212,4218.0907,63812.6628,14.8272,25,364.8,9162.9146
2024-06-17,23,324278.73,503133.2712,0.0,0,5223.0246,0.0,27292.3929,31811.3976,4519.0047,59812.7683,13.8334,58,775.3,5191.9626
