Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,263669.97,339334.6385,0.0,0.0,4259.9491,0.0,29910.3329,29910.3329,0.0,56439.1838,10.6841,348,0.0,13206.6309
2024-06-17,1,263506.17,284468.2124,0.0,0.0,5767.8021,0.0,29075.3272,29075.3272,-0.0,53893.9751,10.1676,8,18.15,4205.8873
2024-06-17,2,231098.97,292139.0012,0.0,0.0,2822.7083,0.0,28126.8188,28126.8188,0.0,52195.9105,10.0245,20,0.0,2700.684
2024-06-17,3,224257.17,288339.1521,0.0,0.0,2259.7955,296.5238,27372.8813,27372.8813,0.0,51126.3858,10.0261,10,16.0,1472.277
2024-06-17,4,224765.37,313480.0091,0.0,0.0,1507.1653,1039.6663,26274.3976,26274.3976,-0.0,50936.6323,10.567,2,12.1,1403.6231
2024-06-17,5,229276.17,340660.0144,101.2996,0.0,969.0363,1614.5519,26100.101,26100.101,-0.0,51671.7643,11.0299,3,161.10000000000002,1359.3044
2024-06-17,6,232579.47,344024.8581,873.8113,0.0,1262.6554,1367.2964,26075.78,26075.78,-0.0,52599.0359,10.9623,10,96.79999999999998,1682.7945
2024-06-17,7,238491.39,359173.5261,1542.2098,0.0,1417.4582,1288.883,26370.6328,26370.6328,-0.0,54126.8244,11.0419,5,211.14000000000001,1172.3972
2024-06-17,8,247904.25,274302.8558,0.0,0.0,4357.3667,0.0,33041.9376,33041.9376,0.0,56928.6409,9.173,7,773.9699999999998,3562.0835
2024-06-17,9,247714.31,194717.5,0.0,0.0,7940.4265,0.0,39847.6254,41954.7545,2107.1291,60086.4289,7.3633,12,1013.23,5861.5717
2024-06-17,10,246504.15,261211.7543,0.0,0.0,6066.8145,0.0,41730.7618,45196.0857,3465.3239,63734.1073,7.9662,11,523.86,3850.1397
2024-06-17,11,258489.87,296433.0517,0.0,0.0,5627.0843,0.0,43409.7839,48087.9943,4678.2104,66966.3796,8.2866,26,731.4800000000004,2425.1129
2024-06-17,12,253544.55,342571.6031,0.0,0.0,5664.6371,0.0,44901.9465,49578.5664,4676.6199,69571.4694,8.5684,18,228.46000000000012,2319.1011
2024-06-17,13,271343.91,386814.4506,0.0,0.0,5244.9182,0.0,45276.6139,49490.946,4214.3321,71970.9657,9.1448,11,625.3700000000001,2578.3839
2024-06-17,14,275327.61,410976.2664,0.0,0.0,5916.0959,0.0,46654.1791,52220.3958,5566.2167,74109.5132,9.2607,11,233.03,2851.3222
2024-06-17,15,266744.07,397405.2013,0.0,0.0,6375.1754,0.0,47790.6799,54244.5965,6453.9166,74368.2045,8.9306,9,0.0,1592.6408
2024-06-17,16,278985.99,415037.7644,0.0,0.0,5237.6642,0.0,46549.1137,52292.198,5743.0843,74392.3895,9.3292,11,573.24,1211.7665
2024-06-17,17,281303.79,403956.7012,0.0,0.0,6639.3269,0.0,46708.9904,53008.4614,6299.471,74327.7635,9.2194,3,87.6,2784.5472
2024-06-17,18,288982.79,405445.2922,0.0,0.0,6118.7084,0.0,45134.9437,50365.6604,5230.7167,73506.3953,9.4472,6,417.56,2232.4067
2024-06-17,19,308079.17,382676.2443,0.0,0.0,6775.2805,0.0,42915.826,46758.5874,3842.7614,71693.9955,9.6348,13,838.3499999999999,3504.9559
2024-06-17,20,338464.31,406190.2168,0.0,0.0,6038.1891,0.0,37873.5983,39669.3918,1795.7935,69027.9792,10.7877,28,1267.17,6071.9102
2024-06-17,21,325340.15,530655.5368,0.0,0.0,3208.8798,150.6434,32145.3434,32678.2194,532.876,67190.4636,12.7398,9,0.0,5975.9167
2024-06-17,22,304411.55,463177.3752,0.0,0.0,3775.2623,0.0,31442.9251,32046.212,603.2869,63812.6628,12.0288,4,0.0,2354.0785
2024-06-17,23,294711.65,368180.8034,0.0,0.0,5808.4447,0.0,30992.713,31811.3976,818.6846,59812.7683,11.0828,18,0.0,4470.9593
