Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-1109.6461
2024-06-17,0,L3595_3616,-1027.3677
2024-06-17,0,L4611_4660,-795.3228
2024-06-17,0,L2384_4611,-654.2287
2024-06-17,0,L4612_4630,214.4562
2024-06-17,0,L1076_4612,297.6255
2024-06-17,0,L2193_2384,-557.8486
2024-06-17,0,L89_1584,0.0
2024-06-17,0,L1575_4614,691.6237
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,178.2955
2024-06-17,0,L569_2384,-97.007
2024-06-17,0,L2384_4615,-467.3286
2024-06-17,0,L597_1156,46.0107
2024-06-17,0,L136_4615,467.3286
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-245.6634
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,1039.8233
2024-06-17,0,L51_2389,221.37
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-430.3015
2024-06-17,0,L2394_3613,-503.0156
2024-06-17,0,L2398_4630,-214.4562
2024-06-17,0,L1152_2398,-161.2379
2024-06-17,0,L1152_3822,161.2379
2024-06-17,0,L3822_4631,503.0597
2024-06-17,0,L1095_4631,102.2245
2024-06-17,0,L3613_4631,-605.2842
2024-06-17,0,L2398_3038,428.2266
2024-06-17,0,L2398_3599,602.9275
2024-06-17,0,L2391_2398,1196.129
2024-06-17,0,L3038_4632,484.6653
2024-06-17,0,L2395_3597,-868.1866
2024-06-17,0,L3597_4632,-383.2239
2024-06-17,0,L1095_2393,26.4133
2024-06-17,0,L611_2391,1029.9601
2024-06-17,0,L611_2388,-1029.9601
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,226.092
2024-06-17,0,L2386_3605,-299.7241
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
2024-06-17,0,L4636_4637,-803.8681
2024-06-17,0,L3666_4637,148.3179
2024-06-17,0,L2385_4638,-123.5101
2024-06-17,0,L2385_3582,217.166
2024-06-17,0,L2383_3582,-191.1142
2024-06-17,0,L3606_4638,390.1001
2024-06-17,0,L607_608,149.0558
2024-06-17,0,L200_3605,168.2412
2024-06-17,0,L3452_3605,131.4829
2024-06-17,0,L600_3452,131.4829
2024-06-17,0,L2391_3667,-166.8392
2024-06-17,0,L44_3613,0.0
2024-06-17,0,L1087_3613,43.2602
2024-06-17,0,L3606_4660,528.7328
2024-06-17,0,L3606_3608,-918.8329
2024-06-17,0,L3583_3608,0.0
2024-06-17,0,L2385_3607,-201.1515
2024-06-17,0,L3598_3599,0.0
2024-06-17,0,L3599_3616,602.9275
2024-06-17,0,L3616_3617,0.0
2024-06-17,0,L3596_3597,162.338
2024-06-17,0,L3458_3597,0.0
2024-06-17,0,L3597_3613,-145.5288
2024-06-17,0,L967_3764,-342.5402
2024-06-17,0,L967_1780,342.5402
2024-06-17,0,L964_3764,266.7462
2024-06-17,0,L964_1783,-266.7462
2024-06-17,0,L3764_3765,0.0
2024-06-17,0,L1783_3764,278.2513
2024-06-17,0,L69_873,-152.7108
2024-06-17,0,L966_1783,230.7252
2024-06-17,0,L3631_4665,0.0
2024-06-17,0,L3630_4665,0.0
2024-06-17,0,L966_4665,-0.0
2024-06-17,0,L1777_1783,314.2723
2024-06-17,0,L1777_3470,83.3092
2024-06-17,0,L2589_4667,-1568.8828
2024-06-17,0,L4667_4730,-2379.2386
2024-06-17,0,L84_2588,-561.3005
2024-06-17,0,L2659_2670,-163.4317
2024-06-17,0,L2670_4673,-159.2299
2024-06-17,0,L2424_4673,297.6006
2024-06-17,0,L2734_3055,513.3641
2024-06-17,0,L1803_4696,352.7234
2024-06-17,0,L4696_4700,352.7234
2024-06-17,0,L2155_4700,-352.7234
2024-06-17,0,L1803_3051,259.403
2024-06-17,0,L88_2689,-86.0868
2024-06-17,0,L2154_2417,-756.0029
2024-06-17,0,L2154_2689,676.7628
2024-06-17,0,L2589_4711,1727.7595
2024-06-17,0,L2417_4710,-988.49
2024-06-17,0,L2406_4710,988.49
2024-06-17,0,L2734_4711,-900.1074
2024-06-17,0,L2406_3825,162.9864
2024-06-17,0,L2417_2716,-148.3759
2024-06-17,0,L2586_4714,2373.349
2024-06-17,0,L2420_4714,-2429.9998
2024-06-17,0,L2583_4715,567.9401
2024-06-17,0,L76_4715,-566.2802
2024-06-17,0,L2582_2592,-1447.8743
2024-06-17,0,L2583_2586,-569.6
2024-06-17,0,L3019_4716,-243.1928
2024-06-17,0,L2419_3019,-278.2836
2024-06-17,0,L2806_4716,243.1928
2024-06-17,0,L2581_4717,-239.1795
2024-06-17,0,L2806_4717,239.1795
2024-06-17,0,L1651_2806,78.3611
2024-06-17,0,L36_1651,464.7099
2024-06-17,0,L36_5024,-380.2473
2024-06-17,0,L2559_4720,72.8935
2024-06-17,0,L2600_4720,-72.8935
2024-06-17,0,L2419_2559,589.43
2024-06-17,0,L2431_2806,92.6069
2024-06-17,0,L2418_2581,-285.745
2024-06-17,0,L2581_4725,-99.2457
2024-06-17,0,L2421_4725,99.2457
2024-06-17,0,L2418_2419,285.745
2024-06-17,0,L2659_2806,228.5682
2024-06-17,0,L84_2587,314.262
2024-06-17,0,L2582_2586,1447.8743
2024-06-17,0,L2419_4728,-322.7131
2024-06-17,0,L2417_4728,322.7131
2024-06-17,0,L1803_2401,-1509.8413
2024-06-17,0,L4730_4746,-1190.1513
2024-06-17,0,L2420_4746,2380.8985
2024-06-17,0,L472_2401,256.8806
2024-06-17,0,L472_2399,-256.8806
2024-06-17,0,L1928_2880,2002.9144
2024-06-17,0,L2586_2880,-1796.8717
2024-06-17,0,L1003_1481,-2002.9144
2024-06-17,0,L1003_1924,2002.9144
2024-06-17,0,L1927_1928,2002.9144
2024-06-17,0,L795_3466,-617.9915
2024-06-17,0,L795_4759,1076.5965
2024-06-17,0,L1481_4759,-1076.5965
2024-06-17,0,L1924_1927,2002.9144
2024-06-17,0,L786_1481,779.1067
2024-06-17,0,L786_2483,-779.1067
2024-06-17,0,L739_3447,-302.4469
2024-06-17,0,L1780_2953,493.2371
2024-06-17,0,L2952_2953,-493.2371
2024-06-17,0,L1448_2952,-681.0956
2024-06-17,0,L2600_2689,51.2549
2024-06-17,0,L1481_3651,-147.2111
2024-06-17,0,L2401_3595,-1027.3677
2024-06-17,0,L3593_3595,0.0
2024-06-17,0,L3594_3595,0.0
2024-06-17,0,L3470_3589,0.0
2024-06-17,0,L3469_3470,-83.3092
2024-06-17,0,L3468_3469,0.0
2024-06-17,0,L3104_3469,-83.3092
2024-06-17,0,L3391_3466,369.3927
2024-06-17,0,L3104_3466,248.5988
2024-06-17,0,L3103_3104,165.2896
2024-06-17,0,L3055_4777,68.6188
2024-06-17,0,L2699_4777,-68.6188
2024-06-17,0,L2070_2851,640.6168
2024-06-17,0,L1274_2640,-433.0809
2024-06-17,0,L2455_2708,-1243.6034
2024-06-17,0,L2836_4597,119.8522
2024-06-17,0,L2615_2948,1634.3528
2024-06-17,0,L2615_2836,-1588.4877
2024-06-17,0,L2836_4276,-211.9332
2024-06-17,0,L2717_2789,-1146.0175
2024-06-17,0,L2789_4800,842.3441
2024-06-17,0,L262_4800,-1248.4843
2024-06-17,0,L3196_4800,406.1402
2024-06-17,0,L2716_2717,-1287.3432
2024-06-17,0,L2408_2789,-566.0572
2024-06-17,0,L4019_4440,-190.5506
2024-06-17,0,L4019_4592,190.5506
2024-06-17,0,L2704_4440,230.7208
2024-06-17,0,L2289_2704,542.5583
2024-06-17,0,L2413_2414,-328.5337
2024-06-17,0,L180_2407,919.1744
2024-06-17,0,L176_2906,270.2055
2024-06-17,0,L2757_2907,-99.2835
2024-06-17,0,L421_2716,-1611.5171
2024-06-17,0,L2875_2876,2088.0117
