Date,Hour,Line,Flow
2024-01-08,0,L1125_2389,-1116.4279
2024-01-08,0,L3595_3616,-1167.8061
2024-01-08,0,L4611_4660,-801.1173
2024-01-08,0,L2384_4611,-701.1737
2024-01-08,0,L4612_4630,321.2846
2024-01-08,0,L1076_4612,434.8263
2024-01-08,0,L2193_2384,-843.2731
2024-01-08,0,L89_1584,0.0
2024-01-08,0,L1575_4614,866.1073
2024-01-08,0,L1575_1584,-341.2773
2024-01-08,0,L2820_3156,320.099
2024-01-08,0,L569_2384,-33.4277
2024-01-08,0,L2384_4615,-414.3134
2024-01-08,0,L597_1156,31.9402
2024-01-08,0,L136_4615,414.3134
2024-01-08,0,L1550_1552,-180.3147
2024-01-08,0,L1552_3702,-180.3147
2024-01-08,0,L4616_4617,180.3147
2024-01-08,0,L1550_4616,180.3147
2024-01-08,0,L4617_4620,180.3147
2024-01-08,0,L1548_4620,-180.3147
2024-01-08,0,L136_1548,-186.3398
2024-01-08,0,L136_591,-227.9736
2024-01-08,0,L1125_4287,1069.3529
2024-01-08,0,L51_2389,0.0
2024-01-08,0,L3050_3668,0.0
2024-01-08,0,L46_3156,0.0
2024-01-08,0,L3050_4625,0.0
2024-01-08,0,L1550_4625,0.0
2024-01-08,0,L2389_3157,0.0
2024-01-08,0,L1575_1583,-583.8622
2024-01-08,0,L2394_3613,-781.0766
2024-01-08,0,L2398_4630,-321.2846
2024-01-08,0,L1152_2398,-243.8752
2024-01-08,0,L1152_3822,243.8752
2024-01-08,0,L3822_4631,785.9513
2024-01-08,0,L1095_4631,89.8338
2024-01-08,0,L3613_4631,-875.7851
2024-01-08,0,L2398_3038,608.6559
2024-01-08,0,L2398_3599,731.2867
2024-01-08,0,L2391_2398,1424.2184
2024-01-08,0,L3038_4632,688.3751
2024-01-08,0,L2395_3597,-1061.2698
2024-01-08,0,L3597_4632,-556.4027
2024-01-08,0,L1095_2393,51.9816
2024-01-08,0,L611_2391,1236.0675
2024-01-08,0,L611_2388,-1236.0675
2024-01-08,0,L2388_4636,-826.7455
2024-01-08,0,L504_2388,409.322
2024-01-08,0,L2386_3605,-463.7635
2024-01-08,0,L4634_4635,-520.9088
2024-01-08,0,L608_4634,153.2978
2024-01-08,0,L4634_4637,674.2066
2024-01-08,0,L2387_4635,520.9088
2024-01-08,0,L4636_4637,-826.7455
2024-01-08,0,L3666_4637,152.5389
2024-01-08,0,L2385_4638,-143.8648
2024-01-08,0,L2385_3582,117.8311
2024-01-08,0,L2383_3582,-103.6958
2024-01-08,0,L3606_4638,404.2056
2024-01-08,0,L607_608,153.2978
2024-01-08,0,L200_3605,173.0292
2024-01-08,0,L3452_3605,290.7343
2024-01-08,0,L600_3452,290.7343
2024-01-08,0,L2391_3667,-171.5873
2024-01-08,0,L44_3613,0.0
2024-01-08,0,L1087_3613,61.0645
2024-01-08,0,L3606_4660,540.7765
2024-01-08,0,L3606_3608,-944.9821
2024-01-08,0,L3583_3608,0.0
2024-01-08,0,L2385_3607,-206.8761
2024-01-08,0,L3598_3599,0.0
2024-01-08,0,L3599_3616,731.2867
2024-01-08,0,L3616_3617,0.0
2024-01-08,0,L3596_3597,166.958
2024-01-08,0,L3458_3597,0.0
2024-01-08,0,L3597_3613,-155.7731
2024-01-08,0,L967_3764,-380.3735
2024-01-08,0,L967_1780,380.3735
2024-01-08,0,L964_3764,290.1584
2024-01-08,0,L964_1783,-290.1584
2024-01-08,0,L3764_3765,0.0
2024-01-08,0,L1783_3764,302.6733
2024-01-08,0,L69_873,-162.0279
2024-01-08,0,L966_1783,241.3798
2024-01-08,0,L3631_4665,0.0
2024-01-08,0,L3630_4665,0.0
2024-01-08,0,L966_4665,0.0
2024-01-08,0,L1777_1783,351.4519
2024-01-08,0,L1777_3470,49.3876
2024-01-08,0,L2589_4667,-1065.6667
2024-01-08,0,L4667_4730,-1671.894
2024-01-08,0,L84_2588,-545.4824
2024-01-08,0,L2659_2670,-232.4374
2024-01-08,0,L2670_4673,-213.2063
2024-01-08,0,L2424_4673,288.5517
2024-01-08,0,L2734_3055,290.3233
2024-01-08,0,L1803_4696,302.8564
2024-01-08,0,L4696_4700,302.8564
2024-01-08,0,L2155_4700,-302.8564
2024-01-08,0,L1803_3051,289.5717
2024-01-08,0,L88_2689,75.4788
2024-01-08,0,L2154_2417,-357.6189
2024-01-08,0,L2154_2689,223.4858
2024-01-08,0,L2589_4711,1178.6229
2024-01-08,0,L2417_4710,-1137.1321
2024-01-08,0,L2406_4710,1137.1321
2024-01-08,0,L2734_4711,-639.4935
2024-01-08,0,L2406_3825,78.9675
2024-01-08,0,L2417_2716,163.5006
2024-01-08,0,L2586_4714,1669.0277
2024-01-08,0,L2420_4714,-1705.5291
2024-01-08,0,L2583_4715,549.7528
2024-01-08,0,L76_4715,-548.6852
2024-01-08,0,L2582_2592,-1088.2969
