Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-01-08,0,192713.69,131368.5827,0.0,0,5987.0427,0.0,25268.9873,30761.5563,5492.569,41213.4446,7.8635,400,0.0,5319.0673
2024-01-08,1,190874.09,118625.329,0.0,0,6339.8162,0.0,25079.8764,30417.0137,5337.1373,40432.5602,7.6547,2,0.0,1935.6499
2024-01-08,2,186474.59,113975.9579,0.0,0,6217.4396,0.0,25061.6574,30477.8154,5416.158,40105.7178,7.4915,2,4.0,1219.2315
2024-01-08,3,183870.59,117204.6618,0.0,0,5882.3186,0.0,25162.939,30307.5711,5144.6321,40248.1204,7.4805,2,0.0,836.8954
2024-01-08,4,184038.59,132809.8965,0.0,0,5244.7856,0.0,25189.1017,30153.5391,4964.4374,40915.8161,7.7439,1,4.0,1180.981
2024-01-08,5,196810.25,166430.1808,0.0,0,3660.1436,0.0,25377.31,30096.7968,4719.4868,42892.6164,8.4686,27,521.0500000000002,1859.074
2024-01-08,6,214903.85,215046.7991,0.0,0,3642.0901,0.0,25575.1729,30190.0216,4614.8487,45638.1828,9.4209,4,556.2,2541.7612
2024-01-08,7,217341.05,245856.5204,0.0,0,3692.8694,0.0,25628.1066,30408.9064,4780.7998,47026.3372,9.8497,2,88.2,2004.9936
2024-01-08,8,217339.85,251734.5334,0.0,0,3725.9774,0.0,25653.3112,30313.1115,4659.8003,47220.2338,9.9338,1,0.0,792.1112
2024-01-08,9,218896.37,228837.5675,0.0,0,4677.6534,0.0,26714.7518,31389.0282,4674.2764,47385.5884,9.4487,1,55.59,1667.6719
2024-01-08,10,217483.49,188822.7801,0.0,0,6082.9883,0.0,28794.7628,33867.2633,5072.5005,47559.9145,8.543,6,197.94000000000003,3427.1493
2024-01-08,11,217206.65,178414.6767,0.0,0,6842.5637,0.0,29588.6145,35101.5214,5512.9069,47884.9208,8.2619,3,60.870000000000005,2023.0208
2024-01-08,12,214411.55,161482.5003,0.0,0,7272.7156,0.0,30497.1013,36470.2046,5973.1033,47847.7857,7.856,11,0.0,3343.1634
2024-01-08,13,214665.65,166554.0044,0.0,0,7066.1211,0.0,29928.2904,35493.2402,5564.9498,47491.6193,8.0271,1,6.05,955.987
2024-01-08,14,212229.65,166504.8946,0.0,0,6869.4878,0.0,29605.0808,35078.7814,5473.7006,47129.493,8.036,1,0.0,844.6223
2024-01-08,15,215641.25,156865.5959,0.0,0,7067.5809,0.0,29648.8531,35037.5712,5388.7181,47098.1722,7.9092,3,123.0,1560.9955
2024-01-08,16,218182.25,153241.5528,0.0,0,7280.0289,0.0,29840.2827,34996.3974,5156.1147,47432.6538,7.8306,10,60.499999999999986,1810.28
2024-01-08,17,235451.39,202752.0335,0.0,0,5614.719,0.0,28260.9337,32669.9477,4409.014,48622.4947,9.0124,5,559.38,4838.5866
2024-01-08,18,246853.55,277702.804,0.0,0,3658.8714,0.0,26502.0639,30904.4929,4402.429,50060.5325,10.4784,11,609.24,3778.43
2024-01-08,19,243182.35,287935.0843,0.0,0,3890.6517,0.0,26051.6495,30365.8061,4314.1566,49945.0978,10.634,4,357.2,1226.7284
2024-01-08,20,243182.35,283029.0943,0.0,0,4560.8263,0.0,26134.1142,30382.0198,4247.9056,49893.1879,10.5468,0,0.0,1203.555
2024-01-08,21,234041.47,276232.5239,0.0,0,4026.3287,0.0,25892.7241,29828.6943,3935.9702,49087.2954,10.3952,6,1.2,2177.4057
2024-01-08,22,217765.27,257542.5308,0.0,0,3131.594,0.0,25683.4893,29549.5776,3866.0883,47631.0953,9.9789,11,87.0,944.2205
2024-01-08,23,212629.87,221230.6278,0.0,0,3871.1453,0.0,25864.8939,30153.5391,4288.6452,46443.6486,9.3417,4,131.7,2875.4213
