Date,Hour,Generator,Output,Curtailment
2024-01-08,0,AGUAYO_UNIT1,0.0,146.8471
2024-01-08,0,AMADEUS1_UNIT1,27.8516,0.0
2024-01-08,0,AMADEUS1_UNIT2,27.1686,0.0
2024-01-08,0,AMADEUS2_UNIT3,134.8565,0.0
2024-01-08,0,ANACACHO_ANA,75.7382,0.0
2024-01-08,0,ANCHOR_WIND2,75.0552,0.0
2024-01-08,0,ANCHOR_WIND3,68.301,0.0
2024-01-08,0,ANCHOR_WIND4,29.3694,0.0
2024-01-08,0,ANCHOR_WIND5,14.6468,0.0
2024-01-08,0,APOGEE_UNIT1,18.9725,0.0
2024-01-08,0,APOGEE_UNIT2,10.6246,0.0
2024-01-08,0,APOGEE_UNIT3,22.9188,0.0
2024-01-08,0,APOGEE_UNIT4,87.2735,0.0
2024-01-08,0,APOGEE_UNIT5,83.479,0.0
2024-01-08,0,APOGEE_UNIT6,18.2136,0.0
2024-01-08,0,APOGEE_UNIT7,56.9175,0.0
2024-01-08,0,APPALOSA_UNIT1,119.8303,0.0
2024-01-08,0,APPALOSA_UNIT2,10.5487,0.0
2024-01-08,0,AQUILLA_U1_23,10.5487,0.0
2024-01-08,0,AQUILLA_U1_28,102.7551,0.0
2024-01-08,0,AQUILLA_U2_23,5.3123,0.0
2024-01-08,0,AQUILLA_U2_28,109.1298,0.0
2024-01-08,0,AVIATOR_UNIT1,136.6779,0.0
2024-01-08,0,AVIATOR_UNIT2,110.4958,0.0
2024-01-08,0,DEWOLF_UNIT1,151.2488,0.0
2024-01-08,0,BLACKJAK_UNIT1,91.068,0.0
2024-01-08,0,BLACKJAK_UNIT2,91.068,0.0
2024-01-08,0,BAFFIN_UNIT1,75.89,0.0
2024-01-08,0,BAFFIN_UNIT2,77.4078,0.0
2024-01-08,0,BARROW_UNIT1,68.4528,0.0
2024-01-08,0,BARROW_UNIT2,53.5025,0.0
2024-01-08,0,BRTSW_BCW1,91.068,0.0
2024-01-08,0,BLSUMMIT_BLSMT1_5,0.0,100.7819
2024-01-08,0,BLSUMMIT_BLSMT1_6,0.0,5.3123
2024-01-08,0,BLSUMMIT_UNIT2_25,0.0,70.1983
2024-01-08,0,BLSUMMIT_UNIT2_17,0.0,5.2364
2024-01-08,0,BLSUMIT3_UNIT_17,0.0,10.3969
2024-01-08,0,BLSUMIT3_UNIT_25,0.0,141.5349
2024-01-08,0,BCATWIND_WIND_1,122.9418,0.0
2024-01-08,0,BRISCOE_WIND,0.0,113.7591
2024-01-08,0,BBREEZE_UNIT1,91.068,0.0
2024-01-08,0,BBREEZE_UNIT2,81.9612,0.0
2024-01-08,0,BUCKTHRN_UNIT1,34.0746,0.0
2024-01-08,0,BUCKTHRN_UNIT2,42.2707,0.0
2024-01-08,0,BUFF_GAP_UNIT1,91.5233,0.0
2024-01-08,0,BUFF_GAP_UNIT2_1,87.653,0.0
2024-01-08,0,BUFF_GAP_UNIT2_2,88.7913,0.0
2024-01-08,0,BUFF_GAP_UNIT3,129.1648,0.0
2024-01-08,0,BULLCRK_WND1,67.5421,0.0
2024-01-08,0,BULLCRK_WND2,69.0599,0.0
2024-01-08,0,CABEZON_WIND1,87.4253,0.0
2024-01-08,0,CABEZON_WIND2,92.8894,0.0
2024-01-08,0,CFLATS_U1,112.6208,0.0
2024-01-08,0,CALLAHAN_WND1,93.4206,0.0
2024-01-08,0,CAMWIND_UNIT1,125.2185,0.0
2024-01-08,0,CSEC_CSECG1,101.9962,0.0
2024-01-08,0,CSEC_CSECG2,93.8,0.0
2024-01-08,0,CN_BRKS_UNIT_1,0.0,159.4449
2024-01-08,0,CAPRIDGE_CR1,175.8371,0.0
2024-01-08,0,CAPRIDGE_CR2,113.4556,0.0
2024-01-08,0,CAPRIDGE_CR3,152.463,0.0
2024-01-08,0,CAPRIDG4_CR4,92.2064,0.0
2024-01-08,0,CEDROHIL_CHW1,0.0,60.2567
2024-01-08,0,CEDROHIL_CHW2,0.0,59.1942
2024-01-08,0,CHALUPA_UNIT1,131.5174,0.0
2024-01-08,0,CHAMPION_UNIT1,73.9928,0.0
2024-01-08,0,CHAMPION_UNIT2,13.7361,0.0
2024-01-08,0,CHAMPION_UNIT3,6.8301,0.0
2024-01-08,0,SANTACRU_UNIT1,114.2903,0.0
2024-01-08,0,SANTACRU_UNIT2,74.6758,0.0
2024-01-08,0,COTPLNS_COTTONPL,38.2486,0.0
2024-01-08,0,CRANELL_UNIT1,166.958,0.0
2024-01-08,0,CRAWFISH_UNIT1,123.8525,0.0
2024-01-08,0,DERMOTT_UNIT1,96.0008,0.0
2024-01-08,0,DERMOTT_UNIT2,96.0008,0.0
2024-01-08,0,DSKYWND1_UNIT_1A,49.9356,0.0
2024-01-08,0,DSKYWND2_UNIT_2A,49.9356,0.0
