Date,Hour,Type,Solve Time
2024-01-08,0,SCED,2.5529
2024-01-08,1,SCED,5.0574
2024-01-08,2,SCED,2.1569
2024-01-08,3,SCED,2.1998
2024-01-08,4,SCED,2.129
2024-01-08,5,SCED,2.1484
2024-01-08,6,SCED,4.3688
2024-01-08,7,SCED,2.2337
2024-01-08,8,SCED,3.5608
2024-01-08,9,SCED,1.9704
2024-01-08,10,SCED,3.4994
2024-01-08,11,SCED,1.8993
2024-01-08,12,SCED,1.9037
2024-01-08,13,SCED,1.7425
2024-01-08,14,SCED,1.7387
2024-01-08,15,SCED,1.7737
2024-01-08,16,SCED,2.685
2024-01-08,17,SCED,2.768
2024-01-08,18,SCED,3.0205
2024-01-08,19,SCED,1.8416
2024-01-08,20,SCED,2.9051
2024-01-08,21,SCED,1.7788
2024-01-08,22,SCED,1.7009
2024-01-08,23,SCED,2.814
