Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,238176.49,425120.8548,375.8939,0,1300.9413,1521.0179,28699.5312,29910.3329,1210.8017,56439.1838,11.7524,338,0.0,15310.0887
2024-06-17,1,238176.49,368907.6361,0.0,0,2917.1689,0.0,28146.444,29075.3272,928.8832,53893.9751,11.2644,0,0.0,2061.4133
2024-06-17,2,226644.79,352633.3236,0.0,0,2441.1254,168.6701,27740.0659,28126.8188,386.7529,52195.9105,11.0982,22,74.77,1512.9103
2024-06-17,3,223383.49,337701.2843,0.0,0,2536.6043,19.715,27259.2901,27372.8813,113.5912,51126.3858,10.9745,3,0.0,1742.4844
2024-06-17,4,223383.49,352232.2465,0.0,0,1678.3178,868.5138,26211.2501,26274.3976,63.1475,50936.6323,11.3006,0,0.0,1711.0552
2024-06-17,5,223383.49,366992.5287,252.0346,0,1025.5643,1558.0239,26041.594,26100.101,58.507,51671.7643,11.4255,0,0.0,678.4209
2024-06-17,6,227190.79,368189.3945,1040.2176,0,953.372,1676.5798,26017.8403,26075.78,57.9397,52599.0359,11.3192,16,90.64999999999998,633.5923
2024-06-17,7,231636.49,402619.8727,1308.5114,0,947.487,1758.8542,26313.95,26370.6328,56.6828,54126.8244,11.718,8,141.65,1543.509
2024-06-17,8,234996.49,346704.9083,0.0,0,3499.8668,0.0,32337.8077,33041.9376,704.1299,56928.6409,10.2181,13,79.99999999999999,2943.6852
2024-06-17,9,227595.87,303612.1522,0.0,0,5070.0202,0.0,37796.5291,41954.7545,4158.2254,60086.4289,8.8407,31,151.42,4602.245
2024-06-17,10,244497.93,370183.4776,0.0,0,4492.9809,0.0,38942.0582,45196.0857,6254.0275,63734.1073,9.6445,16,562.3299999999999,2953.8067
2024-06-17,11,309581.17,414809.9887,0.0,0,5414.2537,0.0,39930.7685,48087.9943,8157.2258,66966.3796,10.8172,32,2369.78,1355.2835
2024-06-17,12,339846.19,562557.6277,54.4812,0,4841.0634,0.0,36691.0621,49578.5664,12887.5043,69571.4694,12.9709,34,1418.08,5432.1341
2024-06-17,13,344064.19,633605.9123,134.8226,0,5303.3276,0.0,35416.3872,49490.946,14074.5588,71970.9657,13.5842,11,268.52,2959.3546
2024-06-17,14,344064.19,640569.2301,239.3252,0,6040.2741,0.0,37047.6621,52220.3958,15172.7337,74109.5132,13.2862,0,0.0,2855.1514
2024-06-17,15,355288.69,637344.3481,205.5519,0,6339.7784,0.0,37983.2193,54244.5965,16261.3772,74368.2045,13.3475,3,320.7,1906.4485
2024-06-17,16,354541.09,669873.7671,155.755,0,5725.1607,0.0,36841.6223,52292.198,15450.5757,74392.3895,13.7704,2,55.8,1600.3963
2024-06-17,17,363620.65,658287.4703,120.517,0,6323.2884,0.0,36996.4751,53008.4614,16011.9863,74327.7635,13.7487,6,324.27,1558.5237
2024-06-17,18,361764.05,605912.1357,0.0,0,7747.4317,0.0,37060.457,50365.6604,13305.2034,73506.3953,13.1645,17,54.269999999999996,4208.0382
2024-06-17,19,339679.19,475910.3765,0.0,0,10316.544,0.0,39995.4395,46758.5874,6763.1479,71693.9955,11.376,10,0.0,7255.882
2024-06-17,20,313865.95,506489.9081,0.0,0,3795.1988,0.0,36171.878,39669.3918,3497.5138,69027.9792,11.8844,44,994.1999999999998,4849.7754
2024-06-17,21,328128.11,613849.9354,13.1937,0,2402.4136,957.1096,30596.9034,32678.2194,2081.316,67190.4636,14.0195,13,666.08,3928.7086
2024-06-17,22,335323.97,501875.6652,0.0,0,5456.1166,0.0,29857.8394,32046.212,2188.3726,63812.6628,13.1196,16,555.24,5728.5776
2024-06-17,23,297953.63,435105.1577,0.0,0,4984.8576,0.0,29338.4259,31811.3976,2472.9717,59812.7683,12.2559,29,0.0,5171.5478
