Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-938.6199
2024-06-17,0,L3595_3616,-1043.4285
2024-06-17,0,L4611_4660,-813.6692
2024-06-17,0,L2384_4611,-673.4553
2024-06-17,0,L4612_4630,178.3019
2024-06-17,0,L1076_4612,281.1046
2024-06-17,0,L2193_2384,-535.3621
2024-06-17,0,L89_1584,-0.0
2024-06-17,0,L1575_4614,727.3504
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,209.4624
2024-06-17,0,L569_2384,-97.9385
2024-06-17,0,L2384_4615,-446.264
2024-06-17,0,L597_1156,45.9582
2024-06-17,0,L136_4615,446.264
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-224.5988
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,889.2768
2024-06-17,0,L51_2389,44.6919
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-462.4953
2024-06-17,0,L2394_3613,-419.3515
2024-06-17,0,L2398_4630,-178.3019
2024-06-17,0,L1152_2398,-140.2169
2024-06-17,0,L1152_3822,140.2169
2024-06-17,0,L3822_4631,432.3924
2024-06-17,0,L1095_4631,111.0385
2024-06-17,0,L3613_4631,-543.4309
2024-06-17,0,L2398_3038,395.4837
2024-06-17,0,L2398_3599,618.9883
2024-06-17,0,L2391_2398,1174.4266
2024-06-17,0,L3038_4632,447.9025
2024-06-17,0,L2395_3597,-855.6949
2024-06-17,0,L3597_4632,-351.672
2024-06-17,0,L1095_2393,16.5524
2024-06-17,0,L611_2391,1007.2524
2024-06-17,0,L611_2388,-1007.2524
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,203.3843
2024-06-17,0,L2386_3605,-279.704
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
2024-06-17,0,L4636_4637,-803.8681
2024-06-17,0,L3666_4637,148.3179
2024-06-17,0,L2385_4638,-105.1637
2024-06-17,0,L2385_3582,219.989
2024-06-17,0,L2383_3582,-193.5985
2024-06-17,0,L3606_4638,386.8278
2024-06-17,0,L607_608,149.0558
2024-06-17,0,L200_3605,168.2412
2024-06-17,0,L3452_3605,111.4628
2024-06-17,0,L600_3452,111.4628
2024-06-17,0,L2391_3667,-166.8392
2024-06-17,0,L44_3613,0.0
2024-06-17,0,L1087_3613,40.5095
2024-06-17,0,L3606_4660,532.0051
2024-06-17,0,L3606_3608,-918.8329
2024-06-17,0,L3583_3608,0.0
2024-06-17,0,L2385_3607,-201.1515
2024-06-17,0,L3598_3599,0.0
2024-06-17,0,L3599_3616,618.9883
2024-06-17,0,L3616_3617,-0.0
2024-06-17,0,L3596_3597,162.338
2024-06-17,0,L3458_3597,0.0
2024-06-17,0,L3597_3613,-164.5889
2024-06-17,0,L967_3764,-292.8692
2024-06-17,0,L967_1780,292.8692
2024-06-17,0,L964_3764,224.6924
2024-06-17,0,L964_1783,-224.6924
2024-06-17,0,L3764_3765,0.0
2024-06-17,0,L1783_3764,234.3836
2024-06-17,0,L69_873,-140.1387
2024-06-17,0,L966_1783,188.0919
2024-06-17,0,L3631_4665,0.0
2024-06-17,0,L3630_4665,0.0
2024-06-17,0,L966_4665,-0.0
2024-06-17,0,L1777_1783,270.984
2024-06-17,0,L1777_3470,31.1647
2024-06-17,0,L2589_4667,-1525.9186
2024-06-17,0,L4667_4730,-2309.1563
2024-06-17,0,L84_2588,-532.8164
2024-06-17,0,L2659_2670,-152.1498
2024-06-17,0,L2670_4673,-148.846
2024-06-17,0,L2424_4673,281.1479
2024-06-17,0,L2734_3055,493.7519
2024-06-17,0,L1803_4696,363.536
2024-06-17,0,L4696_4700,363.536
2024-06-17,0,L2155_4700,-363.536
2024-06-17,0,L1803_3051,256.56
2024-06-17,0,L88_2689,-89.9425
2024-06-17,0,L2154_2417,-791.6305
2024-06-17,0,L2154_2689,707.6157
2024-06-17,0,L2589_4711,1678.2088
2024-06-17,0,L2417_4710,-931.0891
2024-06-17,0,L2406_4710,931.0891
2024-06-17,0,L2734_4711,-871.6694
2024-06-17,0,L2406_3825,55.04
2024-06-17,0,L2417_2716,-296.3295
2024-06-17,0,L2586_4714,2303.8731
2024-06-17,0,L2420_4714,-2358.7715
2024-06-17,0,L2583_4715,539.456
2024-06-17,0,L76_4715,-537.7961
2024-06-17,0,L2582_2592,-1411.7672
2024-06-17,0,L2583_2586,-541.1159
2024-06-17,0,L3019_4716,-231.8415
2024-06-17,0,L2419_3019,-273.8236
2024-06-17,0,L2806_4716,231.8415
2024-06-17,0,L2581_4717,-227.8566
2024-06-17,0,L2806_4717,227.8566
2024-06-17,0,L1651_2806,72.7908
2024-06-17,0,L36_1651,454.6606
2024-06-17,0,L36_5024,-362.8834
2024-06-17,0,L2559_4720,63.5193
2024-06-17,0,L2600_4720,-63.5193
2024-06-17,0,L2419_2559,611.715
2024-06-17,0,L2431_2806,97.4002
2024-06-17,0,L2418_2581,-281.3048
2024-06-17,0,L2581_4725,-111.2298
2024-06-17,0,L2421_4725,111.2298
2024-06-17,0,L2418_2419,281.3048
2024-06-17,0,L2659_2806,211.8596
2024-06-17,0,L84_2587,297.8093
2024-06-17,0,L2582_2586,1411.7672
2024-06-17,0,L2419_4728,-358.6027
2024-06-17,0,L2417_4728,358.6027
2024-06-17,0,L1803_2401,-1525.8598
2024-06-17,0,L4730_4746,-1155.1102
2024-06-17,0,L2420_4746,2310.8162
2024-06-17,0,L472_2401,307.3587
2024-06-17,0,L472_2399,-307.3587
2024-06-17,0,L1928_2880,1914.9135
