Date,Hour,Type,Solve Time
2024-06-17,0,SCED,1.7035
2024-06-17,1,SCED,1.5357
2024-06-17,2,SCED,1.5578
2024-06-17,3,SCED,1.5099
2024-06-17,4,SCED,1.5556
2024-06-17,5,SCED,1.5117
2024-06-17,6,SCED,0.9973
2024-06-17,7,SCED,0.9582
2024-06-17,8,SCED,1.0628
2024-06-17,9,SCED,1.1713
2024-06-17,10,SCED,1.0094
2024-06-17,11,SCED,1.4905
2024-06-17,12,SCED,2.2259
2024-06-17,13,SCED,1.4414
2024-06-17,14,SCED,1.5669
2024-06-17,15,SCED,1.5506
2024-06-17,16,SCED,1.2012
2024-06-17,17,SCED,1.17
2024-06-17,18,SCED,1.4997
2024-06-17,19,SCED,1.6729
2024-06-17,20,SCED,1.8721
2024-06-17,21,SCED,1.2106
2024-06-17,22,SCED,3.4691
2024-06-17,23,SCED,1.1789
