Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-1111.8802
2024-06-17,0,L3595_3616,-929.3836
2024-06-17,0,L4611_4660,-766.9592
2024-06-17,0,L2384_4611,-624.3284
2024-06-17,0,L4612_4630,254.7146
2024-06-17,0,L1076_4612,317.8693
2024-06-17,0,L2193_2384,-611.3059
2024-06-17,0,L89_1584,0.0
2024-06-17,0,L1575_4614,696.5699
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,183.3432
2024-06-17,0,L569_2384,-101.0744
2024-06-17,0,L2384_4615,-463.74
2024-06-17,0,L597_1156,46.0868
2024-06-17,0,L136_4615,463.74
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-242.0748
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,1026.1656
2024-06-17,0,L51_2389,221.37
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-435.4207
2024-06-17,0,L2394_3613,-793.1081
2024-06-17,0,L2398_4630,-254.7146
2024-06-17,0,L1152_2398,-210.1608
2024-06-17,0,L1152_3822,210.1608
2024-06-17,0,L3822_4631,673.359
2024-06-17,0,L1095_4631,73.0033
2024-06-17,0,L3613_4631,-746.3623
2024-06-17,0,L2398_3038,456.9323
2024-06-17,0,L2398_3599,504.9434
2024-06-17,0,L2391_2398,1229.3919
2024-06-17,0,L3038_4632,515.8592
2024-06-17,0,L2395_3597,-747.1426
2024-06-17,0,L3597_4632,-407.2138
2024-06-17,0,L1095_2393,54.5644
2024-06-17,0,L611_2391,1064.7798
2024-06-17,0,L611_2388,-1064.7798
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,260.9117
2024-06-17,0,L2386_3605,-330.4225
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
2024-06-17,0,L4636_4637,-803.8681
2024-06-17,0,L3666_4637,148.3179
2024-06-17,0,L2385_4638,-151.8737
2024-06-17,0,L2385_3582,213.0753
2024-06-17,0,L2383_3582,-187.5142
2024-06-17,0,L3606_4638,395.1591
2024-06-17,0,L607_608,149.0558
2024-06-17,0,L200_3605,168.2412
2024-06-17,0,L3452_3605,162.1813
2024-06-17,0,L600_3452,162.1813
