Date,Hour,Type,Solve Time
2024-06-17,0,SCED,0.9301
2024-06-17,1,SCED,0.9443
2024-06-17,2,SCED,0.9465
2024-06-17,3,SCED,0.9409
2024-06-17,4,SCED,2.2682
2024-06-17,5,SCED,0.9524
2024-06-17,6,SCED,0.9282
2024-06-17,7,SCED,0.9526
2024-06-17,8,SCED,0.9602
2024-06-17,9,SCED,0.9389
2024-06-17,10,SCED,0.9402
2024-06-17,11,SCED,2.1141
2024-06-17,12,SCED,0.9401
2024-06-17,13,SCED,0.9595
2024-06-17,14,SCED,0.9285
2024-06-17,15,SCED,0.9453
2024-06-17,16,SCED,0.9355
2024-06-17,17,SCED,0.9536
2024-06-17,18,SCED,2.1763
2024-06-17,19,SCED,0.9411
2024-06-17,20,SCED,0.9399
2024-06-17,21,SCED,0.9575
2024-06-17,22,SCED,0.9464
2024-06-17,23,SCED,0.9469
