Date,Hour,Type,Solve Time
2024-06-17,0,SCED,2.2587
2024-06-17,1,SCED,1.928
2024-06-17,2,SCED,1.9548
2024-06-17,3,SCED,1.9363
2024-06-17,4,SCED,1.9032
2024-06-17,5,SCED,1.9446
2024-06-17,6,SCED,1.2321
2024-06-17,7,SCED,1.2404
2024-06-17,8,SCED,1.4681
2024-06-17,9,SCED,1.6476
2024-06-17,10,SCED,1.7039
2024-06-17,11,SCED,1.7167
2024-06-17,12,SCED,2.3821
2024-06-17,13,SCED,1.7272
2024-06-17,14,SCED,3.2519
2024-06-17,15,SCED,2.0205
2024-06-17,16,SCED,2.6061
2024-06-17,17,SCED,2.5676
2024-06-17,18,SCED,4.9131
2024-06-17,19,SCED,2.4777
2024-06-17,20,SCED,2.5827
2024-06-17,21,SCED,5.0788
2024-06-17,22,SCED,1.7482
2024-06-17,23,SCED,1.674
