Date,Hour,Line,Flow
2024-06-17,0,L1125_2389,-954.8306
2024-06-17,0,L3595_3616,-1028.8437
2024-06-17,0,L4611_4660,-807.7911
2024-06-17,0,L2384_4611,-667.2598
2024-06-17,0,L4612_4630,192.3793
2024-06-17,0,L1076_4612,286.5956
2024-06-17,0,L2193_2384,-540.2446
2024-06-17,0,L89_1584,-0.0
2024-06-17,0,L1575_4614,721.2405
2024-06-17,0,L1575_1584,-331.8336
2024-06-17,0,L2820_3156,204.1987
2024-06-17,0,L569_2384,-98.1373
2024-06-17,0,L2384_4615,-449.8045
2024-06-17,0,L597_1156,45.9746
2024-06-17,0,L136_4615,449.8045
2024-06-17,0,L1550_1552,-175.3251
2024-06-17,0,L1552_3702,-175.3251
2024-06-17,0,L4616_4617,175.3251
2024-06-17,0,L1550_4616,175.3251
2024-06-17,0,L4617_4620,175.3251
2024-06-17,0,L1548_4620,-175.3251
2024-06-17,0,L136_1548,-228.1393
2024-06-17,0,L136_591,-221.6652
2024-06-17,0,L1125_4287,892.8944
2024-06-17,0,L51_2389,0.0
2024-06-17,0,L3050_3668,0.0
2024-06-17,0,L46_3156,0.0
2024-06-17,0,L3050_4625,-0.0
2024-06-17,0,L1550_4625,0.0
2024-06-17,0,L2389_3157,0.0
2024-06-17,0,L1575_1583,-457.0496
2024-06-17,0,L2394_3613,-465.83
2024-06-17,0,L2398_4630,-192.3793
2024-06-17,0,L1152_2398,-150.1722
2024-06-17,0,L1152_3822,150.1722
2024-06-17,0,L3822_4631,466.2967
2024-06-17,0,L1095_4631,106.368
2024-06-17,0,L3613_4631,-572.6648
2024-06-17,0,L2398_3038,407.3953
2024-06-17,0,L2398_3599,604.4035
2024-06-17,0,L2391_2398,1181.3524
2024-06-17,0,L3038_4632,461.1981
2024-06-17,0,L2395_3597,-851.6981
2024-06-17,0,L3597_4632,-363.7465
2024-06-17,0,L1095_2393,21.5257
2024-06-17,0,L611_2391,1014.5018
2024-06-17,0,L611_2388,-1014.5018
2024-06-17,0,L2388_4636,-803.8681
2024-06-17,0,L504_2388,210.6337
2024-06-17,0,L2386_3605,-286.0954
2024-06-17,0,L4634_4635,-506.4944
2024-06-17,0,L608_4634,149.0558
2024-06-17,0,L4634_4637,655.5502
2024-06-17,0,L2387_4635,506.4944
