Date,Hour,Type,Solve Time
2024-06-17,0,SCED,4.7079
2024-06-17,1,SCED,2.8468
2024-06-17,2,SCED,3.0564
2024-06-17,3,SCED,2.9729
2024-06-17,4,SCED,3.0939
2024-06-17,5,SCED,3.2992
2024-06-17,6,SCED,1.9012
2024-06-17,7,SCED,1.7954
2024-06-17,8,SCED,2.4467
2024-06-17,9,SCED,2.1408
2024-06-17,10,SCED,2.5298
2024-06-17,11,SCED,2.8786
2024-06-17,12,SCED,3.3679
2024-06-17,13,SCED,3.3202
2024-06-17,14,SCED,3.8131
2024-06-17,15,SCED,3.7293
2024-06-17,16,SCED,5.312
2024-06-17,17,SCED,2.9898
2024-06-17,18,SCED,2.8889
2024-06-17,19,SCED,4.3075
2024-06-17,20,SCED,4.1929
2024-06-17,21,SCED,4.4368
2024-06-17,22,SCED,2.4835
2024-06-17,23,SCED,3.8264
