Date,Hour,Line,Flow
2025-11-05,0,L1125_2389,-725.9743
2025-11-05,0,L3595_3616,-704.179
2025-11-05,0,L4611_4660,-468.4058
2025-11-05,0,L2384_4611,-367.2134
2025-11-05,0,L4612_4630,114.2054
2025-11-05,0,L1076_4612,178.7973
2025-11-05,0,L2193_2384,-321.1671
2025-11-05,0,L89_1584,0.0
2025-11-05,0,L1575_4614,417.6092
2025-11-05,0,L1575_1584,-202.365
2025-11-05,0,L2820_3156,109.7457
2025-11-05,0,L569_2384,-83.0033
2025-11-05,0,L2384_4615,-284.124
2025-11-05,0,L597_1156,31.1025
2025-11-05,0,L136_4615,284.124
2025-11-05,0,L1550_1552,-106.92
2025-11-05,0,L1552_3702,-106.92
2025-11-05,0,L4616_4617,106.92
2025-11-05,0,L1550_4616,106.92
2025-11-05,0,L4617_4620,106.92
2025-11-05,0,L1548_4620,-106.92
2025-11-05,0,L136_1548,-148.944
2025-11-05,0,L136_591,-135.18
2025-11-05,0,L1125_4287,674.4631
2025-11-05,0,L51_2389,135.0
2025-11-05,0,L3050_3668,0.0
2025-11-05,0,L46_3156,0.0
2025-11-05,0,L3050_4625,-0.0
2025-11-05,0,L1550_4625,0.0
2025-11-05,0,L2389_3157,-36.485
2025-11-05,0,L1575_1583,-262.7684
2025-11-05,0,L2394_3613,-410.9329
2025-11-05,0,L2398_4630,-114.2054
2025-11-05,0,L1152_2398,-114.5715
2025-11-05,0,L1152_3822,114.5715
2025-11-05,0,L3822_4631,370.6239
2025-11-05,0,L1095_4631,47.8716
2025-11-05,0,L3613_4631,-418.4955
2025-11-05,0,L2398_3038,271.5446
2025-11-05,0,L2398_3599,445.339
2025-11-05,0,L2391_2398,729.1709
2025-11-05,0,L3038_4632,306.9142
2025-11-05,0,L2395_3597,-481.3646
2025-11-05,0,L3597_4632,-240.2454
2025-11-05,0,L1095_2393,29.8362
2025-11-05,0,L611_2391,611.5914
2025-11-05,0,L611_2388,-611.5914
2025-11-05,0,L2388_4636,-490.23
2025-11-05,0,L504_2388,121.3614
2025-11-05,0,L2386_3605,-168.5094
2025-11-05,0,L4634_4635,-308.88
2025-11-05,0,L608_4634,90.9
2025-11-05,0,L4634_4637,399.78
2025-11-05,0,L2387_4635,308.88
2025-11-05,0,L4636_4637,-490.23
2025-11-05,0,L3666_4637,90.45
2025-11-05,0,L2385_4638,-91.9342
2025-11-05,0,L2385_3582,151.6572
2025-11-05,0,L2383_3582,-133.464
2025-11-05,0,L3606_4638,240.8613
2025-11-05,0,L607_608,90.9
2025-11-05,0,L200_3605,102.6
2025-11-05,0,L3452_3605,65.9094
2025-11-05,0,L600_3452,65.9094
2025-11-05,0,L2391_3667,-101.745
2025-11-05,0,L44_3613,0.0
2025-11-05,0,L1087_3613,26.5565
2025-11-05,0,L3606_4660,319.4787
2025-11-05,0,L3606_3608,-560.34
2025-11-05,0,L3583_3608,0.0
2025-11-05,0,L2385_3607,-122.67
2025-11-05,0,L3598_3599,0.0
2025-11-05,0,L3599_3616,445.339
