Date,Hour,Line,Flow
2025-11-05,0,L2444_2445_345,0.0
2025-11-05,0,L129_2237_345,-290.1381
2025-11-05,0,L538_3158_345,968.1243
2025-11-05,0,L1919_3584_345,213.161
2025-11-05,0,L1934_2121_345,-52.0784
2025-11-05,0,L375_1857_345,-913.9834
2025-11-05,0,L3544_3659_345,-15.1852
2025-11-05,0,L1642_3626_345,481.9117
2025-11-05,0,L1679_1822_345,83.1309
2025-11-05,0,L0_3641_345,171.6804
2025-11-05,0,L2997_3431_345,284.9934
2025-11-05,0,L1646_3627_345,207.6716
2025-11-05,0,L816_834_345,0.0
2025-11-05,0,L3224_3669_345,20.0856
2025-11-05,0,L929_3745_345,-164.2653
2025-11-05,0,L1615_2900_345,-744.8398
2025-11-05,0,L1573_1822_345,-205.2059
2025-11-05,0,L797_1651_345,427.9071
2025-11-05,0,L3029_3648_345,705.1238
2025-11-05,0,L2052_3631_345,318.997
2025-11-05,0,L1714_1836_345,188.8997
2025-11-05,0,L1538_3235_345,939.4025
2025-11-05,0,L1639_3633_345,42.5845
2025-11-05,0,L580_3238_345,-29.333
2025-11-05,0,L1588_1984_345,71.6606
2025-11-05,0,L2317_2727_345,-233.6502
2025-11-05,0,L2341_2360_345,-452.2622
2025-11-05,0,L1765_1766_345,459.349
2025-11-05,0,L2221_2653_345,168.6485
2025-11-05,0,L794_1601_345,-116.6763
2025-11-05,0,L210_814_345,23.6381
2025-11-05,0,L2341_3539_345,452.2622
2025-11-05,0,L2417_2418_345,0.0
2025-11-05,0,L1504_3245_345,-62.3165
2025-11-05,0,L1903_3123_345,495.9693
2025-11-05,0,L1351_1504_345,57.3155
2025-11-05,0,L1624_3430_345,150.12
2025-11-05,0,L2566_2984_345,80.4352
2025-11-05,0,L1613_2741_345,195.3829
2025-11-05,0,L1624_1627_345,-56.07
2025-11-05,0,L1856_2265_345,512.5691
2025-11-05,0,L1577_3669_345,-187.4566
2025-11-05,0,L1516_2372_345,-147.554
2025-11-05,0,L1653_3023_345,-700.593
2025-11-05,0,L3651_3664_345,424.0165
2025-11-05,0,L2445_2446_345,-269.8095
2025-11-05,0,L525_829_345,0.0
2025-11-05,0,L1830_1856_345,-85.4709
2025-11-05,0,L797_2311_345,-482.6145
2025-11-05,0,L1663_1665_345,277.7842
2025-11-05,0,L794_2412_345,-89.775
2025-11-05,0,L3004_3051_345,508.6031
2025-11-05,0,L3541_3816_345,-68.9992
2025-11-05,0,L3001_3650_345,747.7059
2025-11-05,0,L842_2963_345,-305.1637
2025-11-05,0,L2420_2421_345,112.5
2025-11-05,0,L1785_3084_345,70.6718
2025-11-05,0,L1606_3000_345,228.9049
2025-11-05,0,L3535_3610_345,4.4448
2025-11-05,0,L1519_1524_345,-140.4579
2025-11-05,0,L1657_1658_345,0.0
2025-11-05,0,L2454_2455_345,0.0
2025-11-05,0,L62_1804_345,-68.9376
2025-11-05,0,L1599_1622_345,184.1215
2025-11-05,0,L1913_3049_345,739.2224
2025-11-05,0,L2060_2061_345,-749.3892
2025-11-05,0,L3797_3798_345,60.7688
2025-11-05,0,L2098_3651_345,583.6039
2025-11-05,0,L1761_3396_345,-53.8824
2025-11-05,0,L2386_2605_345,-91.845
2025-11-05,0,L523_815_345,0.0
2025-11-05,0,L1006_2512_345,-371.686
2025-11-05,0,L1623_1629_345,31.7515
2025-11-05,0,L3595_3642_345,461.245
2025-11-05,0,L1644_1710_345,684.785
