Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,323114.85,557800.2989,360.4365,0,7001.6841,0.0,18370.3679,20124.675,1754.3071,50893.9997,17.3088,252,0.0,17941.4159
2025-11-05,1,311668.41,569087.0152,360.2576,0,5755.9333,0.0,18363.2006,20124.675,1761.4744,50893.9997,17.3057,4,0.0,1917.7786
2025-11-05,2,302687.73,578217.108,362.0981,0,4838.3712,0.0,18372.5532,20124.675,1752.1218,50893.9997,17.3086,2,0.0,1717.9588
2025-11-05,3,299483.97,581420.868,362.0981,0,4456.9712,0.0,18372.5532,20124.675,1752.1218,50893.9997,17.3086,2,0.0,1146.08
2025-11-05,4,307187.61,573717.228,362.0981,0,4732.1012,0.0,18372.5532,20124.675,1752.1218,50893.9997,17.3086,3,275.13,353.7728
2025-11-05,5,316992.93,563160.0706,362.2743,0,5723.727,0.0,18372.6571,20124.675,1752.0179,50893.9997,17.2938,5,350.19,1655.8888
2025-11-05,6,318632.61,561520.4413,362.2743,0,6599.3954,0.0,18372.6555,20124.675,1752.0195,50893.9997,17.2938,1,58.56,1217.6313
2025-11-05,7,318632.61,561520.4413,362.2743,0,6736.0354,0.0,18372.6555,20124.675,1752.0195,50893.9997,17.2938,0,0.0,383.0488
2025-11-05,8,316335.21,564154.2884,362.1954,0,6325.9244,0.0,18372.609,20124.675,1752.066,50893.9997,17.3005,3,58.65,1505.1744
2025-11-05,9,315099.57,565389.8778,362.1954,0,6286.276,0.0,18372.6106,20124.675,1752.0644,50893.9997,17.3005,2,12.6,924.9528
2025-11-05,10,320085.57,560257.7638,360.3538,0,6380.411,0.0,18363.1339,20124.675,1761.5411,50893.9997,17.2976,2,261.6,1713.5935
2025-11-05,11,316740.69,563602.6438,360.3538,0,6374.611,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,2,0.0,1321.2781
2025-11-05,12,316740.69,563602.6438,360.3538,0,6374.611,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,0,0.0,0.0
2025-11-05,13,313792.29,566551.0438,360.3538,0,6023.611,0.0,18363.1339,20124.675,1761.5411,50893.9997,17.2976,1,0.0,1615.0209
2025-11-05,14,314660.85,565682.4838,360.3538,0,5729.831,0.0,18363.1339,20124.675,1761.5411,50893.9997,17.2976,5,170.22,1348.4813
2025-11-05,15,316292.13,564051.2038,360.3538,0,6055.071,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,3,114.06,1596.9498
2025-11-05,16,316022.49,564320.8438,360.3538,0,6024.371,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,4,113.46,1099.7321
2025-11-05,17,315510.09,564833.2438,360.3538,0,6025.111,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,2,87.0,2127.4178
2025-11-05,18,318458.49,561884.8438,360.3538,0,6333.411,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,1,105.3,454.6009
2025-11-05,19,314672.89,565670.4438,360.3538,0,6083.911,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,2,64.8,1107.5234
2025-11-05,20,318049.69,563405.4588,360.3289,0,6317.124,0.0,18339.5324,20124.675,1785.1426,50893.9997,17.3194,2,120.6,1265.5423
2025-11-05,21,314924.89,565418.4438,360.3538,0,6265.111,0.0,18378.0989,20124.675,1746.5761,50893.9997,17.2976,2,0.0,82.1899
2025-11-05,22,310825.69,569517.6438,360.3538,0,5777.111,0.0,18363.1339,20124.675,1761.5411,50893.9997,17.2976,3,0.0,1616.8276
2025-11-05,23,308751.73,569069.4472,361.8585,0,4200.6429,0.0,18334.9395,20124.675,1789.7355,50893.9997,17.248,19,601.95,1994.4627
