Date,Hour,Type,Solve Time
2025-11-05,0,SCED,1.7148
2025-11-05,1,SCED,1.5557
2025-11-05,2,SCED,1.5783
2025-11-05,3,SCED,1.5642
2025-11-05,4,SCED,1.5793
2025-11-05,5,SCED,1.5538
2025-11-05,6,SCED,1.5786
2025-11-05,7,SCED,1.578
2025-11-05,8,SCED,1.4929
2025-11-05,9,SCED,1.5372
2025-11-05,10,SCED,2.304
2025-11-05,11,SCED,1.6055
2025-11-05,12,SCED,1.6065
2025-11-05,13,SCED,1.6172
2025-11-05,14,SCED,1.6119
2025-11-05,15,SCED,1.6104
2025-11-05,16,SCED,1.6335
2025-11-05,17,SCED,1.6196
2025-11-05,18,SCED,1.6092
2025-11-05,19,SCED,1.6462
2025-11-05,20,SCED,1.6363
2025-11-05,21,SCED,1.6332
2025-11-05,22,SCED,1.6111
2025-11-05,23,SCED,1.5978
