Date,Hour,Line,Flow
2025-11-05,0,L1125_2389,-688.3037
2025-11-05,0,L3595_3616,-625.1113
2025-11-05,0,L4611_4660,-492.0048
2025-11-05,0,L2384_4611,-392.2374
2025-11-05,0,L4612_4630,94.4803
2025-11-05,0,L1076_4612,148.4607
2025-11-05,0,L2193_2384,-260.6242
2025-11-05,0,L89_1584,0.0
2025-11-05,0,L1575_4614,391.4054
2025-11-05,0,L1575_1584,-202.365
2025-11-05,0,L2820_3156,83.6967
2025-11-05,0,L569_2384,-77.4417
2025-11-05,0,L2384_4615,-301.956
2025-11-05,0,L597_1156,32.883
2025-11-05,0,L136_4615,301.956
2025-11-05,0,L1550_1552,-106.92
2025-11-05,0,L1552_3702,-106.92
2025-11-05,0,L4616_4617,106.92
2025-11-05,0,L1550_4616,106.92
2025-11-05,0,L4617_4620,106.92
2025-11-05,0,L1548_4620,-106.92
2025-11-05,0,L136_1548,-166.776
2025-11-05,0,L136_591,-135.18
2025-11-05,0,L1125_4287,636.0345
2025-11-05,0,L51_2389,135.0
2025-11-05,0,L3050_3668,0.0
2025-11-05,0,L46_3156,0.0
2025-11-05,0,L3050_4625,-0.0
2025-11-05,0,L1550_4625,0.0
2025-11-05,0,L2389_3157,-36.485
2025-11-05,0,L1575_1583,-236.2738
2025-11-05,0,L2394_3613,-276.8332
2025-11-05,0,L2398_4630,-94.4803
2025-11-05,0,L1152_2398,-72.8609
2025-11-05,0,L1152_3822,72.8609
2025-11-05,0,L3822_4631,222.7728
2025-11-05,0,L1095_4631,62.2448
2025-11-05,0,L3613_4631,-285.0175
2025-11-05,0,L2398_3038,179.0811
2025-11-05,0,L2398_3599,366.2713
2025-11-05,0,L2391_2398,672.5591
2025-11-05,0,L3038_4632,202.4988
2025-11-05,0,L2395_3597,-385.7572
2025-11-05,0,L3597_4632,-150.9959
2025-11-05,0,L1095_2393,11.0185
2025-11-05,0,L611_2391,576.6602
2025-11-05,0,L611_2388,-576.6602
2025-11-05,0,L2388_4636,-490.23
2025-11-05,0,L504_2388,86.4302
2025-11-05,0,L2386_3605,-137.5343
2025-11-05,0,L4634_4635,-308.88
2025-11-05,0,L608_4634,90.9
2025-11-05,0,L4634_4637,399.78
2025-11-05,0,L2387_4635,308.88
2025-11-05,0,L4636_4637,-490.23
2025-11-05,0,L3666_4637,90.45
2025-11-05,0,L2385_4638,-68.3352
2025-11-05,0,L2385_3582,160.0082
2025-11-05,0,L2383_3582,-140.8132
2025-11-05,0,L3606_4638,236.6521
2025-11-05,0,L607_608,90.9
2025-11-05,0,L200_3605,102.6
2025-11-05,0,L3452_3605,34.9343
2025-11-05,0,L600_3452,34.9343
2025-11-05,0,L2391_3667,-101.745
2025-11-05,0,L44_3613,0.0
2025-11-05,0,L1087_3613,19.577
2025-11-05,0,L3606_4660,323.6879
2025-11-05,0,L3606_3608,-560.34
2025-11-05,0,L3583_3608,0.0
2025-11-05,0,L2385_3607,-122.67
2025-11-05,0,L3598_3599,0.0
2025-11-05,0,L3599_3616,366.2713
2025-11-05,0,L3616_3617,0.0
2025-11-05,0,L3596_3597,99.0
2025-11-05,0,L3458_3597,0.0
2025-11-05,0,L3597_3613,-27.7613
2025-11-05,0,L967_3764,-176.128
2025-11-05,0,L967_1780,176.128
2025-11-05,0,L964_3764,130.2647
2025-11-05,0,L964_1783,-123.9647
2025-11-05,0,L3764_3765,-12.925
2025-11-05,0,L1783_3764,133.035
2025-11-05,0,L69_873,-118.8337
2025-11-05,0,L966_1783,120.304
2025-11-05,0,L3631_4665,-0.0
2025-11-05,0,L3630_4665,0.0
2025-11-05,0,L966_4665,-0.0
2025-11-05,0,L1777_1783,136.6958
2025-11-05,0,L1777_3470,58.8137
2025-11-05,0,L2589_4667,-378.9322
2025-11-05,0,L4667_4730,-627.5068
2025-11-05,0,L84_2588,-164.9797
2025-11-05,0,L2659_2670,-65.8399
2025-11-05,0,L2670_4673,-61.9498
2025-11-05,0,L2424_4673,69.0611
2025-11-05,0,L2734_3055,-140.7536
2025-11-05,0,L1803_4696,751.0121
2025-11-05,0,L4696_4700,751.0121
2025-11-05,0,L2155_4700,-751.0121
2025-11-05,0,L1803_3051,468.7555
2025-11-05,0,L88_2689,220.7941
2025-11-05,0,L2154_2417,-555.0279
2025-11-05,0,L2154_2689,399.2571
2025-11-05,0,L2589_4711,383.5278
2025-11-05,0,L2417_4710,-1066.5662
2025-11-05,0,L2406_4710,1066.5662
2025-11-05,0,L2734_4711,-231.279
2025-11-05,0,L2406_3825,39.6361
2025-11-05,0,L2417_2716,-339.5608
2025-11-05,0,L2586_4714,638.7972
2025-11-05,0,L2420_4714,-642.6073
2025-11-05,0,L2583_4715,169.8161
2025-11-05,0,L76_4715,-168.607
2025-11-05,0,L2582_2592,-342.5612
2025-11-05,0,L2583_2586,-171.0252
2025-11-05,0,L3019_4716,264.3752
2025-11-05,0,L2419_3019,121.9774
2025-11-05,0,L2806_4716,-264.3752
2025-11-05,0,L2581_4717,263.4585
2025-11-05,0,L2806_4717,-263.4585
2025-11-05,0,L1651_2806,-384.7563
2025-11-05,0,L36_1651,-255.4519
2025-11-05,0,L36_5024,452.6501
2025-11-05,0,L2559_4720,-91.0191
2025-11-05,0,L2600_4720,91.0191
2025-11-05,0,L2419_2559,264.908
2025-11-05,0,L2431_2806,-206.0833
2025-11-05,0,L2418_2581,122.2021
2025-11-05,0,L2581_4725,-241.5427
2025-11-05,0,L2421_4725,241.5427
2025-11-05,0,L2418_2419,-122.2021
2025-11-05,0,L2659_2806,55.2757
2025-11-05,0,L84_2587,81.1973
2025-11-05,0,L2582_2586,342.5612
2025-11-05,0,L2419_4728,-622.4193
2025-11-05,0,L2417_4728,622.4193
2025-11-05,0,L1803_2401,-1120.4365
2025-11-05,0,L4730_4746,-314.1409
2025-11-05,0,L2420_4746,628.7159
2025-11-05,0,L472_2401,320.2076
2025-11-05,0,L472_2399,-320.2076
2025-11-05,0,L1928_2880,758.6733
2025-11-05,0,L2586_2880,-675.8811
2025-11-05,0,L1003_1481,-758.6733
2025-11-05,0,L1003_1924,758.6733
2025-11-05,0,L1927_1928,758.6733
2025-11-05,0,L795_3466,-384.8837
2025-11-05,0,L795_4759,611.0773
2025-11-05,0,L1481_4759,-611.0773
2025-11-05,0,L1924_1927,758.6733
2025-11-05,0,L786_1481,57.821
2025-11-05,0,L786_2483,-57.821
2025-11-05,0,L739_3447,-69.9896
2025-11-05,0,L1780_2953,267.8751
2025-11-05,0,L2952_2953,-267.8751
2025-11-05,0,L1448_2952,-375.9371
2025-11-05,0,L2600_2689,-193.3875
2025-11-05,0,L1481_3651,-89.775
2025-11-05,0,L2401_3595,-627.7813
2025-11-05,0,L3593_3595,0.0
2025-11-05,0,L3594_3595,0.0
2025-11-05,0,L3470_3589,0.0
2025-11-05,0,L3469_3470,-58.8137
2025-11-05,0,L3468_3469,-0.0
2025-11-05,0,L3104_3469,-58.8137
2025-11-05,0,L3391_3466,225.27
2025-11-05,0,L3104_3466,159.6137
2025-11-05,0,L3103_3104,100.8
2025-11-05,0,L3055_4777,-156.2546
2025-11-05,0,L2699_4777,156.2546
2025-11-05,0,L2070_2851,233.9233
2025-11-05,0,L1274_2640,-821.8539
2025-11-05,0,L2455_2708,-86.5876
2025-11-05,0,L2836_4597,59.0142
2025-11-05,0,L2615_2948,1441.7054
2025-11-05,0,L2615_2836,-1396.7208
2025-11-05,0,L2836_4276,-313.7427
2025-11-05,0,L2717_2789,-1264.4845
2025-11-05,0,L2789_4800,788.2941
2025-11-05,0,L262_4800,-1035.9741
2025-11-05,0,L3196_4800,247.68
2025-11-05,0,L2716_2717,-1342.8046
2025-11-05,0,L2408_2789,-676.2709
2025-11-05,0,L4019_4440,74.8786
