Date,Hour,Line,Flow
2025-11-05,0,L1125_2389,-671.8761
2025-11-05,0,L3595_3616,-865.6779
2025-11-05,0,L4611_4660,-247.4481
2025-11-05,0,L2384_4611,-152.656
2025-11-05,0,L4612_4630,136.1985
2025-11-05,0,L1076_4612,284.8117
2025-11-05,0,L2193_2384,-561.1377
2025-11-05,0,L89_1584,0.0
2025-11-05,0,L1575_4614,445.3183
2025-11-05,0,L1575_1584,-202.365
2025-11-05,0,L2820_3156,180.0319
2025-11-05,0,L569_2384,-57.1238
2025-11-05,0,L2384_4615,-156.4735
2025-11-05,0,L597_1156,41.0942
2025-11-05,0,L136_4615,156.4735
2025-11-05,0,L1550_1552,-106.92
2025-11-05,0,L1552_3702,-106.92
2025-11-05,0,L4616_4617,106.92
2025-11-05,0,L1550_4616,106.92
2025-11-05,0,L4617_4620,106.92
2025-11-05,0,L1548_4620,-106.92
2025-11-05,0,L136_1548,-21.2935
2025-11-05,0,L136_591,-135.18
2025-11-05,0,L1125_4287,530.3067
2025-11-05,0,L51_2389,135.0
2025-11-05,0,L3050_3668,0.0
2025-11-05,0,L46_3156,0.0
2025-11-05,0,L3050_4625,0.0
2025-11-05,0,L1550_4625,0.0
2025-11-05,0,L2389_3157,-36.485
2025-11-05,0,L1575_1583,-309.0437
2025-11-05,0,L2394_3613,-323.6215
2025-11-05,0,L2398_4630,-136.1985
2025-11-05,0,L1152_2398,-166.5523
2025-11-05,0,L1152_3822,166.5523
2025-11-05,0,L3822_4631,544.3607
2025-11-05,0,L1095_4631,-132.5697
2025-11-05,0,L3613_4631,-411.791
2025-11-05,0,L2398_3038,355.3912
2025-11-05,0,L2398_3599,606.8379
2025-11-05,0,L2391_2398,791.6778
2025-11-05,0,L3038_4632,401.1179
2025-11-05,0,L2395_3597,-576.5977
2025-11-05,0,L3597_4632,-304.3006
2025-11-05,0,L1095_2393,183.5229
2025-11-05,0,L611_2391,706.3505
2025-11-05,0,L611_2388,-706.3505
2025-11-05,0,L2388_4636,-490.23
2025-11-05,0,L504_2388,216.1205
2025-11-05,0,L2386_3605,-289.0743
2025-11-05,0,L4634_4635,-308.88
2025-11-05,0,L608_4634,90.9
2025-11-05,0,L4634_4637,399.78
2025-11-05,0,L2387_4635,308.88
2025-11-05,0,L4636_4637,-490.23
2025-11-05,0,L3666_4637,90.45
2025-11-05,0,L2385_4638,-312.8919
2025-11-05,0,L2385_3582,163.0573
2025-11-05,0,L2383_3582,-143.4965
2025-11-05,0,L3606_4638,280.2719
2025-11-05,0,L607_608,90.9
2025-11-05,0,L200_3605,102.6
2025-11-05,0,L3452_3605,186.4743
2025-11-05,0,L600_3452,186.4743
2025-11-05,0,L2391_3667,-101.745
2025-11-05,0,L44_3613,0.0
2025-11-05,0,L1087_3613,-22.8723
2025-11-05,0,L3606_4660,280.0681
2025-11-05,0,L3606_3608,-560.34
2025-11-05,0,L3583_3608,0.0
2025-11-05,0,L2385_3607,-122.67
2025-11-05,0,L3598_3599,0.0
2025-11-05,0,L3599_3616,606.8379
2025-11-05,0,L3616_3617,0.0
2025-11-05,0,L3596_3597,99.0
2025-11-05,0,L3458_3597,0.0
2025-11-05,0,L3597_3613,-65.2971
2025-11-05,0,L967_3764,-332.9508
2025-11-05,0,L967_1780,332.9508
2025-11-05,0,L964_3764,407.8998
2025-11-05,0,L964_1783,-401.5998
2025-11-05,0,L3764_3765,-12.925
2025-11-05,0,L1783_3764,422.6448
2025-11-05,0,L69_873,-196.1484
2025-11-05,0,L966_1783,116.7942
2025-11-05,0,L3631_4665,0.0
2025-11-05,0,L3630_4665,0.0
2025-11-05,0,L966_4665,0.0
2025-11-05,0,L1777_1783,707.4504
2025-11-05,0,L1777_3470,-733.6163
2025-11-05,0,L2589_4667,745.1732
2025-11-05,0,L4667_4730,1147.2735
2025-11-05,0,L84_2588,302.4304
2025-11-05,0,L2659_2670,121.7607
2025-11-05,0,L2670_4673,106.436
2025-11-05,0,L2424_4673,-253.2713
2025-11-05,0,L2734_3055,-505.4078
2025-11-05,0,L1803_4696,574.7825
2025-11-05,0,L4696_4700,574.7825
2025-11-05,0,L2155_4700,-574.7825
2025-11-05,0,L1803_3051,233.5293
2025-11-05,0,L88_2689,160.0725
2025-11-05,0,L2154_2417,-507.1716
2025-11-05,0,L2154_2689,363.6789
2025-11-05,0,L2589_4711,-894.0259
2025-11-05,0,L2417_4710,-912.5215
2025-11-05,0,L2406_4710,912.5215
2025-11-05,0,L2734_4711,460.7132
2025-11-05,0,L2406_3825,-102.012
2025-11-05,0,L2417_2716,-465.7259
2025-11-05,0,L2586_4714,-939.8505
2025-11-05,0,L2420_4714,1103.4085
2025-11-05,0,L2583_4715,-247.9556
2025-11-05,0,L76_4715,261.5743
2025-11-05,0,L2582_2592,557.6078
2025-11-05,0,L2583_2586,234.3369
2025-11-05,0,L3019_4716,1017.6286
2025-11-05,0,L2419_3019,519.5539
2025-11-05,0,L2806_4716,-1017.6286
2025-11-05,0,L2581_4717,1014.7682
2025-11-05,0,L2806_4717,-1014.7682
2025-11-05,0,L1651_2806,-930.9402
2025-11-05,0,L36_1651,-1053.5609
2025-11-05,0,L36_5024,1199.3747
2025-11-05,0,L2559_4720,-180.332
2025-11-05,0,L2600_4720,180.332
2025-11-05,0,L2419_2559,301.086
2025-11-05,0,L2431_2806,-774.6255
2025-11-05,0,L2418_2581,590.1922
2025-11-05,0,L2581_4725,-860.6836
2025-11-05,0,L2421_4725,860.6836
2025-11-05,0,L2418_2419,541.8078
2025-11-05,0,L2659_2806,-134.144
2025-11-05,0,L84_2587,-212.4152
2025-11-05,0,L2582_2586,-557.6078
2025-11-05,0,L2419_4728,-542.9449
2025-11-05,0,L2417_4728,542.9449
2025-11-05,0,L1803_2401,-1260.054
2025-11-05,0,L4730_4746,569.2718
2025-11-05,0,L2420_4746,-1133.6548
2025-11-05,0,L472_2401,393.9364
2025-11-05,0,L472_2399,-393.9364
2025-11-05,0,L1928_2880,-626.7537
2025-11-05,0,L2586_2880,566.5479
2025-11-05,0,L1003_1481,626.7537
2025-11-05,0,L1003_1924,-626.7537
2025-11-05,0,L1927_1928,-626.7537
2025-11-05,0,L795_3466,407.5463
2025-11-05,0,L795_4759,-313.5818
2025-11-05,0,L1481_4759,313.5818
2025-11-05,0,L1924_1927,-626.7537
2025-11-05,0,L786_1481,-402.9469
2025-11-05,0,L786_2483,402.9469
2025-11-05,0,L739_3447,108.0554
2025-11-05,0,L1780_2953,394.2975
2025-11-05,0,L2952_2953,-394.2975
2025-11-05,0,L1448_2952,-501.3112
2025-11-05,0,L2600_2689,-301.1797
2025-11-05,0,L1481_3651,-89.775
2025-11-05,0,L2401_3595,-868.3479
2025-11-05,0,L3593_3595,0.0
2025-11-05,0,L3594_3595,-0.0
2025-11-05,0,L3470_3589,0.0
2025-11-05,0,L3469_3470,733.6163
2025-11-05,0,L3468_3469,0.0
2025-11-05,0,L3104_3469,733.6163
2025-11-05,0,L3391_3466,225.27
2025-11-05,0,L3104_3466,-632.8163
2025-11-05,0,L3103_3104,100.8
2025-11-05,0,L3055_4777,-229.4508
2025-11-05,0,L2699_4777,229.4508
2025-11-05,0,L2070_2851,-170.2657
2025-11-05,0,L1274_2640,-860.264
2025-11-05,0,L2455_2708,731.4184
2025-11-05,0,L2836_4597,-22.1943
2025-11-05,0,L2615_2948,897.379
2025-11-05,0,L2615_2836,-929.0528
2025-11-05,0,L2836_4276,-425.5674
2025-11-05,0,L2717_2789,-1236.5758
2025-11-05,0,L2789_4800,791.3312
2025-11-05,0,L262_4800,-1039.0112
2025-11-05,0,L3196_4800,247.68
2025-11-05,0,L2716_2717,-1232.9086
2025-11-05,0,L2408_2789,-688.4743
2025-11-05,0,L4019_4440,978.9099
2025-11-05,0,L4019_4592,-978.9099
2025-11-05,0,L2704_4440,-711.9295
2025-11-05,0,L2289_2704,-24.9466
2025-11-05,0,L2413_2414,-454.6598
2025-11-05,0,L180_2407,500.4112
2025-11-05,0,L176_2906,-43.0718
2025-11-05,0,L2757_2907,209.8141
2025-11-05,0,L421_2716,-418.5274
2025-11-05,0,L2875_2876,-2101.6288
2025-11-05,0,L2562_2875,-1021.0326
2025-11-05,0,L2598_2876,2101.6288
2025-11-05,0,L2562_2747,192.0153
2025-11-05,0,L2746_4831,734.7537
2025-11-05,0,L2745_4831,-734.7537
2025-11-05,0,L4832_4875,510.054
2025-11-05,0,L4832_4876,345.5808
2025-11-05,0,L962_4832,855.6348
2025-11-05,0,L962_4833,-2491.9455
2025-11-05,0,L2638_4833,1526.8139
2025-11-05,0,L2636_4833,965.1316
2025-11-05,0,L2449_2745,-778.781
2025-11-05,0,L2737_2743,-492.7352
2025-11-05,0,L2743_3819,749.0063
2025-11-05,0,L645_2742,-108.0735
2025-11-05,0,L2720_2836,-1999.7343
2025-11-05,0,L421_3195,418.5274
2025-11-05,0,L2415_3195,-281.3884
2025-11-05,0,L2415_3533,794.9521
2025-11-05,0,L3532_3533,-794.9521
2025-11-05,0,L3530_3532,-808.9571
2025-11-05,0,L2836_3530,-849.5221
2025-11-05,0,L2716_2742,833.0784
2025-11-05,0,L2449_4845,-718.1748
2025-11-05,0,L648_4845,718.1748
2025-11-05,0,L648_2443,-742.8171
2025-11-05,0,L2607_3811,1304.248
2025-11-05,0,L214_3811,-1304.248
2025-11-05,0,L2607_2704,-1194.3205
2025-11-05,0,L2070_2704,308.2097
2025-11-05,0,L2647_2649,-575.2152
2025-11-05,0,L152_2647,-540.3667
2025-11-05,0,L2649_2720,-532.9796
2025-11-05,0,L179_2598,872.4674
2025-11-05,0,L2635_4852,-1259.6589
2025-11-05,0,L152_4852,1259.6589
2025-11-05,0,L2636_3049,-965.1316
2025-11-05,0,L2617_2618,181.1832
2025-11-05,0,L2618_5013,366.4401
2025-11-05,0,L2645_5013,-366.4401
2025-11-05,0,L2598_2722,-736.657
2025-11-05,0,L2430_3424,-725.0049
2025-11-05,0,L2742_3424,725.0049
2025-11-05,0,L2430_2431,695.1965
2025-11-05,0,L2727_2737,-210.3283
2025-11-05,0,L2440_2640,448.3397
2025-11-05,0,L152_2289,358.0333
2025-11-05,0,L2455_4875,-260.5699
2025-11-05,0,L4875_4876,249.4841
2025-11-05,0,L2562_4876,-595.0649
2025-11-05,0,L2637_3049,965.1316
2025-11-05,0,L2562_2719,1255.9732
2025-11-05,0,L4877_5308,937.8059
2025-11-05,0,L2454_4877,1735.962
2025-11-05,0,L3587_4877,-798.1561
2025-11-05,0,L2454_4878,-923.6511
2025-11-05,0,L2453_4878,923.6511
2025-11-05,0,L2453_2454,924.129
2025-11-05,0,L1492_2445,-1227.6857
2025-11-05,0,L2445_2446,-1241.3044
2025-11-05,0,L1492_2453,689.2686
2025-11-05,0,L1284_4880,-852.5701
2025-11-05,0,L2426_4880,852.5701
2025-11-05,0,L3905_4881,-14.5154
2025-11-05,0,L2453_4882,-1529.1127
2025-11-05,0,L1284_4882,1529.1127
2025-11-05,0,L1279_2446,1182.3536
2025-11-05,0,L1279_2640,-1130.9432
2025-11-05,0,L2443_5022,-672.9771
2025-11-05,0,L2441_2640,1358.0063
2025-11-05,0,L2441_3819,-749.0063
2025-11-05,0,L2431_2440,598.1351
2025-11-05,0,L2436_2440,34.5474
2025-11-05,0,L645_2743,-448.2586
2025-11-05,0,L645_2737,439.9003
2025-11-05,0,L2427_4883,383.4324
2025-11-05,0,L2426_4883,-848.5688
2025-11-05,0,L2428_4884,-494.6334
2025-11-05,0,L4884_4885,-494.6334
2025-11-05,0,L2427_4885,494.6334
2025-11-05,0,L2425_2427,1200.7156
2025-11-05,0,L2560_3043,991.0948
2025-11-05,0,L2560_4887,-1265.2124
2025-11-05,0,L1941_4887,1265.2124
2025-11-05,0,L2425_3043,-918.2376
2025-11-05,0,L2612_2836,-503.0962
2025-11-05,0,L2097_2413,227.8371
2025-11-05,0,L180_2413,-682.4969
2025-11-05,0,L246_2411,368.79
2025-11-05,0,L2395_2399,576.5977
2025-11-05,0,L2562_2708,-355.6054
2025-11-05,0,L245_246,-467.9106
2025-11-05,0,L35_36,0.0
2025-11-05,0,L2070_2273,-14.936
2025-11-05,0,L2785_3684,485.169
2025-11-05,0,L2785_3837,0.0
2025-11-05,0,L1492_4976,672.9771
2025-11-05,0,L3039_4976,-672.9771
