Date,Hour,Type,Solve Time
2025-11-05,0,SCED,1.7577
2025-11-05,1,SCED,4.2026
2025-11-05,2,SCED,1.5316
2025-11-05,3,SCED,1.5826
2025-11-05,4,SCED,1.4263
2025-11-05,5,SCED,1.6724
2025-11-05,6,SCED,1.5094
2025-11-05,7,SCED,1.4597
2025-11-05,8,SCED,1.5192
2025-11-05,9,SCED,1.3497
2025-11-05,10,SCED,1.534
2025-11-05,11,SCED,1.4646
2025-11-05,12,SCED,1.4202
2025-11-05,13,SCED,1.3609
2025-11-05,14,SCED,1.4044
2025-11-05,15,SCED,1.3927
2025-11-05,16,SCED,1.4065
2025-11-05,17,SCED,1.9341
2025-11-05,18,SCED,1.8616
2025-11-05,19,SCED,1.4537
2025-11-05,20,SCED,1.5076
2025-11-05,21,SCED,1.509
2025-11-05,22,SCED,1.4689
2025-11-05,23,SCED,4.1511
