Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,319094.27,550611.9756,1195.3075,0,5046.5582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,295,0.0,18458.6218
2025-11-05,1,315308.39,554397.8556,1195.3075,0,4470.6982,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,5,8.94,1490.5103
2025-11-05,2,314972.39,554733.8556,1195.3075,0,4471.1582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,0.0,1397.8542
2025-11-05,3,311776.19,557930.0556,1195.3075,0,4090.6582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,0.0,1614.4584
2025-11-05,4,314100.47,555605.7756,1195.3075,0,4169.1982,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,78.53999999999999,198.34
2025-11-05,5,313999.67,555706.5756,1195.3075,0,4097.0382,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,6,78.78,1417.284
2025-11-05,6,313624.19,556082.0556,1195.3075,0,4310.6582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,1,0.0,14.3079
2025-11-05,7,315602.39,554103.8556,1195.3075,0,4377.3082,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,3,66.65,66.65
2025-11-05,8,315226.91,554479.3356,1195.3075,0,4496.7582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,1,0.0,1543.4804
2025-11-05,9,320350.91,549355.3356,1195.3075,0,4611.7582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,5,195.0,1625.7495
2025-11-05,10,318679.31,551026.9356,1195.3075,0,4867.7582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,1,0.0,804.9957
2025-11-05,11,318326.51,551379.7356,1195.3075,0,4825.7582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,1,0.0,904.0527
2025-11-05,12,318326.51,551379.7356,1195.3075,0,4825.7582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,0,0.0,0.0
2025-11-05,13,321342.95,548603.4323,1195.2844,0,4910.7656,0.0,16803.7291,20124.675,3320.9459,50893.9946,17.0933,6,90.32,144.3393
2025-11-05,14,321888.11,547818.1356,1195.3075,0,5150.4582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,4,59.7,1458.2611
2025-11-05,15,315554.51,554151.7356,1195.3075,0,4535.7582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,3,0.0,1474.0089
2025-11-05,16,315907.31,553798.9356,1195.3075,0,4548.3582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,1,12.6,1598.9284
2025-11-05,17,312711.11,556995.1356,1195.3075,0,4197.2582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,0.0,1298.1279
2025-11-05,18,312375.11,557331.1356,1195.3075,0,4117.2582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,0.0,1787.154
2025-11-05,19,316272.71,553433.5356,1195.3075,0,4256.4582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,139.2,407.5
2025-11-05,20,316608.71,553097.5356,1195.3075,0,4589.2582,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,8.0,1177.2806
2025-11-05,21,320350.91,549355.3356,1195.3075,0,4726.9082,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,4,145.65,163.49
2025-11-05,22,320980.49,548725.7556,1195.3075,0,5081.7482,0.0,16809.0081,20124.675,3315.6669,50893.9946,17.0886,2,14.989999999999998,778.1615
2025-11-05,23,314047.97,555658.2756,1195.3075,0,4275.1382,0.0,16823.9731,20124.675,3300.7019,50893.9946,17.0886,7,17.88,1354.5895
