Date,Hour,Line,Flow
2025-11-05,0,L1125_2389,-703.1902
2025-11-05,0,L3595_3616,-719.0642
2025-11-05,0,L4611_4660,-495.8876
2025-11-05,0,L2384_4611,-396.2968
2025-11-05,0,L4612_4630,79.7471
2025-11-05,0,L1076_4612,149.6085
2025-11-05,0,L2193_2384,-255.3992
2025-11-05,0,L89_1584,0.0
2025-11-05,0,L1575_4614,399.4992
2025-11-05,0,L1575_1584,-202.365
2025-11-05,0,L2820_3156,91.5822
2025-11-05,0,L569_2384,-77.7746
2025-11-05,0,L2384_4615,-296.6218
2025-11-05,0,L597_1156,32.8717
2025-11-05,0,L136_4615,296.6218
2025-11-05,0,L1550_1552,-106.92
2025-11-05,0,L1552_3702,-106.92
2025-11-05,0,L4616_4617,106.92
2025-11-05,0,L1550_4616,106.92
2025-11-05,0,L4617_4620,106.92
2025-11-05,0,L1548_4620,-106.92
2025-11-05,0,L136_1548,-161.4418
2025-11-05,0,L136_591,-135.18
2025-11-05,0,L1125_4287,662.4848
2025-11-05,0,L51_2389,135.0
2025-11-05,0,L3050_3668,0.0
2025-11-05,0,L46_3156,0.0
2025-11-05,0,L3050_4625,-0.0
2025-11-05,0,L1550_4625,0.0
2025-11-05,0,L2389_3157,-36.485
2025-11-05,0,L1575_1583,-244.3124
2025-11-05,0,L2394_3613,-54.3151
2025-11-05,0,L2398_4630,-79.7471
2025-11-05,0,L1152_2398,-41.1194
2025-11-05,0,L1152_3822,41.1194
2025-11-05,0,L3822_4631,110.2439
2025-11-05,0,L1095_4631,84.3759
2025-11-05,0,L3613_4631,-194.6198
2025-11-05,0,L2398_3038,177.552
2025-11-05,0,L2398_3599,460.2242
2025-11-05,0,L2391_2398,667.9831
2025-11-05,0,L3038_4632,201.8273
2025-11-05,0,L2395_3597,-518.6658
2025-11-05,0,L3597_4632,-153.4782
2025-11-05,0,L1095_2393,-9.1324
2025-11-05,0,L611_2391,571.8471
2025-11-05,0,L611_2388,-571.8471
2025-11-05,0,L2388_4636,-490.23
2025-11-05,0,L504_2388,81.6171
2025-11-05,0,L2386_3605,-133.291
2025-11-05,0,L4634_4635,-308.88
2025-11-05,0,L608_4634,90.9
2025-11-05,0,L4634_4637,399.78
2025-11-05,0,L2387_4635,308.88
2025-11-05,0,L4636_4637,-490.23
2025-11-05,0,L3666_4637,90.45
2025-11-05,0,L2385_4638,-64.4524
2025-11-05,0,L2385_3582,160.612
2025-11-05,0,L2383_3582,-141.3446
2025-11-05,0,L3606_4638,235.9596
2025-11-05,0,L607_608,90.9
2025-11-05,0,L200_3605,102.6
2025-11-05,0,L3452_3605,30.691
2025-11-05,0,L600_3452,30.691
2025-11-05,0,L2391_3667,-101.745
2025-11-05,0,L44_3613,0.0
2025-11-05,0,L1087_3613,17.8829
2025-11-05,0,L3606_4660,324.3804
2025-11-05,0,L3606_3608,-560.34
2025-11-05,0,L3583_3608,0.0
2025-11-05,0,L2385_3607,-122.67
2025-11-05,0,L3598_3599,0.0
2025-11-05,0,L3599_3616,460.2242
2025-11-05,0,L3616_3617,0.0
2025-11-05,0,L3596_3597,99.0
2025-11-05,0,L3458_3597,0.0
2025-11-05,0,L3597_3613,-158.1875
2025-11-05,0,L967_3764,164.2013
2025-11-05,0,L967_1780,-164.2013
2025-11-05,0,L964_3764,-140.8358
2025-11-05,0,L964_1783,140.8358
2025-11-05,0,L3764_3765,0.0
2025-11-05,0,L1783_3764,-146.9102
2025-11-05,0,L69_873,-19.1382
2025-11-05,0,L966_1783,-36.9145
2025-11-05,0,L3631_4665,0.0
2025-11-05,0,L3630_4665,0.0
2025-11-05,0,L966_4665,-0.0
2025-11-05,0,L1777_1783,-250.8315
2025-11-05,0,L1777_3470,293.5978
2025-11-05,0,L2589_4667,-661.8195
2025-11-05,0,L4667_4730,-982.1599
2025-11-05,0,L84_2588,-116.5261
2025-11-05,0,L2659_2670,5.7065
2025-11-05,0,L2670_4673,-2.2728
2025-11-05,0,L2424_4673,50.2175
2025-11-05,0,L2734_3055,155.1471
2025-11-05,0,L1803_4696,367.748
2025-11-05,0,L4696_4700,367.748
2025-11-05,0,L2155_4700,-367.748
2025-11-05,0,L1803_3051,184.8642
2025-11-05,0,L88_2689,-73.7642
2025-11-05,0,L2154_2417,-797.3611
2025-11-05,0,L2154_2689,720.5823
2025-11-05,0,L2589_4711,705.6944
2025-11-05,0,L2417_4710,-710.2461
2025-11-05,0,L2406_4710,710.2461
2025-11-05,0,L2734_4711,-385.5588
2025-11-05,0,L2406_3825,17.8679
2025-11-05,0,L2417_2716,-653.4494
2025-11-05,0,L2586_4714,976.4557
2025-11-05,0,L2420_4714,-1005.0224
2025-11-05,0,L2583_4715,121.3625
2025-11-05,0,L76_4715,-120.1534
2025-11-05,0,L2582_2592,-490.8199
2025-11-05,0,L2583_2586,-122.5716
2025-11-05,0,L3019_4716,-154.27
2025-11-05,0,L2419_3019,-220.6395
2025-11-05,0,L2806_4716,154.27
2025-11-05,0,L2581_4717,-150.8862
2025-11-05,0,L2806_4717,150.8862
2025-11-05,0,L1651_2806,18.7374
2025-11-05,0,L36_1651,166.5662
2025-11-05,0,L36_5024,174.3236
2025-11-05,0,L2559_4720,-26.8605
2025-11-05,0,L2600_4720,26.8605
2025-11-05,0,L2419_2559,622.6008
2025-11-05,0,L2431_2806,280.2105
2025-11-05,0,L2418_2581,-227.295
2025-11-05,0,L2581_4725,-148.9925
2025-11-05,0,L2421_4725,148.9925
2025-11-05,0,L2418_2419,227.295
2025-11-05,0,L2659_2806,-8.1742
2025-11-05,0,L84_2587,62.3537
2025-11-05,0,L2582_2586,490.8199
2025-11-05,0,L2419_4728,-435.2118
2025-11-05,0,L2417_4728,435.2118
2025-11-05,0,L1803_2401,-1313.405
2025-11-05,0,L4730_4746,-491.4675
2025-11-05,0,L2420_4746,983.369
2025-11-05,0,L472_2401,338.6626
2025-11-05,0,L472_2399,-338.6626
2025-11-05,0,L1928_2880,654.1747
2025-11-05,0,L2586_2880,-594.5171
2025-11-05,0,L1003_1481,-654.1747
2025-11-05,0,L1003_1924,654.1747
2025-11-05,0,L1927_1928,654.1747
2025-11-05,0,L795_3466,-293.5978
2025-11-05,0,L795_4759,317.7981
2025-11-05,0,L1481_4759,-317.7981
2025-11-05,0,L1924_1927,654.1747
2025-11-05,0,L786_1481,336.3767
2025-11-05,0,L786_2483,-336.3767
2025-11-05,0,L739_3447,-80.3668
2025-11-05,0,L1780_2953,-107.5171
2025-11-05,0,L2952_2953,107.5171
2025-11-05,0,L1448_2952,67.6353
2025-11-05,0,L2600_2689,-90.6724
2025-11-05,0,L1481_3651,0.0
2025-11-05,0,L2401_3595,-721.7342
2025-11-05,0,L3593_3595,0.0
2025-11-05,0,L3594_3595,0.0
2025-11-05,0,L3470_3589,0.0
2025-11-05,0,L3469_3470,-293.5978
2025-11-05,0,L3468_3469,0.0
2025-11-05,0,L3104_3469,-293.5978
2025-11-05,0,L3391_3466,0.0
2025-11-05,0,L3104_3466,293.5978
2025-11-05,0,L3103_3104,0.0
2025-11-05,0,L3055_4777,-23.6474
2025-11-05,0,L2699_4777,23.6474
2025-11-05,0,L2070_2851,482.8312
2025-11-05,0,L1274_2640,-896.715
2025-11-05,0,L2455_2708,79.1449
2025-11-05,0,L2836_4597,10.9506
2025-11-05,0,L2615_2948,1143.6578
2025-11-05,0,L2615_2836,-1098.6561
2025-11-05,0,L2836_4276,-226.6654
2025-11-05,0,L2717_2789,-1388.67
2025-11-05,0,L2789_4800,481.3173
2025-11-05,0,L262_4800,-728.9973
2025-11-05,0,L3196_4800,247.68
2025-11-05,0,L2716_2717,-1274.1726
2025-11-05,0,L2408_2789,-859.0621
2025-11-05,0,L4019_4440,711.6545
2025-11-05,0,L4019_4592,-711.6545
2025-11-05,0,L2704_4440,-555.9747
2025-11-05,0,L2289_2704,22.9602
2025-11-05,0,L2413_2414,-78.9409
2025-11-05,0,L180_2407,417.853
2025-11-05,0,L176_2906,21.4187
2025-11-05,0,L2757_2907,138.8865
2025-11-05,0,L421_2716,-620.2918
2025-11-05,0,L2875_2876,246.457
2025-11-05,0,L2562_2875,111.8296
2025-11-05,0,L2598_2876,-246.457
2025-11-05,0,L2562_2747,-92.4489
2025-11-05,0,L2746_4831,-263.4283
2025-11-05,0,L2745_4831,263.4283
2025-11-05,0,L4832_4875,-262.1364
2025-11-05,0,L4832_4876,-33.6603
2025-11-05,0,L962_4832,-295.7967
2025-11-05,0,L962_4833,451.0346
2025-11-05,0,L2638_4833,-230.2038
2025-11-05,0,L2636_4833,-220.8308
2025-11-05,0,L2449_2745,318.7708
2025-11-05,0,L2737_2743,-262.2292
2025-11-05,0,L2743_3819,822.5217
2025-11-05,0,L645_2742,343.7293
2025-11-05,0,L2720_2836,-589.881
2025-11-05,0,L421_3195,620.2918
2025-11-05,0,L2415_3195,-340.7662
2025-11-05,0,L2415_3533,813.3274
2025-11-05,0,L3532_3533,-813.3274
2025-11-05,0,L3530_3532,-827.3324
2025-11-05,0,L2836_3530,-867.8974
2025-11-05,0,L2716_2742,445.7961
2025-11-05,0,L2449_4845,588.2164
2025-11-05,0,L648_4845,-588.2164
2025-11-05,0,L648_2443,498.6334
2025-11-05,0,L2607_3811,-215.1496
2025-11-05,0,L214_3811,215.1496
2025-11-05,0,L2607_2704,16.9069
2025-11-05,0,L2070_2704,-241.2552
2025-11-05,0,L2647_2649,335.66
2025-11-05,0,L152_2647,417.5921
2025-11-05,0,L2649_2720,-623.3296
2025-11-05,0,L179_2598,-295.6305
2025-11-05,0,L2635_4852,-67.1791
2025-11-05,0,L152_4852,67.1791
2025-11-05,0,L2636_3049,220.8308
2025-11-05,0,L2617_2618,343.0054
2025-11-05,0,L2618_5013,129.335
2025-11-05,0,L2645_5013,-129.335
2025-11-05,0,L2598_2722,-17.3643
2025-11-05,0,L2430_3424,-789.5255
2025-11-05,0,L2742_3424,789.5255
2025-11-05,0,L2430_2431,782.8662
2025-11-05,0,L2727_2737,-57.1239
2025-11-05,0,L2440_2640,-272.8388
2025-11-05,0,L152_2289,658.8988
2025-11-05,0,L2455_4875,338.4732
2025-11-05,0,L4875_4876,76.3368
2025-11-05,0,L2562_4876,-42.6765
2025-11-05,0,L2637_3049,-220.8308
2025-11-05,0,L2562_2719,178.4118
2025-11-05,0,L4877_5308,104.2151
2025-11-05,0,L2454_4877,154.8577
2025-11-05,0,L3587_4877,-50.6426
2025-11-05,0,L2454_4878,-136.2873
2025-11-05,0,L2453_4878,136.2873
2025-11-05,0,L2453_2454,136.3578
2025-11-05,0,L1492_2445,226.5227
2025-11-05,0,L2445_2446,225.8798
2025-11-05,0,L1492_2453,755.8707
2025-11-05,0,L1284_4880,322.4282
2025-11-05,0,L2426_4880,-322.4282
2025-11-05,0,L3905_4881,-0.6852
2025-11-05,0,L2453_4882,322.4282
2025-11-05,0,L1284_4882,-322.4282
2025-11-05,0,L1279_2446,-100.8691
2025-11-05,0,L1279_2640,50.2921
