Date,Hour,Type,Solve Time
2024-01-08,0,SCED,5.0075
2024-01-08,1,SCED,3.9706
2024-01-08,2,SCED,8.7694
2024-01-08,3,SCED,9.8453
2024-01-08,4,SCED,4.5891
2024-01-08,5,SCED,3.7888
2024-01-08,6,SCED,6.6928
2024-01-08,7,SCED,3.7984
2024-01-08,8,SCED,2.6646
2024-01-08,9,SCED,5.9994
2024-01-08,10,SCED,7.4458
2024-01-08,11,SCED,2.5071
2024-01-08,12,SCED,11.4818
2024-01-08,13,SCED,2.8946
2024-01-08,14,SCED,4.8586
2024-01-08,15,SCED,10.3258
2024-01-08,16,SCED,3.098
2024-01-08,17,SCED,5.8583
2024-01-08,18,SCED,7.7777
2024-01-08,19,SCED,7.1748
2024-01-08,20,SCED,6.7828
2024-01-08,21,SCED,2.6224
2024-01-08,22,SCED,2.6564
2024-01-08,23,SCED,5.4669
