Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,417331.33,622162.9791,6520.0947,69.0914,13655.5552,0.0,14240.0881,29910.3329,15670.2448,56439.2034,18.4179,188,0.0,19220.3248
2024-06-17,1,376803.39,630085.3118,5396.6184,0.0,9947.8345,0.0,13032.4084,29075.3272,16042.9188,53893.9679,18.6828,25,42.89000000000001,8052.5972
2024-06-17,2,334967.73,632591.3611,4743.0393,0.0,6891.1658,0.0,12775.7034,28126.8188,15351.1154,52195.911,18.5371,21,497.01,3863.4804
2024-06-17,3,336197.26,612769.4017,4377.0007,0.0,7231.6483,0.0,12974.384,27372.8813,14398.4973,51126.4088,18.5612,20,79.33,3961.548
2024-06-17,4,338587.63,598770.6232,4339.5445,0.0,7375.0194,0.0,12988.5519,26274.3976,13285.8457,50936.637,18.4024,22,167.66,2825.1839
2024-06-17,5,341144.17,620229.8681,4666.0557,0.0,6996.2708,0.0,12784.4538,26100.101,13315.6472,51671.7738,18.6054,24,106.64999999999998,3093.0566
2024-06-17,6,340597.81,631464.1338,5081.6706,0.0,6663.1069,0.0,12911.3075,26075.78,13164.4725,52599.0282,18.4806,23,352.44,2223.9181
2024-06-17,7,353041.41,631507.0605,5746.1798,16.4589,7168.5951,0.0,13343.2697,26370.6328,13027.3631,54126.8164,18.1897,28,439.23999999999995,4042.5413
2024-06-17,8,356198.77,604560.2557,6502.62,0.0,8274.0993,0.0,16222.2241,33041.9376,16819.7135,56928.6347,16.8766,38,585.95,4343.9451
2024-06-17,9,351226.82,627864.0378,7697.1002,0.0,7873.7072,0.0,18119.4592,41954.7545,23835.2953,60086.4122,16.2947,26,241.75000000000003,6103.679
2024-06-17,10,370997.83,648278.9461,9478.4287,0.0,6056.621,0.0,18561.5102,45196.0857,26634.5755,63734.0999,15.9926,43,1351.3899999999996,3640.1
2024-06-17,11,378042.56,694990.0263,11138.2375,0.0,6377.1629,0.0,18450.3422,48087.9943,29637.6521,66966.3805,16.0235,24,696.88,3304.6233
2024-06-17,12,390675.59,705872.4949,12533.821,14.4421,7365.5772,0.0,18200.4193,49578.5664,31378.1471,69571.4511,15.7615,18,555.13,5431.5006
2024-06-17,13,391842.3,726140.5693,13892.9294,12.6587,7813.6609,0.0,18972.0611,49490.946,30518.8849,71970.9532,15.5338,13,151.76999999999998,4164.3357
2024-06-17,14,394516.65,736197.0136,15132.8831,12.5502,7446.1382,0.0,19494.4292,52220.3958,32725.9666,74109.5037,15.2573,15,183.64,4339.3127
2024-06-17,15,397772.07,735075.2957,15351.6178,10.7972,7805.9726,0.0,19542.5443,54244.5965,34702.0522,74368.2046,15.233,11,302.5,3618.5905
2024-06-17,16,397575.51,731739.8335,15391.7474,11.4481,8340.8905,0.0,19140.7749,52292.198,33151.4231,74392.3837,15.1805,8,123.1,3341.6791
2024-06-17,17,396677.55,737077.3886,15319.2564,9.784,8109.53,0.0,19014.5344,53008.4614,33993.927,74327.7768,15.2534,11,76.6,2385.6798
2024-06-17,18,394221.59,739515.1332,14790.9477,9.8847,7920.9632,0.0,19036.6055,50365.6604,31329.0549,73506.4037,15.4236,10,30.549999999999997,2288.7681
2024-06-17,19,412141.33,730522.0567,13644.9386,10.5597,8016.7382,0.0,17720.7474,46758.5874,29037.84,71693.9981,15.9381,26,814.5099999999998,2427.0767
2024-06-17,20,427587.55,732733.5605,12487.1239,180.7799,9069.1352,0.0,16013.4873,39669.3918,23655.9045,69027.974,16.8094,28,908.5000000000002,4015.3553
2024-06-17,21,439141.46,739425.5381,11969.1863,172.0865,10073.83,0.0,14005.4793,32678.2194,18672.7401,67190.4541,17.5407,25,1011.8100000000003,5311.6189
2024-06-17,22,396726.55,723063.4507,10223.866,0.0,8812.1983,0.0,13989.0027,32046.212,18057.2093,63812.6704,17.5481,35,218.60000000000002,3727.7824
2024-06-17,23,386475.34,693899.6955,8207.1935,0.0,9251.179,0.0,13315.3641,31811.3976,18496.0335,59812.7787,18.0626,21,72.6,3775.5053
