Date,Hour,Type,Solve Time
2024-06-17,0,SCED,7.6817
2024-06-17,1,SCED,7.0492
2024-06-17,2,SCED,3.1783
2024-06-17,3,SCED,3.3513
2024-06-17,4,SCED,3.419
2024-06-17,5,SCED,3.165
2024-06-17,6,SCED,4.1659
2024-06-17,7,SCED,3.5514
2024-06-17,8,SCED,5.9086
2024-06-17,9,SCED,15.5883
2024-06-17,10,SCED,3.2465
2024-06-17,11,SCED,3.6074
2024-06-17,12,SCED,10.0683
2024-06-17,13,SCED,3.6669
2024-06-17,14,SCED,3.6199
2024-06-17,15,SCED,3.0801
2024-06-17,16,SCED,5.514
2024-06-17,17,SCED,3.1273
2024-06-17,18,SCED,5.3285
2024-06-17,19,SCED,2.9511
2024-06-17,20,SCED,5.8386
2024-06-17,21,SCED,8.5776
2024-06-17,22,SCED,3.5114
2024-06-17,23,SCED,3.5452
