Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,364503.65,572731.4557,6056.3977,28.3933,8491.2397,0.0,11362.0089,20124.675,8762.6661,50894.0015,18.4154,253,0.0,18729.6003
2025-11-05,1,358560.23,577898.1456,6056.5843,0.0,7803.2698,0.0,11361.7331,20124.675,8762.9419,50894.0015,18.4002,6,0.0,2685.347
2025-11-05,2,348611.09,555143.5567,6050.9565,0.0,7604.9342,0.0,11259.8357,20124.675,8864.8393,50894.0015,17.7576,4,1.63,5333.9345
2025-11-05,3,348542.63,555213.7099,6050.9556,0.0,7602.5746,0.0,11259.1063,20124.675,8865.5687,50894.0015,17.7576,1,0.0,2544.0404
2025-11-05,4,350144.93,553193.0075,6051.0152,0.0,7507.4507,0.0,11283.8659,20124.675,8840.8091,50894.0015,17.7494,3,120.0,2524.7929
2025-11-05,5,349447.73,554308.6099,6050.9556,0.0,7534.8746,0.0,11259.1063,20124.675,8865.5687,50894.0015,17.7576,7,36.3,2263.6118
2025-11-05,6,353033.69,550722.6499,6050.9556,0.0,7681.0946,0.0,11259.1063,20124.675,8865.5687,50894.0015,17.7576,9,182.51999999999998,2305.0569
2025-11-05,7,352285.25,551259.1244,6050.9703,0.0,7858.3842,0.0,11257.9917,20124.675,8866.6833,50894.0015,17.7535,5,7.68,3772.228
2025-11-05,8,352593.95,551160.6967,6050.9565,0.0,7834.0042,0.0,11310.9107,20124.675,8813.7643,50894.0015,17.7576,5,25.5,2152.4995
2025-11-05,9,354248.75,549500.9026,6050.9565,0.0,8006.7042,0.0,11310.9107,20124.675,8813.7643,50894.0015,17.7575,5,72.2,1747.9489
2025-11-05,10,349778.69,553972.7033,6050.9556,0.0,7785.9746,0.0,11259.1063,20124.675,8865.5687,50894.0015,17.7575,3,0.0,3222.0658
2025-11-05,11,350101.25,553648.4026,6050.9565,0.0,7794.3842,0.0,11259.8357,20124.675,8864.8393,50894.0015,17.7575,2,7.68,2904.7037
2025-11-05,12,349778.69,553972.7033,6050.9556,0.0,7785.9746,0.0,11259.1063,20124.675,8865.5687,50894.0015,17.7575,2,0.0,10.8031
2025-11-05,13,350303.69,553452.6499,6050.9556,0.0,7740.4246,0.0,11310.1813,20124.675,8814.4937,50894.0015,17.7576,4,18.95,2895.3315
2025-11-05,14,349579.19,554172.2033,6050.9556,0.0,7503.4246,0.0,11310.1813,20124.675,8814.4937,50894.0015,17.7575,6,105.45,2116.6838
2025-11-05,15,349850.09,553906.2499,6050.9556,0.0,7740.8746,0.0,11310.1813,20124.675,8814.4937,50894.0015,17.7576,3,12.9,265.8116
2025-11-05,16,348179.33,555619.3583,6051.0129,0.0,7594.2118,0.0,11297.3862,20124.675,8827.2888,50894.0015,17.7585,3,5.67,2980.7446
2025-11-05,17,349857.23,554817.1405,6051.0129,31.5378,7509.724,0.0,11246.3112,20124.675,8878.3638,50894.0015,17.7757,6,81.72,1825.4773
2025-11-05,18,352367.99,553191.6852,6051.1994,31.5412,7694.6285,0.0,11075.5656,20124.675,9049.1094,50894.0015,17.7931,3,120.13,3541.0767
2025-11-05,19,352570.43,553810.4794,6051.6304,31.5463,7903.5127,0.0,10884.2301,20124.675,9240.4449,50894.0015,17.8092,4,12.9,3206.5483
2025-11-05,20,354309.65,551800.5955,6051.7552,31.5409,7957.8272,0.0,10870.0944,20124.675,9254.5806,50894.0015,17.8039,6,73.42,1760.073
2025-11-05,21,356912.39,549196.5971,6051.7542,31.5409,8121.8093,0.0,10871.0275,20124.675,9253.6475,50894.0015,17.8038,12,102.07000000000001,2273.971
2025-11-05,22,357617.99,548762.9194,6051.6304,31.5463,8362.3127,0.0,10884.2301,20124.675,9240.4449,50894.0015,17.8092,9,73.8,2781.7823
2025-11-05,23,354376.85,549025.0705,6052.0491,4.8676,7775.8093,0.0,10921.9293,20124.675,9202.7457,50894.0015,17.7507,17,153.20000000000002,2237.6935
